,index,11436.0,10451.0,10452.0,10453.0,10454.0,10455.0,10456.0,10457.0,10458.0,10459.0,10460.0,10461.0,10462.0,10463.0,10464.0,10465.0,10466.0,10467.0,10468.0,10469.0,10470.0,10471.0,10472.0,10473.0,10474.0,10475.0,11691.0,11692.0,11693.0,11694.0,11697.0,11697.0,11004.0,10001.0,10002.0,10003.0,10004.0,10005.0,10006.0,10007.0,10009.0,10010.0,10011.0,10012.0,10013.0,10014.0,10016.0,10017.0,10018.0,10019.0,10021.0,10022.0,10023.0,10024.0,10025.0,10026.0,10027.0,10028.0,10029.0,10030.0,10031.0,10032.0,10033.0,10034.0,10035.0,10036.0,10037.0,10038.0,10039.0,10040.0,10044.0,10065.0,10069.0,10075.0,11101.0,11102.0,11103.0,11104.0,11105.0,11106.0,11109.0,10128.0,11201.0,11203.0,11204.0,11205.0,11206.0,11207.0,11208.0,11209.0,11210.0,11211.0,11212.0,11213.0,11214.0,11215.0,11216.0,11217.0,11218.0,11219.0,11220.0,11221.0,11222.0,11223.0,11224.0,11225.0,11226.0,11228.0,11229.0,11230.0,11231.0,11232.0,11233.0,11234.0,11235.0,11236.0,11237.0,11238.0,11239.0,,april_date
3,total_01,155,585,629,663,343,351,693,571,622,423,484,714,768,654,65,596,666,1134,624,815,157,297,528,556,97,446,694,184,144,270,62,62,204,265,542,379,38,81,24,67,450,282,487,183,255,305,581,138,151,451,562,339,503,641,754,300,422,476,668,204,405,548,495,262,345,275,204,167,226,356,116,385,57,371,320,231,203,155,242,290,45,596,479,546,932,319,572,587,561,452,671,961,445,621,544,437,316,269,613,1146,459,455,236,642,304,427,600,222,640,1046,271,150,383,713,684,701,288,350,129,36,1
1,total_03,205,623,824,845,441,432,886,743,800,534,622,846,1015,780,72,805,889,1446,796,1119,202,343,680,760,120,607,926,246,189,349,71,71,277,304,651,438,42,94,26,75,548,336,549,209,265,347,661,173,211,520,672,400,583,731,892,363,504,550,807,247,498,670,593,325,452,331,206,198,271,431,135,460,69,417,417,296,264,234,301,354,68,690,546,737,1171,412,716,798,794,606,859,1225,632,772,691,493,396,321,856,1487,654,566,291,858,392,539,786,300,812,1334,317,222,493,937,841,979,352,465,187,4477,3
6,total_04,222,665,877,917,475,469,958,814,862,574,661,923,1096,852,78,885,950,1531,879,1231,211,356,728,821,130,659,992,267,198,367,75,75,307,321,684,464,45,95,28,78,581,344,576,217,271,357,700,183,225,542,705,417,621,756,946,395,540,571,882,267,541,724,626,350,483,346,222,211,287,462,146,487,70,433,439,318,283,259,328,382,70,718,578,790,1234,433,766,859,868,664,900,1285,690,816,745,524,422,340,927,1565,712,602,314,925,412,572,844,324,847,1414,330,244,524,1007,908,1070,383,496,203,4534,4
9,total_05,240,701,942,983,498,495,1054,879,933,618,697,993,1160,909,95,960,1013,1625,939,1304,229,375,765,887,136,705,1071,289,214,397,80,80,316,337,718,490,45,96,30,81,597,349,596,226,282,373,727,187,232,560,726,422,642,782,984,413,565,595,943,289,576,757,657,366,515,355,241,219,304,487,149,492,72,452,470,352,309,277,346,399,73,737,601,870,1298,462,816,911,923,718,953,1335,758,879,796,559,445,369,975,1644,748,644,333,973,446,608,887,341,890,1487,351,264,576,1079,967,1153,408,514,228,4716,5
11,total_07,280,849,1107,1194,571,584,1253,1062,1114,764,831,1194,1387,1089,107,1129,1265,1942,1174,1531,286,440,926,1101,157,887,1226,332,242,457,93,93,367,364,792,543,45,103,33,86,662,377,640,241,301,391,814,212,251,616,771,461,695,841,1084,449,657,650,1070,329,670,857,730,416,580,404,282,238,340,543,155,520,81,488,520,404,350,308,377,457,80,801,700,1017,1456,581,945,1087,1100,848,1083,1490,920,1002,933,619,525,447,1186,1908,893,779,392,1118,534,716,1032,421,1053,1670,394,304,691,1287,1111,1376,485,611,267,4842,7
16,total_08,298,900,1179,1287,612,631,1353,1126,1219,839,905,1311,1509,1219,127,1225,1373,2091,1272,1673,314,482,1000,1233,174,1002,1284,350,254,481,94,94,391,384,836,563,47,104,36,90,691,391,660,249,310,403,843,217,259,636,799,474,723,863,1142,470,696,667,1135,340,710,914,779,446,611,420,302,246,355,579,165,544,81,501,537,431,391,324,401,479,82,834,737,1070,1505,606,987,1144,1168,905,1138,1535,968,1043,996,654,549,478,1299,2067,959,809,414,1188,569,751,1090,454,1117,1742,413,317,720,1384,1193,1470,509,636,281,4811,8
17,total_09,330,1087,1345,1475,732,762,1541,1308,1386,989,1086,1529,1748,1421,154,1418,1623,2385,1488,1950,368,553,1170,1460,219,1243,1395,379,274,519,105,105,424,408,889,597,48,108,39,95,730,413,678,257,322,424,906,233,270,674,836,490,753,900,1215,514,751,716,1276,383,779,983,850,499,668,435,344,259,392,643,176,571,83,517,580,461,433,367,445,541,87,891,793,1210,1594,642,1105,1253,1296,994,1241,1659,1078,1107,1113,706,596,508,1422,2199,1048,890,450,1316,662,844,1230,519,1211,1865,443,342,797,1565,1359,1641,559,677,313,1459,9
7,total_10,361,1192,1491,1637,811,847,1693,1415,1534,1099,1180,1750,1979,1613,179,1627,1868,2669,1668,2226,425,622,1291,1652,245,1431,1479,417,302,565,119,105,462,429,949,622,53,109,39,102,782,441,695,274,341,439,950,241,296,702,885,528,799,938,1316,548,817,749,1417,417,845,1052,915,543,724,457,380,278,432,693,183,593,87,541,614,491,467,399,495,578,95,948,840,1345,1673,674,1208,1365,1423,1066,1317,1764,1171,1189,1206,740,640,539,1484,2281,1109,963,473,1425,735,905,1354,558,1281,1955,469,361,881,1704,1470,1785,610,716,358,1506,10
8,total_11,377,1232,1534,1690,828,867,1737,1467,1571,1130,1215,1794,2039,1696,183,1680,1938,2729,1721,2300,439,636,1319,1700,250,1484,1527,437,312,587,123,123,481,435,970,636,54,112,39,103,797,451,704,277,347,443,964,244,318,716,906,542,809,947,1345,562,839,764,1455,424,858,1066,931,550,744,465,391,281,446,702,186,601,89,552,627,503,485,413,513,595,98,976,863,1411,1699,685,1241,1408,1466,1087,1351,1799,1213,1213,1237,754,664,546,1511,2312,1156,983,481,1470,760,944,1412,576,1308,1994,478,374,904,1750,1513,1835,627,732,378,1508,11
