LA Neighborhood,Most Similar NYC Zipcode(s),LA % Public Transit Use, NYC % Public Transit Use,% Difference
Acton,10199,0.5,0.0,0.5
Adams-Normandie,10464,21.2,22.1,0.9000000000000021
Agoura Hills,10199,0.6666666666666666,0.0,0.6666666666666666
Agua Dulce,10199,0.0,0.0,0.0
Alhambra,10199,3.1,0.0,3.1
Alondra Park,10199,0.0,0.0,0.0
Altadena,10199,3.375,0.0,3.375
Angeles Crest,10199,0.0,0.0,0.0
Arcadia,10199,2.727272727272727,0.0,2.727272727272727
Arleta,10199,4.166666666666667,0.0,4.166666666666667
Arlington Heights,10309,23.166666666666668,23.8,0.6333333333333329
Artesia,10199,2.0,0.0,2.0
Athens,11697,9.5,12.3,2.8000000000000007
Atwater Village,10199,4.333333333333333,0.0,4.333333333333333
Avalon,10199,0.0,0.0,0.0
Avocado Heights,10199,0.5,0.0,0.5
Azusa,10199,3.5,0.0,3.5
Baldwin Hills/Crenshaw,11697,15.428571428571429,12.3,3.128571428571428
Baldwin Park,10199,3.375,0.0,3.375
Bel-Air,10199,0.0,0.0,0.0
Bell,11697,6.714285714285714,12.3,5.585714285714286
Bell Gardens,10199,5.0,0.0,5.0
Bellflower,10199,3.5,0.0,3.5
Beverly Crest,10199,0.0,0.0,0.0
Beverly Grove,10199,2.25,0.0,2.25
Beverly Hills,10199,1.2857142857142858,0.0,1.2857142857142858
Beverlywood,10199,1.0,0.0,1.0
Boyle Heights,11697,15.72,12.3,3.42
Bradbury,10199,2.0,0.0,2.0
Brentwood,10199,2.2,0.0,2.2
Broadway-Manchester,11697,11.0,12.3,1.3000000000000007
Burbank,10199,1.9130434782608696,0.0,1.9130434782608696
Calabasas,10199,0.3333333333333333,0.0,0.3333333333333333
Canoga Park,11697,8.0,12.3,4.300000000000001
Carson,10199,2.789473684210526,0.0,2.789473684210526
Carthay,10199,5.5,0.0,5.5
Castaic,10199,0.6666666666666666,0.0,0.6666666666666666
Castaic Canyons,10199,4.454545454545454,0.0,4.454545454545454
Central-Alameda,11004,18.5,19.3,0.8000000000000007
Century City,10199,2.0,0.0,2.0
Cerritos,10199,2.0,0.0,2.0
Charter Oak,10199,1.5,0.0,1.5
Chatsworth,10199,3.1818181818181817,0.0,3.1818181818181817
Chatsworth Reservoir,10199,1.0,0.0,1.0
Chesterfield Square,11697,13.333333333333334,12.3,1.0333333333333332
Cheviot Hills,10199,0.0,0.0,0.0
Chinatown,11697,14.75,12.3,2.4499999999999993
Citrus,11697,6.666666666666667,12.3,5.633333333333334
Claremont,10199,3.25,0.0,3.25
Commerce,10199,3.0,0.0,3.0
Compton,10199,5.916666666666667,0.0,5.916666666666667
Covina,10199,3.6,0.0,3.6
Cudahy,10199,6.0,0.0,6.0
Culver City,10199,3.4285714285714284,0.0,3.4285714285714284
Cypress Park,11697,13.666666666666666,12.3,1.3666666666666654
Del Aire,10199,3.0,0.0,3.0
Del Rey,11697,8.0,12.3,4.300000000000001
Diamond Bar,10199,2.3333333333333335,0.0,2.3333333333333335
Downey,10199,2.4545454545454546,0.0,2.4545454545454546
Downtown,11004,17.923076923076923,19.3,1.3769230769230774
Duarte,10199,4.0,0.0,4.0
Eagle Rock,10199,5.5,0.0,5.5
East Compton,10199,4.0,0.0,4.0
East Hollywood,10308,26.0,26.1,0.10000000000000142
East La Mirada,10199,1.0,0.0,1.0
East Los Angeles,11697,10.464285714285714,12.3,1.8357142857142872
East Pasadena,10199,5.0,0.0,5.0
East San Gabriel,10199,3.2,0.0,3.2
Echo Park,11697,14.88888888888889,12.3,2.5888888888888886
El Monte,10199,4.625,0.0,4.625
El Segundo,10199,1.0,0.0,1.0
El Sereno,11697,8.818181818181818,12.3,3.4818181818181824
Elizabeth Lake,10199,0.0,0.0,0.0
Elysian Park,11697,12.0,12.3,0.3000000000000007
Elysian Valley,10199,5.333333333333333,0.0,5.333333333333333
Encino,10199,2.1818181818181817,0.0,2.1818181818181817
Exposition Park,10307,20.142857142857142,19.5,0.6428571428571423
Fairfax,10199,1.5,0.0,1.5
Florence,11004,17.46153846153846,19.3,1.8384615384615408
Florence-Firestone,11697,15.307692307692308,12.3,3.0076923076923077
Gardena,10199,3.6,0.0,3.6
Glassell Park,11697,8.625,12.3,3.6750000000000007
Glendale,10199,4.128205128205129,0.0,4.128205128205129
Glendora,10199,2.4615384615384617,0.0,2.4615384615384617
Gramercy Park,10199,6.0,0.0,6.0
Granada Hills,10199,2.2142857142857144,0.0,2.2142857142857144
Green Meadows,11697,11.0,12.3,1.3000000000000007
Griffith Park,10199,0.0,0.0,0.0
Hacienda Heights,10199,1.3076923076923077,0.0,1.3076923076923077
Hancock Park,10199,1.3333333333333333,0.0,1.3333333333333333
Harbor City,10199,5.714285714285714,0.0,5.714285714285714
Harbor Gateway,11697,7.0,12.3,5.300000000000001
Harvard Heights,11356,29.833333333333332,30.7,0.8666666666666671
Harvard Park,10199,4.0,0.0,4.0
Hawaiian Gardens,10199,3.0,0.0,3.0
Hawthorne,11697,6.833333333333333,12.3,5.466666666666668
Hermosa Beach,10199,0.4,0.0,0.4
Hidden Hills,10199,0.0,0.0,0.0
Highland Park,11697,10.928571428571429,12.3,1.3714285714285719
Historic South-Central,10309,23.25,23.8,0.5500000000000007
Hollywood,11697,14.909090909090908,12.3,2.6090909090909076
Hollywood Hills,10199,3.0,0.0,3.0
Hollywood Hills West,10199,1.0,0.0,1.0
Huntington Park,11697,11.894736842105264,12.3,0.405263157894737
Hyde Park,11697,8.3,12.3,4.0
Industry,10199,3.4285714285714284,0.0,3.4285714285714284
Inglewood,11697,7.518518518518518,12.3,4.7814814814814826
Irwindale,10199,1.0,0.0,1.0
Jefferson Park,11697,13.0,12.3,0.6999999999999993
Koreatown,10302,28.586206896551722,28.5,0.08620689655172242
La Canada Flintridge,10199,0.5,0.0,0.5
La Crescenta-Montrose,10199,0.75,0.0,0.75
La Habra Heights,10199,1.0,0.0,1.0
La Mirada,10199,1.5,0.0,1.5
La Puente,10199,3.25,0.0,3.25
La Verne,10199,1.8571428571428572,0.0,1.8571428571428572
Ladera Heights,10199,1.5,0.0,1.5
Lake Balboa,11697,6.285714285714286,12.3,6.014285714285715
Lake Los Angeles,10199,1.0,0.0,1.0
Lake View Terrace,10199,3.6666666666666665,0.0,3.6666666666666665
Lakewood,10199,2.1666666666666665,0.0,2.1666666666666665
Lancaster,10199,1.2222222222222223,0.0,1.2222222222222223
Larchmont,11697,8.5,12.3,3.8000000000000007
Lawndale,10199,4.333333333333333,0.0,4.333333333333333
Leimert Park,11697,7.333333333333333,12.3,4.966666666666668
Lennox,11697,9.4,12.3,2.9000000000000004
