Neighborhood,% Public Transit Usage,Median Rent,Median Household Income,Average % Usage,Average Rent,Average Income
Acton,1,,92685.5,,,
Acton,0,1125.00,79491.666666667,0.5,1125.0,86088.5833333335
Adams-Normandie,27,860.00,25847.5,,,
Adams-Normandie,25,945.00,35102.5,,,
Adams-Normandie,20,959.00,30207.333333333,,,
Adams-Normandie,18,1036.00,15045.166666667,,,
Adams-Normandie,16,986.00,36099.333333333,21.2,1196.5,28460.3666666666
Agoura Hills,1,,140564,,,
Agoura Hills,1,2541.00,121330.666666667,,,
Agoura Hills,0,1885.00,75817.666666667,0.6666666666666666,2213.0,112570.777777778
Agua Dulce,0,,99294.833333333,0.0,0.0,99294.833333333
Alhambra,6,1146.00,40048.833333333,,,
Alhambra,5,1247.00,69907.166666667,,,
Alhambra,5,1287.00,50009.666666667,,,
Alhambra,4,1167.00,47821.166666667,,,
Alhambra,4,1202.00,38007.166666667,,,
Alhambra,4,1172.00,57815.5,,,
Alhambra,4,1158.00,49428.5,,,
Alhambra,4,1268.00,56305.166666667,,,
Alhambra,4,1139.00,72920,,,
Alhambra,4,1170.00,37596.5,,,
Alhambra,3,1127.00,57689.166666667,,,
Alhambra,3,1193.00,39668.5,,,
Alhambra,3,1240.00,53766.833333333,,,
Alhambra,2,1321.00,43789,,,
Alhambra,2,1172.00,52137.166666667,,,
Alhambra,2,1075.00,59343.166666667,,,
Alhambra,1,1303.00,73741.5,,,
Alhambra,1,1574.00,74161.166666667,,,
Alhambra,1,1320.00,61052.666666667,,,
Alhambra,0,1360.00,55486.833333333,3.1,1232.05,54534.78333333344
Alondra Park,0,1569.00,75747,0.0,1569.0,75747.0
Altadena,7,1422.00,58582.666666667,,,
Altadena,6,1273.00,65821.5,,,
Altadena,4,1392.00,75580.166666667,,,
Altadena,3,1633.00,109598.333333333,,,
Altadena,2,1354.00,75430.166666667,,,
Altadena,2,1372.00,115313.666666667,,,
Altadena,2,1645.00,88079.333333333,,,
Altadena,1,1555.00,95248.333333333,3.375,1455.75,85456.77083333337
Angeles Crest,0,1115.00,78185.666666667,,,
Angeles Crest,0,,89964.833333333,0.0,1115.0,84075.25
Arcadia,8,1460.00,57919,,,
Arcadia,7,1575.00,67060,,,
Arcadia,5,1111.00,91763.166666667,,,
Arcadia,4,1463.00,64462.333333333,,,
Arcadia,2,1207.00,78237.166666667,,,
Arcadia,2,1443.00,56682,,,
Arcadia,1,1250.00,96095.833333333,,,
Arcadia,1,1648.00,119568,,,
Arcadia,0,1591.00,86721.166666667,,,
Arcadia,0,1318.00,89224.833333333,,,
Arcadia,0,1404.00,66159.5,2.727272727272727,1406.3636363636363,79444.81818181818
Arleta,7,2013.00,72596.166666667,,,
Arleta,5,1707.00,67116.5,,,
Arleta,5,2006.00,67844.166666667,,,
