id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QUlBTk5I,19,27,86.4,0,0,aiannh,AIANNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,0,0,,0,0,False,15017,875,3.5,0.002,0.001,True,19,27,False,0,,0,0,-14998,875.4164723147492,True,-0.2,0.1,False
QXNuMVJj,3946,566,8.7,1,0,asn1rc,Asn1Rc,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,1177700,3785,0.2,1,0,True,,,,,1,0,True,-1173754,3827.085183269377,True,0,0
QXNuMnBs,83,118,86.5,0.021,0.03,asn2pl,Asn2pl,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,17175,1660,5.9,0.015,0.001,True,,,,,0.021,0.03,False,-17092,1664.188691224646,True,0.6000000000000001,3.0016662039607267,False
QXNuQmh1dG4=,0,0,,0,0,asnbhutn,AsnBhutn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,100,90,54.7,0,0,False,,,,,0,0,-100,90,False,0,0
QXNuQm5n,113,133,71.6,0.029,0.033,asnbng,AsnBng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,65991,3237,3,0.056,0.003,True,,,,,0.029,0.033,False,-65878,3239.731161686105,True,-2.7,3.3136083051561784,False
QXNuQnVybQ==,0,0,,0,0,asnburm,AsnBurm,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4509,620,8.4,0.004,0.001,True,,,,,0,0,-4509,620,True,-0.4,0.1,True
QXNuQ2hpTm9U,2722,426,9.5,0.69,0.043,asnchinot,AsnChiNoT,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,565173,5911,0.6,0.48,0.005,True,,,,,0.69,0.043,True,-562451,5926.330821005523,True,21,4.328972164382672,True
QXNuQ21i,0,0,,0,0,asncmb,AsnCmb,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,2700,1036,23.3,0.002,0.001,False,,,,,0,0,-2700,1036,False,-0.2,0.1,False
QXNuRWFzdA==,2769,428,9.4,0.702,0.041,asneast,AsnEast,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,686453,6802,0.6,0.583,0.005,True,,,,,0.702,0.041,True,-683684,6815.452149344165,True,11.899999999999991,4.130375285612677,False
QXNuRmxw,130,101,47.2,0.033,0.025,asnflp,AsnFlp,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,71450,2932,2.5,0.061,0.002,True,,,,,0.033,0.025,False,-71320,2933.739081786245,True,-2.7999999999999994,2.5079872407968904,False
QXNuSG1uZw==,0,0,,0,0,asnhmng,AsnHmng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,60,59,59.8,0,0,False,,,,,0,0,-60,59,False,0,0
QXNuSW5k,589,259,26.7,0.149,0.062,asnind,AsnInd,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,228887,4990,1.3,0.194,0.004,True,,,,,0.149,0.062,False,-228298,4996.71702220568,True,-4.5000000000000036,6.212889826803627,False
QXNuSW5kbnNu,0,0,,0,0,asnindnsn,AsnIndnsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,3778,675,10.9,0.003,0.001,True,,,,,0,0,-3778,675,True,-0.3,0.1,False
QXNuSnBu,38,40,63.4,0.01,0.01,asnjpn,AsnJpn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,25224,1431,3.4,0.021,0.001,True,,,,,0.01,0.01,False,-25186,1431.5589404561729,True,-1.1,1.004987562112089,False
QXNuS29y,9,14,94.6,0.002,0.004,asnkor,AsnKor,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,85212,2865,2,0.072,0.002,True,,,,,0.002,0.004,False,-85203,2865.0342057294883,True,-6.999999999999999,0.447213595499958,True
QXNuTGFv,10,15,91.2,0.003,0.004,asnlao,AsnLao,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,538,173,19.5,0,0,True,,,,,0.003,0.004,False,-528,173.64907140552177,True,0.3,0.4,False
QXNuTWFsc24=,0,0,,0,0,asnmalsn,AsnMalsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,1750,544,18.9,0.001,0,True,,,,,0,0,-1750,544,True,-0.1,0,True
QXNuTWdvbA==,0,0,,0,0,asnmgol,AsnMgol,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,644,287,27.1,0.001,0,False,,,,,0,0,-644,287,False,-0.1,0,True
QXNuTmVwYWw=,19,31,99.2,0.005,0.008,asnnepal,AsnNepal,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,8478,1242,8.9,0.007,0.001,True,,,,,0.005,0.008,False,-8459,1242.3868157703541,True,-0.20000000000000007,0.806225774829855,False
QXNuTkg=,3766,534,8.6,0.07,0.009,asnnh,AsnNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,4305,852,12,0.09,0.017,True,1167421,3568,0.2,0.138,0.001,True,-539,1005.5147935261818,False,-0.12520325203252033,0.21298014759478096,False,-0.01999999999999999,0.019235384061671346,False,-1163655,3607.7389040782873,True,-6.8,0.9055385138137416,True
QXNuT0Fzbg==,0,0,,0,0,asnoasn,AsnOAsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10707,1286,7.3,0.009,0.001,True,,,,,0,0,-10707,1286,True,-0.8999999999999999,0.1,True
QXNuT2tpbnc=,0,0,,0,0,asnokinw,AsnOkinw,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,0,0,,0,0,False,,,,,0,0,0,0,0,0
QXNuUGFr,196,192,59.6,0.05,0.048,asnpak,AsnPak,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,48973,3097,3.8,0.042,0.003,True,,,,,0.05,0.048,False,-48777,3102.945858373942,True,0.7999999999999998,4.809365862564419,False
QXNuU0Vhc3Q=,177,116,40,0.045,0.029,asnseast,AsnSEast,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,106360,3653,2.1,0.09,0.003,True,,,,,0.045,0.029,False,-106183,3654.8413098245455,True,-4.5,2.9154759474226504,False
QXNuU291dGg=,917,350,23.2,0.232,0.082,asnsouth,AsnSouth,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,357005,6872,1.2,0.303,0.006,True,,,,,0.232,0.082,False,-356088,6880.907207628948,True,-7.099999999999998,8.221921916437788,False
QXNuU3JpTA==,0,0,,0,0,asnsril,AsnSriL,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4576,837,11.1,0.004,0.001,True,,,,,0,0,-4576,837,True,-0.4,0.1,True
QXNuVGhhaQ==,0,0,,0,0,asnthai,AsnThai,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,7346,955,7.9,0.006,0.001,True,,,,,0,0,-7346,955,True,-0.6,0.1,True
QXNuVHdu,0,0,,0,0,asntwn,AsnTwn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10200,996,5.9,0.009,0.001,True,,,,,0,0,-10200,996,True,-0.8999999999999999,0.1,True
QXNuVnRu,37,56,92,0.009,0.014,asnvtn,AsnVtn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,14229,1262,5.4,0.012,0.001,True,,,,,0.009,0.014,False,-14192,1263.2418612443146,True,-0.30000000000000004,1.4035668847618201,False
QmxOSA==,1755,347,12,0.032,0.006,blnh,BlNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,1893,386,12.4,0.04,0.008,True,1853055,3317,0.1,0.219,0.001,True,-138,519.042387479096,False,-0.07290015847860538,0.2633232049019031,False,-0.008,0.01,False,-1851300,3335.100898023926,True,-18.7,0.6082762530298219,True
RmVt,25350,1273,3.1,0.468,0.014,fem,Fem,Pop_1,sex_and_age,demographic,True,20813,1149,3.4,0.436,0.012,True,4418616,268,0,0.523,0,True,4537,1714.8556790587363,False,0.21798875702685822,0.09089683392327999,False,0.03200000000000003,0.018439088914585774,False,-4393266,1300.9046852094891,True,-5.5,1.4000000000000001,True
RlBvcDB0NQ==,2739,479,10.6,0.051,0.009,fpop0t5,FPop0t5,Pop,poppyramid_only,demographic,True,2183,399,11.1,0.046,0.008,True,269674,178,0,0.032,0,True,556,623.4115815414405,False,0.25469537333944114,0.31739217480728,False,0.0049999999999999975,0.012041594578792296,False,-266935,511.00391387933615,True,1.8999999999999995,0.8999999999999999,False
RlBvcDEwdDE0,1901,275,8.8,0.035,0.005,fpop10t14,FPop10t14,Pop,poppyramid_only,demographic,True,1001,247,15,0.021,0.005,True,227093,2312,0.6,0.027,0,True,900,369.64036576110027,False,0.8991008991008991,0.5432022317545375,False,0.014000000000000002,0.007071067811865475,False,-225192,2328.2974466334836,True,0.8000000000000003,0.5,False
RlBvcDE1dDE5,1481,248,10.2,0.027,0.004,fpop15t19,FPop15t19,Pop,poppyramid_only,demographic,True,1343,278,12.6,0.028,0.006,True,226700,355,0.1,0.027,0,True,138,372.54261501202785,False,0.10275502606105734,0.2936097949685161,False,-0.0010000000000000009,0.007211102550927979,False,-225219,433.0461869131282,True,0,0.4
RlBvcDIwdDI0,1579,271,10.4,0.029,0.005,fpop20t24,FPop20t24,Pop,poppyramid_only,demographic,True,2325,368,9.6,0.049,0.007,True,293909,3345,0.7,0.035,0,True,-746,457.0175051351972,False,-0.32086021505376344,0.15855908366118893,False,-0.02,0.008602325267042627,False,-292330,3355.95977329884,True,-0.6000000000000001,0.5,False
RlBvcDI1dDI5,2512,356,8.6,0.046,0.006,fpop25t29,FPop25t29,Pop,poppyramid_only,demographic,True,1808,310,10.4,0.038,0.006,True,405287,203,0,0.048,0,True,704,472.05508153180597,False,0.3893805309734513,0.3090648134743475,False,0.008,0.00848528137423857,False,-402775,409.8109320162165,True,-0.20000000000000018,0.6,False
