id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,43,38,54,0.001,0.001,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.001,0.001,False,-3827,471.53366793899244,True,0,0.14142135623730953
QWdISEluYw==,2413011700,76606377,1.9,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,1932578300,69311068,,0,0,False,307989432000,2361252362,0.5,0,0,True,480433400,103308088.47504029,True,0.24859712023052313,0.05980443410923111,True,0,0,-305576420300,2362494709.8454304,True,0,0
QWdJUDE1cGw=,2488522700,77378345,1.9,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,2003055900,71472758,,0,0,False,318266008500,2111708243,0.4,0,0,True,485466800,105336429.64836803,True,0.24236308132988202,0.058799843642427664,True,0,0,-315777485800,2113125436.8420928,True,0,0
QWdUVG0=,2058255,65342,1.9,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,1801565,69247,,0,0,False,156042185,593582,0.2,0,0,True,256690,95208.84398520969,False,0.14248167565422284,0.05695522251678526,False,0,0,-153983930,597167.6210981302,True,0,0
QXJ0RW5SQUZT,2629,320,7.4,0.062,0.007,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.062,0.007,True,-438366,5442.415732007249,True,-4.7,0.7071067811865476,True
Q05JMTg2NF8y,55010,1318,1.5,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5314867,2337.923223718007,True,,
Q29uc3RjdG4=,2159,295,8.3,0.051,0.007,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.051,0.007,True,-203908,3751.6163183353383,True,0,0.7071067811865476
Q3ZFbTE2cGwx,42701,1118,1.6,0.606,0.009,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,39924,1259,1.9,0.606,0.01,True,4053141,9894,0.1,0.591,0.001,True,2777,1683.7473088322963,False,0.06955715860134255,0.04383815935525802,False,0,0.01345362404707371,-4010440,9956.965401165156,True,1.500000000000007,0.9055385138137416,False
Q3ZFbTE2cGwy,42701,1118,1.6,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,39924,1259,1.9,1,0,True,4053141,9894,0.1,1,0,True,2777,1683.7473088322963,False,0.06955715860134255,0.04383815935525802,False,0,0,-4010440,9956.965401165156,True,0,0
Q3ZFbTE2cGwz,42701,1118,1.6,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4010440,9956.965401165156,True,0,0
Q3ZFbTE2cGw0,42701,1118,1.6,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,39924,1259,1.9,1,0,True,4053141,9894,0.1,1,0,True,2777,1683.7473088322963,False,0.06955715860134255,0.04383815935525802,False,0,0,-4010440,9956.965401165156,True,0,0
Q3ZMRjE=,45430,1196,1.6,0.645,0.01,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,42513,1308,1.9,0.645,0.01,True,4354474,10392,0.1,0.635,0.002,True,2917,1772.3656507617156,False,0.06861430621221744,0.04327138006955916,False,0,0.01414213562373095,-4309044,10460.59654130681,True,1,1.019803902718557,False
Q3ZMRjE4dDY0,42938,1154,1.6,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4059553,9957.09877424142,True,,
Q3ZMRjI=,45430,1196,1.6,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,42513,1308,1.9,1,0,True,4354474,10392,0.1,1,0,True,2917,1772.3656507617156,False,0.06861430621221744,0.04327138006955916,False,0,0,-4309044,10460.59654130681,True,0,0
Q3ZMRkVt,40365,1075,1.6,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3785178,9606.338584497218,True,0,0
Q3ZMRlVFbTE=,2729,336,7.5,0.039,0.005,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,2589,353,8.3,0.039,0.005,True,301333,4545,0.9,0.044,0.001,True,140,487.34484710520945,False,0.05407493240633449,0.19364388146421568,False,0,0.007071067811865475,-298604,4557.402878833514,True,-0.49999999999999956,0.5099019513592785,False
Q3ZMRlVFbTI=,2729,336,7.5,0.06,0.007,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,2589,353,8.3,0.061,0.008,True,301333,4545,0.9,0.069,0.001,True,140,487.34484710520945,False,0.05407493240633449,0.19364388146421568,False,-0.0010000000000000009,0.01063014581273465,False,-298604,4557.402878833514,True,-0.9000000000000004,0.7071067811865476,False
Q3ZOSVBvcDI=,87925,2016,1.4,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8291970,2743.6430161374856,True,0,0
Q3ZOSVUxOF8y,21532,1132,3.2,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1833496,2059.91868771561,True,0,0
Q1dfQ3JwbGQ=,2235,271,7.4,0.053,0.006,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,2722,442,9.9,0.069,0.011,True,177245,3363,1.2,0.045,0.001,True,-487,518.4640778298917,False,-0.17891256429096253,0.16639879447352313,False,-0.016000000000000007,0.012529964086141668,False,-175010,3373.9013026465373,True,0.7999999999999998,0.6082762530298219,False
Q1dfRHJ2QWxu,14656,728,3,0.349,0.015,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,14801,842,3.5,0.376,0.018,True,883066,6519,0.4,0.223,0.002,True,-145,1113.0804103927082,False,-0.009796635362475508,0.07478235946383985,False,-0.027000000000000024,0.023430749027719962,False,-868410,6559.523229625763,True,12.599999999999998,1.5132745950421556,True
Q1dfT3Ro,479,136,17.3,0.011,0.003,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,True,303,125,25.1,0.008,0.003,False,112933,2992,1.6,0.029,0.001,True,176,184.7187050625897,False,0.5808580858085809,0.791698406067342,False,0.002999999999999999,0.004242640687119285,False,-112454,2995.089314194153,True,-1.8000000000000005,0.31622776601683794,True
Q1dfUGJUcm5z,22698,926,2.5,0.54,0.017,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,19559,991,3.1,0.497,0.019,True,2223087,10073,0.3,0.562,0.002,True,3139,1356.3026948288498,False,0.16048877754486426,0.075489991539158,False,0.04300000000000004,0.025495097567963924,False,-2200389,10115.473543042857,True,-2.200000000000003,1.711724276862369,False
Q1dfV2xrZA==,1245,212,10.3,0.03,0.005,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,1368,281,12.5,0.035,0.007,True,392607,5774,0.9,0.099,0.001,True,-123,352.00142045167945,False,-0.08991228070175439,0.2428223618203449,False,-0.0050000000000000044,0.008602325267042627,False,-391362,5777.890618556222,True,-6.9,0.5099019513592785,True
Q1dfV3JrZEht,729,165,13.7,0.017,0.004,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,True,586,166,17.3,0.015,0.004,True,164594,3729,1.4,0.042,0.001,True,143,234.05341270744162,False,0.2440273037542662,0.45107645740341357,False,0.0020000000000000018,0.00565685424949238,False,-163865,3732.6486574549176,True,-2.5,0.4123105625617661,True
RTEwdDEycHQ1,1441,222,9.4,0.036,0.005,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,1279,0,,0,0,False,169608,0,,0,0,False,162,222,False,0.1266614542611415,0.17357310398749023,False,0.036,0.005,True,-168167,222,True,3.5999999999999996,0.5,True
RTEycHQ1dDE1,1126,191,10.3,0.028,0.005,e12pt5t15,E12pt5t15,MdEWrk,economic__special_variable,economic,True,872,0,,0,0,False,144620,0,,0,0,False,254,191,False,0.29128440366972475,0.21903669724770644,False,0.028,0.005,True,-143494,191,True,2.8000000000000003,0.5,True
RTE1dDE3cHQ1,1572,229,8.9,0.039,0.006,e15t17pt5,E15t17pt5,MdEWrk,economic__special_variable,economic,True,1457,0,,0,0,False,173274,0,,0,0,False,115,229,False,0.0789293067947838,0.1571722717913521,False,0.039,0.006,True,-171702,229,True,3.9,0.6,True
RTE3cHQ1dDIw,1350,221,10,0.034,0.005,e17pt5t20,E17pt5t20,MdEWrk,economic__special_variable,economic,True,1419,0,,0,0,False,126285,0,,0,0,False,-69,221,False,-0.048625792811839326,0.1557434813248767,False,0.034,0.005,True,-124935,221,True,3.4000000000000004,0.5,True
RTIwdDIycHQ1,2156,273,7.7,0.054,0.007,e20t22pt5,E20t22pt5,MdEWrk,economic__special_variable,economic,True,2025,0,,0,0,False,196961,0,,0,0,False,131,273,False,0.06469135802469136,0.13481481481481483,False,0.054,0.007,True,-194805,273,True,5.4,0.7000000000000001,True
