id,sum,variable,variablename,base,category,profile,percent,previous_sum,previous_percent,comparison_sum,comparison_percent,change_sum,change_percent,change_percentage_point,difference_sum,significant,difference_percent
QU5I,285,anh,ANH,Pop3,mutually_exclusive_race___hispanic_origin,decennial,0.00718427022939249,167,0.00394146801982535,1028119,0.125761746016854,118,0.7065868263473054,0.00324280220956714,-1027834,True,-11.857747578746151
QXJn,33,arg,Arg,Hsp2,hispanic_subgroup,decennial,0.00964348334307422,9,0.00265565063440543,15169,0.0064933675103036,24,2.6666666666666665,0.00698783270866879,-15136,True,0.315011583277062
QXNuQWxuT3JD,506,asnalnorc,AsnAlnOrC,AsnAlnOrC,asian_subgroup,decennial,1,347,1,1134919,1,159,0.45821325648414984,0,-1134413,True,0
QXNuQWxvbmU=,302,asnalone,AsnAlone,AsnAlnOrC,asian_subgroup,decennial,0.596837944664032,167,0.481268011527378,1038388,0.914944590759341,135,0.8083832335329342,0.11556993313665392,-1038086,True,-31.81066460953091
QXNuSW5Db21ibw==,204,asnincombo,AsnInCombo,AsnAlnOrC,asian_subgroup,decennial,0.403162055335968,180,0.518731988472622,96531,0.0850554092406595,24,0.13333333333333333,-0.11556993313665403,-96327,True,31.81066460953085
QXNuSW5k,79,asnind,AsnInd,AsnAlnOrC,asian_subgroup,decennial,0.156126482213439,48,0.138328530259366,192209,0.169359222993007,31,0.6458333333333334,0.017797951954072994,-192130,True,-1.3232740779568033
QXZnRmFtU3o=,3.48020902824105,avgfamsz,AvgFamSz,mean,relationship_to_head_of_household__householder_,decennial,,,3.5032429245283,,3.32030552025947,,-0.023033896287250055,-0.006575021139977467,,,0.15990350798157982,True,0
QXZnSEhTeg==,2.71680376028202,avghhsz,AvgHHSz,mean,relationship_to_head_of_household__householder_,decennial,,,2.89145322558554,,2.56918261847125,,-0.17464946530351977,-0.060401968033963964,,,0.14762114181077024,True,0
QXZISFN6T09j,3.67756770567195,avhhszooc,AvHHSzOOc,mean,housing_tenure,decennial,,,3.75311720698254,,2.75068958927896,,-0.07554950131059002,-0.02012980068142633,,,0.9268781163929902,True,0
QXZISFN6Uk9j,2.56650679456435,avhhszroc,AvHHSzROc,mean,housing_tenure,decennial,,,2.75430658093197,,2.48777581732104,,-0.18779978636761996,-0.0681840531724956,,,0.07873097724331002,True,0
QmdsZHNo,0,bgldsh,Bgldsh,AsnAlnOrC,asian_subgroup,decennial,0,14,0.0403458213256484,53174,0.04685268287869,-14,-1,-0.0403458213256484,-53174,True,-4.685268287869
Qk5I,24921,bnh,BNH,Pop3,mutually_exclusive_race___hispanic_origin,decennial,0.628207713637509,30207,0.712933679490205,1861295,0.227677641452439,-5286,-0.17499255139537193,-0.08472596585269598,-1836374,True,40.053007218507005
Qm9s,1,bol,Bol,Hsp2,hispanic_subgroup,decennial,0.000292226767971946,0,0,4488,0.0019211703728817,1,0,0.000292226767971946,-4487,True,-0.16289436049097542
Q0Ft,967,cam,CAm,Hsp2,hispanic_subgroup,decennial,0.282583284628872,1221,0.360283269401003,151378,0.0648001178043865,-254,-0.20802620802620803,-0.07769998477213103,-150411,True,21.778316682448548
Q2FtYmRu,0,cambdn,Cambdn,AsnAlnOrC,asian_subgroup,decennial,0,0,0,2166,0.00190850624582019,0,0,0,-2166,True,-0.190850624582019
Q2hp,7,chi,Chi,Hsp2,hispanic_subgroup,decennial,0.00204558737580362,0,0,7026,0.00300760762920384,7,0,0.00204558737580362,-7019,True,-0.09620202534002198
Q2hpbmVzZQ==,82,chinese,Chinese,AsnAlnOrC,asian_subgroup,decennial,0.162055335968379,56,0.161383285302594,486463,0.428632351736115,26,0.4642857142857143,0.0006720506657850178,-486381,True,-26.657701576773597
Q29s,53,col,Col,Hsp2,hispanic_subgroup,decennial,0.0154880187025132,100,0.0295072292711714,94723,0.0405479102563444,-47,-0.47,-0.014019210568658201,-94670,True,-2.5059891553831193
Q1JpYw==,62,cric,CRic,Hsp2,hispanic_subgroup,decennial,0.0181180596142607,77,0.022720566538802,6673,0.00285649953169332,-15,-0.19480519480519481,-0.0046025069245413,-6611,True,1.526156008256738
Q3Vi,84,cub,Cub,Hsp2,hispanic_subgroup,decennial,0.0245470485096435,116,0.0342283859545589,40840,0.0174823079386116,-32,-0.27586206896551724,-0.009681337444915398,-40756,True,0.70647405710319
RG9t,606,dom,Dom,Hsp2,hispanic_subgroup,decennial,0.177089421390999,540,0.159339038064326,576701,0.246867396437445,66,0.12222222222222222,0.017750383326673003,-576095,True,-6.977797504644602
RWN1,77,ecu,Ecu,Hsp2,hispanic_subgroup,decennial,0.0225014611338399,93,0.0274417232221894,167209,0.0715768665060555,-16,-0.17204301075268819,-0.004940262088349499,-167132,True,-4.907540537221561
RmFt,8994,fam,Fam,HH,household_type_,decennial,0.621690744452893,10176,0.696890836871661,1850221,0.594967689074225,-1182,-0.11615566037735849,-0.07520009241876802,-1841227,True,2.672305537866791
RmFtMQ==,8994,fam1,Fam1,AvgFamSz,relationship_to_head_of_household__householder_,decennial,0,10176,0,1850221,0,-1182,-0.11615566037735849,0,-1841227,True,0
RmVt,21432,fem,Fem,Pop2,sex_and_age,decennial,0.540257121250315,23297,0.549846589568091,4292589,0.525078796883182,-1865,-0.08005322573721939,-0.009589468317775962,-4271157,True,1.5178324367132916
RmVtTkhzYg==,3724,femnhsb,FemNHsb,HH,household_type_,decennial,0.257413423653833,4546,0.311327215449938,581745,0.187069262688341,-822,-0.18081830180378355,-0.053913791796105004,-578021,True,7.034416096549201
RmlsaXBpbm8=,25,filipino,Filipino,AsnAlnOrC,asian_subgroup,decennial,0.0494071146245059,5,0.0144092219020173,67292,0.0592923371623878,20,4,0.0349978927224886,-67267,True,-0.9885222537881901
Rm1SZWxDaFUxOA==,4891,fmrelchu18,FmRelChU18,HH,household_type_,decennial,0.338079767747287,6275,0.429735652650322,948747,0.305084533202306,-1384,-0.2205577689243028,-0.091655884903035,-943856,True,3.2995234544981003
Rk5IUkNoVTE4,2118,fnhrchu18,FNHRChU18,HH,household_type_,decennial,0.146402156632336,3083,0.211135460895768,343280,0.110387087977815,-965,-0.3130068115471943,-0.06473330426343202,-341162,True,3.601506865452098
R3JuZENoVTE4,1197,grndchu18,GrndChU18,PopU18_2,relationship_to_head_of_household__householder_,decennial,0.121338063862139,1376,0.106304079110012,165859,0.0938057621947943,-179,-0.1300872093023256,0.015033984752127,-164662,True,2.75323016673447
R3VhdA==,36,guat,Guat,Hsp2,hispanic_subgroup,decennial,0.0105201636469901,45,0.0132782531720271,30420,0.0130218366183292,-9,-0.2,-0.002758089525037,-30384,True,-0.25016729713391017
SEg=,14467,hh,HH,HH,household_type_,decennial,1,14602,1,3109784,1,-135,-0.009245308861799754,0,-3095317,True,0
SEgx,14467,hh1,HH1,AvgHHSz,relationship_to_head_of_household__householder_,decennial,0,14602,0,3109784,0,-135,-0.009245308861799754,0,-3095317,True,0
SEgxcGVyc29u,4383,hh1person,HH1person,OcHU_4,household_size,decennial,0.302965369461533,3740,0.256129297356527,995755,0.320200695611013,643,0.17192513368983958,0.04683607210500601,-991372,True,-1.7235326149479988
SEgycHBs,3851,hh2ppl,HH2ppl,OcHU_4,household_size,decennial,0.266192023225271,3794,0.259827420901246,858781,0.276154549640747,57,0.015023721665788086,0.006364602324025026,-854930,True,-0.9962526415475956
SEgzcHBs,2504,hh3ppl,HH3ppl,OcHU_4,household_size,decennial,0.173083569503007,2801,0.191823037940008,496643,0.159703374896777,-297,-0.10603355944305605,-0.018739468437001,-494139,True,1.3380194606229985
SEg0cHBs,1627,hh4ppl,HH4ppl,OcHU_4,household_size,decennial,0.112462846478192,1895,0.12977674291193,377689,0.121451843600713,-268,-0.14142480211081795,-0.017313896433738,-376062,True,-0.8988997122520992
SEg1cHBs,937,hh5ppl,HH5ppl,OcHU_4,household_size,decennial,0.0647680929010852,1117,0.0764963703602246,198515,0.063835623310172,-180,-0.1611459265890779,-0.011728277459139388,-197578,True,0.09324695909132164
SEg2cHBs,505,hh6ppl,HH6ppl,OcHU_4,household_size,decennial,0.0349070297919403,552,0.037803040679359,92634,0.0297879209617131,-47,-0.08514492753623189,-0.0028960108874187054,-92129,True,0.5119108830227197
SEg3cGxQcGw=,660,hh7plppl,HH7plPpl,OcHU_4,household_size,decennial,0.0456210686389715,703,0.0481440898507054,89767,0.0288659919788641,-43,-0.06116642958748222,-0.0025230212117339015,-89107,True,1.67550766601074
SEhsZHI=,8994,hhldr,HHldr,Pop4,relationship_to_head_of_household__householder_,decennial,0.226720443660197,10176,0.240169931555346,1850221,0.226323045753506,-1182,-0.11615566037735849,-0.013449487895148993,-1841227,True,0.03973979066909905
SEhsZHJVMTg=,13,hhldru18,HHldrU18,PopU18_2,relationship_to_head_of_household__householder_,decennial,0.00131779016725798,11,0.000849814585908529,1182,0.00066851006526174,2,0.18181818181818182,0.0004679755813494509,-1169,True,0.064928010199624
SEhyMTV0MjQ=,591,hhr15t24,HHr15t24,OcHU_3,tenure_by_age_of_householder,decennial,0.0408515932812608,584,0.0399945212984523,119317,0.038368259660478,7,0.011986301369863013,0.0008570719828084952,-118726,True,0.24833336207827994
SEhyMjV0MzQ=,2475,hhr25t34,HHr25t34,OcHU_3,tenure_by_age_of_householder,decennial,0.171079007396143,2573,0.176208738528969,583537,0.187645508498339,-98,-0.038087835211815003,-0.005129731132825999,-581062,True,-1.6566501102195978
SEhyMzV0NDQ=,2643,hhr35t44,HHr35t44,OcHU_3,tenure_by_age_of_householder,decennial,0.182691643049699,3269,0.223873441994247,609384,0.195957018236636,-626,-0.19149587029672682,-0.04118179894454799,-606741,True,-1.3265375186936978
SEhyNDV0NTQ=,2968,hhr45t54,HHr45t54,OcHU_3,tenure_by_age_of_householder,decennial,0.205156563212829,3163,0.216614162443501,630949,0.20289158346689,-195,-0.061650331963325956,-0.011457599230672022,-627981,True,0.22649797459390086
SEhyNTV0NjQ=,2658,hhr55t64,HHr55t64,OcHU_3,tenure_by_age_of_householder,decennial,0.183728485518767,2329,0.159498698808382,531036,0.170762985467801,329,0.14126234435379992,0.024229786710385004,-528378,True,1.2965500050965986
SEhyNjV0NzQ=,1789,hhr65t74,HHr65t74,OcHU_3,tenure_by_age_of_householder,decennial,0.123660745144121,1593,0.109094644569237,332966,0.107070458912902,196,0.12303829252981795,0.014566100574884,-331177,True,1.6590286231219
SEhyNzVw,1343,hhr75p,HHr75p,OcHU_3,tenure_by_age_of_householder,decennial,0.0928319623971798,1091,0.0747157923572113,302595,0.0973041857569529,252,0.230980751604033,0.0181161700399685,-301252,True,-0.44722233597731
SEhyODVw,332,hhr85p,HHr85p,OcHU_3,tenure_by_age_of_householder,decennial,0.0229487799820281,208,0.0142446240241063,92439,0.0297252156419867,124,0.5961538461538461,0.0087041559579218,-92107,True,-0.6776435659958602
SEh3SW5kNjVw,3679,hhwind65p,HHwInd65p,HH,household_type_,decennial,0.25430289624663,3262,0.223394055608821,763496,0.245514157896497,417,0.12783568362967504,0.030908840637808993,-759817,True,0.8788738350133016
SEh3SW5kVTE4,4953,hhwindu18,HHwIndU18,HH,household_type_,decennial,0.342365383286099,6366,0.435967675660868,959122,0.308420777777492,-1413,-0.2219604147031103,-0.09360229237476902,-954169,True,3.3944605508607033
SG1Pd25yVmNSdA==,1.7570281124498,hmownrvcrt,HmOwnrVcRt,ratio,housing_occupancy,decennial,,,1.81194906953967,,2.88326832943512,,-0.054920957089870104,-0.030310430912841774,,,-1.1262402169853198,True,0
SG9u,128,hon,Hon,Hsp2,hispanic_subgroup,decennial,0.0374050263004091,158,0.0466214222484509,42400,0.0181500944318592,-30,-0.189873417721519,-0.0092163959480418,-42272,True,1.9254931868549903
SHNwMQ==,3422,hsp1,Hsp1,Pop3,mutually_exclusive_race___hispanic_origin,decennial,0.0862616586841442,3358,0.0792541892848714,2336076,0.285753883147834,64,0.019058963668850508,0.007007469399272798,-2332654,True,-19.949222446368978
SHNwMg==,3422,hsp2,Hsp2,Hsp2,hispanic_subgroup,decennial,1,3389,1,2336076,1,33,0.009737385659486574,0,-2332654,True,0
SFVuaXRz,15066,hunits,HUnits,HUnits,housing_occupancy,decennial,1,15140,1,3371062,1,-74,-0.00488771466314399,0,-3355996,True,0
SUZISGxkcjY1cA==,1632,ifhhldr65p,IFHHldr65p,Pop65pl_2,relationship_to_head_of_household__householder_,decennial,0.365019011406844,1392,0.346959122632104,304001,0.30609530407045,240,0.1724137931034483,0.01805988877474002,-302369,True,5.892370733639403
SUZOUmVsNjVw,66,ifnrel65p,IFNRel65p,Pop65pl_2,relationship_to_head_of_household__householder_,decennial,0.0147617982554238,62,0.0154536390827517,9757,0.00982421729473055,4,0.06451612903225806,-0.0006918408273278998,-9691,True,0.49375809606932486
SUZPUmVsNjVw,556,iforel65p,IFORel65p,Pop65pl_2,relationship_to_head_of_household__householder_,decennial,0.124356967121449,613,0.152791625124626,132054,0.132963737894675,-57,-0.0929853181076672,-0.028434658003176988,-131498,True,-0.8606770773226007
SUZTcHM2NXA=,607,ifsps65p,IFSps65p,Pop65pl_2,relationship_to_head_of_household__householder_,decennial,0.135763811227913,577,0.143818544366899,158399,0.159490232168497,30,0.05199306759098787,-0.008054733138985998,-157792,True,-2.372642094058399
SW5kb25zbg==,3,indonsn,Indonsn,AsnAlnOrC,asian_subgroup,decennial,0.00592885375494071,5,0.0144092219020173,3785,0.00333503976935799,-2,-0.4,-0.008480368147076589,-3782,True,0.2593813985582721
SU5GSEhscjY1cA==,1500,infhhlr65p,INFHHlr65p,Pop65pl_2,relationship_to_head_of_household__householder_,decennial,0.335495414895996,1292,0.322033898305085,331560,0.333844161754726,208,0.1609907120743034,0.013461516590910994,-330060,True,0.16512531412700326
SU5GTHZBbDY1cA==,1364,inflval65p,INFLvAl65p,Pop65pl_2,relationship_to_head_of_household__householder_,decennial,0.305077163945426,1207,0.300847457627119,310684,0.312824344162762,157,0.1300745650372825,0.004229706318306992,-309320,True,-0.774718021733598
SW5GbUhINjVw,2861,infmhh65p,InFmHH65p,Pop65pl_2,relationship_to_head_of_household__householder_,decennial,0.639901588011631,2644,0.659022931206381,604211,0.608373491428353,217,0.08207261724659606,-0.019121343194750007,-601350,True,3.1528096583278042
SU5GTnJlbDY1cA==,108,infnrel65p,INFNrel65p,Pop65pl_2,relationship_to_head_of_household__householder_,decennial,0.0241556698725117,71,0.0176969092721834,16327,0.0164394789147346,37,0.5211267605633803,0.006458760600328298,-16219,True,0.7716190957777096
