id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,8,14,106.382978723404,0.000609756097560976,0.00106660369817698,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.000609756097560976,0.00106660369817698,False,-3862,470.2084644070117,True,0,0.1462068209409127
QWdISEluYw==,850611900,45976115,3.28575300663291,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,689403000,37706144,3.32485760652425,0,0,True,307989432000,2361252362,0.5,0,0,True,161208900,59460545.28712263,False,0.23383840801389028,0.09487643651335952,False,0,0,-307138820100,2361699921.709164,True,0,0
QWdJUDE1cGw=,887452400,47435311,3.24930726641214,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,707677300,38835006,3.33597055931831,0,0,True,318266008500,2111708243,0.4,0,0,True,179775100,61304701.45663183,False,0.2540354198163485,0.09606659862154932,False,0,0,-317378556100,2112240945.6034634,True,0,0
QWdUVG0=,547070,41328,4.59235641788421,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,447890,33981,4.61210182347069,0,0,True,156042185,593582,0.2,0,0,True,99180,53504.31706881231,False,0.22143829958248676,0.1307740787160676,False,0,0,-155495115,595018.9865105146,True,0,0
QXJ0RW5SQUZT,1095,413,22.9282036335374,0.0834603658536585,0.0311791481182367,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,False,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.0834603658536585,0.0311791481182367,False,-439900,5448.674884777031,True,-2.5539634146341506,3.1195180354967387,False
Q05JMTg2NF8y,16832,773,2.79175864181123,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5353045,2079.97355752423,True,,
Q29uc3RjdG4=,749,245,19.8846689202625,0.0570884146341463,0.0184371774292344,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0570884146341463,0.0184371774292344,True,-205318,3748.0161419076094,True,0.6088414634146302,1.846427663238044,False
Q3ZFbTE2cGwx,13120,681,3.15534880272815,0.590857914884035,0.0190918882517847,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,12218,709,3.52760713303059,0.607256461232604,0.0223744215576007,True,4053141,9894,0.1,0.591,0.001,True,902,983.0778199105094,False,0.0738255033557047,0.08360378396389163,False,-0.016398546348568965,0.02941283626337082,False,-4040021,9917.40878455658,True,0,1.9118059446989766
Q3ZFbTE2cGwy,13120,681,3.15534880272815,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,12218,709,3.52760713303059,1,0,True,4053141,9894,0.1,1,0,True,902,983.0778199105094,False,0.0738255033557047,0.08360378396389163,False,0,0,-4040021,9917.40878455658,True,0,0
Q3ZFbTE2cGwz,13120,681,3.15534880272815,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4040021,9917.40878455658,True,0,0
Q3ZFbTE2cGw0,13120,681,3.15534880272815,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,12218,709,3.52760713303059,1,0,True,4053141,9894,0.1,1,0,True,902,983.0778199105094,False,0.0738255033557047,0.08360378396389163,False,0,0,-4040021,9917.40878455658,True,0,0
