id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QUlBTk5I,62,63,61.8,0.002,0.002,aiannh,AIANNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,74,85,69.7,0.002,0.003,False,15017,875,3.5,0.002,0.001,True,-12,105.80170130957252,False,-0.16216216216216217,1.2849034556958943,False,0,0.0036055512754639895,-14955,877.2650682661427,True,0,0.223606797749979
QXNuMVJj,3230,586,11,1,0,asn1rc,Asn1Rc,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,1177700,3785,0.2,1,0,True,,,,,1,0,True,-1174470,3830.0941241697965,True,0,0
QXNuMnBs,34,40,71.5,0.011,0.012,asn2pl,Asn2pl,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,17175,1660,5.9,0.015,0.001,True,,,,,0.011,0.012,False,-17141,1660.4818577750254,True,-0.40000000000000013,1.2041594578792296,False
QXNuQmh1dG4=,0,0,,0,0,asnbhutn,AsnBhutn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,100,90,54.7,0,0,False,,,,,0,0,-100,90,False,0,0
QXNuQm5n,0,0,,0,0,asnbng,AsnBng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,65991,3237,3,0.056,0.003,True,,,,,0,0,-65991,3237,True,-5.6000000000000005,0.3,True
QXNuQnVybQ==,0,0,,0,0,asnburm,AsnBurm,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4509,620,8.4,0.004,0.001,True,,,,,0,0,-4509,620,True,-0.4,0.1,True
QXNuQ2hpTm9U,747,305,24.8,0.231,0.085,asnchinot,AsnChiNoT,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,565173,5911,0.6,0.48,0.005,True,,,,,0.231,0.085,False,-564426,5918.863573355953,True,-24.9,8.514693182963201,False
QXNuQ21i,0,0,,0,0,asncmb,AsnCmb,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,2700,1036,23.3,0.002,0.001,False,,,,,0,0,-2700,1036,False,-0.2,0.1,False
QXNuRWFzdA==,796,308,23.5,0.246,0.084,asneast,AsnEast,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,686453,6802,0.6,0.583,0.005,True,,,,,0.246,0.084,False,-685657,6808.96967242475,True,-33.699999999999996,8.414867794564572,True
QXNuRmxw,544,245,27.4,0.168,0.07,asnflp,AsnFlp,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,71450,2932,2.5,0.061,0.002,True,,,,,0.168,0.07,False,-70906,2942.2183807460656,True,10.700000000000001,7.0028565600046395,False
QXNuSG1uZw==,0,0,,0,0,asnhmng,AsnHmng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,60,59,59.8,0,0,False,,,,,0,0,-60,59,False,0,0
QXNuSW5k,1059,386,22.1,0.328,0.104,asnind,AsnInd,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,228887,4990,1.3,0.194,0.004,True,,,,,0.328,0.104,True,-227828,5004.90719194672,True,13.400000000000002,10.40768946500615,False
QXNuSW5kbnNu,0,0,,0,0,asnindnsn,AsnIndnsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,3778,675,10.9,0.003,0.001,True,,,,,0,0,-3778,675,True,-0.3,0.1,False
QXNuSnBu,0,0,,0,0,asnjpn,AsnJpn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,25224,1431,3.4,0.021,0.001,True,,,,,0,0,-25224,1431,True,-2.1,0.1,True
QXNuS29y,49,46,56.6,0.015,0.014,asnkor,AsnKor,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,85212,2865,2,0.072,0.002,True,,,,,0.015,0.014,False,-85163,2865.369260671301,True,-5.699999999999999,1.4142135623730951,True
QXNuTGFv,0,0,,0,0,asnlao,AsnLao,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,538,173,19.5,0,0,True,,,,,0,0,-538,173,True,0,0
QXNuTWFsc24=,1,2,121.6,0,0.001,asnmalsn,AsnMalsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,1750,544,18.9,0.001,0,True,,,,,0,0.001,-1749,544.0036764581652,True,-0.1,0.1,False
QXNuTWdvbA==,0,0,,0,0,asnmgol,AsnMgol,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,644,287,27.1,0.001,0,False,,,,,0,0,-644,287,False,-0.1,0,True
QXNuTmVwYWw=,26,41,95.9,0.008,0.013,asnnepal,AsnNepal,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,8478,1242,8.9,0.007,0.001,True,,,,,0.008,0.013,False,-8452,1242.6765468133692,True,0.09999999999999998,1.3038404810405297,False
QXNuTkg=,3210,586,11.1,0.101,0.018,asnnh,AsnNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,2272,532,14.2,0.072,0.017,True,1167421,3568,0.2,0.138,0.001,True,938,791.4669923629159,False,0.4128521126760563,0.4194878619280528,False,0.029000000000000012,0.024758836806279896,False,-1164211,3615.801432601077,True,-3.6999999999999993,1.8027756377319943,False
QXNuT0Fzbg==,47,76,98.3,0.015,0.023,asnoasn,AsnOAsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10707,1286,7.3,0.009,0.001,True,,,,,0.015,0.023,False,-10660,1288.2437657524292,True,0.6000000000000001,2.3021728866442674,False
QXNuT2tpbnc=,0,0,,0,0,asnokinw,AsnOkinw,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,0,0,,0,0,False,,,,,0,0,0,0,0,0
QXNuUGFr,573,307,32.6,0.177,0.09,asnpak,AsnPak,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,48973,3097,3.8,0.042,0.003,True,,,,,0.177,0.09,False,-48400,3112.178979429043,True,13.5,9.004998611882181,False
QXNuU0Vhc3Q=,568,248,26.6,0.176,0.07,asnseast,AsnSEast,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,106360,3653,2.1,0.09,0.003,True,,,,,0.176,0.07,False,-105792,3661.408608718781,True,8.599999999999998,7.006425622241345,False
QXNuU291dGg=,1785,508,17.3,0.553,0.121,asnsouth,AsnSouth,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,357005,6872,1.2,0.303,0.006,True,,,,,0.553,0.121,True,-355220,6890.7509024779,True,25.000000000000004,12.11486689980538,False
QXNuU3JpTA==,127,116,55.5,0.039,0.035,asnsril,AsnSriL,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4576,837,11.1,0.004,0.001,True,,,,,0.039,0.035,False,-4449,845,True,3.5,3.5014282800023198,False
QXNuVGhhaQ==,0,0,,0,0,asnthai,AsnThai,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,7346,955,7.9,0.006,0.001,True,,,,,0,0,-7346,955,True,-0.6,0.1,True
QXNuVHdu,0,0,,0,0,asntwn,AsnTwn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10200,996,5.9,0.009,0.001,True,,,,,0,0,-10200,996,True,-0.8999999999999999,0.1,True
QXNuVnRu,23,40,105.3,0.007,0.012,asnvtn,AsnVtn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,14229,1262,5.4,0.012,0.001,True,,,,,0.007,0.012,False,-14206,1262.6337552909,True,-0.4999999999999999,1.2041594578792296,False
QmxOSA==,9097,977,6.5,0.285,0.028,blnh,BlNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,9228,1117,7.4,0.293,0.033,True,1853055,3317,0.1,0.219,0.001,True,-131,1483.987196710268,False,-0.014195925444299956,0.1595241367149355,False,-0.008000000000000007,0.0432781700167648,False,-1843958,3457.8921324992193,True,6.599999999999998,2.8017851452243803,False
RmVt,16191,855,3.2,0.507,0.014,fem,Fem,Pop_1,sex_and_age,demographic,True,16490,821,3,0.524,0.014,True,4418616,268,0,0.523,0,True,-299,1185.3547992057063,False,-0.018132201334141906,0.07126095521661113,False,-0.017000000000000015,0.019798989873223333,False,-4402425,896.0184149893349,True,-1.6000000000000014,1.4000000000000001,False
RlBvcDB0NQ==,1001,254,15.4,0.031,0.008,fpop0t5,FPop0t5,Pop,poppyramid_only,demographic,True,1212,277,13.9,0.039,0.009,True,269674,178,0,0.032,0,True,-211,375.8257574994029,False,-0.1740924092409241,0.28204627317420483,False,-0.008,0.012041594578792296,False,-268673,310.16124838541646,True,-0.10000000000000009,0.8,False
RlBvcDEwdDE0,1192,267,13.6,0.037,0.008,fpop10t14,FPop10t14,Pop,poppyramid_only,demographic,True,1285,271,12.8,0.041,0.008,True,227093,2312,0.6,0.027,0,True,-93,380.4339627320358,False,-0.07237354085603113,0.2853860097305786,False,-0.0040000000000000036,0.01131370849898476,False,-225901,2327.3661078566906,True,0.9999999999999996,0.8,False
RlBvcDE1dDE5,1237,246,12.1,0.039,0.008,fpop15t19,FPop15t19,Pop,poppyramid_only,demographic,True,1405,259,11.2,0.045,0.008,True,226700,355,0.1,0.027,0,True,-168,357.2072227713208,False,-0.1195729537366548,0.2387409263782919,False,-0.005999999999999998,0.01131370849898476,False,-225463,431.90392450173454,True,1.1999999999999997,0.8,False
RlBvcDIwdDI0,1354,257,11.5,0.042,0.008,fpop20t24,FPop20t24,Pop,poppyramid_only,demographic,True,1090,263,14.7,0.035,0.008,True,293909,3345,0.7,0.035,0,True,264,367.72000217556837,False,0.24220183486238533,0.38134833875055235,False,0.006999999999999999,0.01131370849898476,False,-292555,3354.858268243235,True,0.6999999999999997,0.8,False
