id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QUlBTk5I,0,0,,0,0,aiannh,AIANNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,0,0,,0,0,False,15017,875,3.5,0.002,0.001,True,0,0,0,,,,-15017,875,True,-0.2,0.1,False
QXNuMVJj,678,219,19.6,1,0,asn1rc,Asn1Rc,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,1177700,3785,0.2,1,0,True,,,,,1,0,True,-1177022,3791.3303733650014,True,0,0
QXNuMnBs,14,19,82.5,0.021,0.027,asn2pl,Asn2pl,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,17175,1660,5.9,0.015,0.001,True,,,,,0.021,0.027,False,-17161,1660.1087313787611,True,0.6000000000000001,2.701851217221259,False
QXNuQmh1dG4=,0,0,,0,0,asnbhutn,AsnBhutn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,100,90,54.7,0,0,False,,,,,0,0,-100,90,False,0,0
QXNuQm5n,31,53,103.9,0.046,0.077,asnbng,AsnBng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,65991,3237,3,0.056,0.003,True,,,,,0.046,0.077,False,-65960,3237.4338603282695,True,-1.0000000000000009,7.705841939723395,False
QXNuQnVybQ==,0,0,,0,0,asnburm,AsnBurm,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4509,620,8.4,0.004,0.001,True,,,,,0,0,-4509,620,True,-0.4,0.1,True
QXNuQ2hpTm9U,97,62,38.8,0.143,0.079,asnchinot,AsnChiNoT,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,565173,5911,0.6,0.48,0.005,True,,,,,0.143,0.079,False,-565076,5911.325147545176,True,-33.7,7.9158069708653205,True
QXNuQ21i,18,28,94.6,0.027,0.04,asncmb,AsnCmb,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,2700,1036,23.3,0.002,0.001,False,,,,,0.027,0.04,False,-2682,1036.3783093060179,False,2.5,4.001249804748512,False
QXNuRWFzdA==,172,77,27.1,0.254,0.078,asneast,AsnEast,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,686453,6802,0.6,0.583,0.005,True,,,,,0.254,0.078,True,-686281,6802.435813736135,True,-32.9,7.8160092118676525,True
QXNuRmxw,157,85,33,0.232,0.101,asnflp,AsnFlp,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,71450,2932,2.5,0.061,0.002,True,,,,,0.232,0.101,False,-71293,2933.231835365217,True,17.1,10.101980003939824,False
QXNuSG1uZw==,0,0,,0,0,asnhmng,AsnHmng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,60,59,59.8,0,0,False,,,,,0,0,-60,59,False,0,0
QXNuSW5k,155,140,54.8,0.229,0.192,asnind,AsnInd,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,228887,4990,1.3,0.194,0.004,True,,,,,0.229,0.192,False,-228732,4991.9635415335315,True,3.5,19.204166214652485,False
QXNuSW5kbnNu,0,0,,0,0,asnindnsn,AsnIndnsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,3778,675,10.9,0.003,0.001,True,,,,,0,0,-3778,675,True,-0.3,0.1,False
QXNuSnBu,10,14,85.1,0.015,0.02,asnjpn,AsnJpn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,25224,1431,3.4,0.021,0.001,True,,,,,0.015,0.02,False,-25214,1431.0684819392816,True,-0.6000000000000001,2.0024984394500787,False
QXNuS29y,65,43,40.2,0.096,0.055,asnkor,AsnKor,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,85212,2865,2,0.072,0.002,True,,,,,0.096,0.055,False,-85147,2865.322669438819,True,2.4000000000000004,5.503635162326805,False
QXNuTGFv,47,74,95.7,0.069,0.107,asnlao,AsnLao,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,538,173,19.5,0,0,True,,,,,0.069,0.107,False,-491,188.16216410320115,False,6.9,10.7,False
QXNuTWFsc24=,0,0,,0,0,asnmalsn,AsnMalsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,1750,544,18.9,0.001,0,True,,,,,0,0,-1750,544,True,-0.1,0,True
QXNuTWdvbA==,0,0,,0,0,asnmgol,AsnMgol,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,644,287,27.1,0.001,0,False,,,,,0,0,-644,287,False,-0.1,0,True
QXNuTmVwYWw=,0,0,,0,0,asnnepal,AsnNepal,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,8478,1242,8.9,0.007,0.001,True,,,,,0,0,-8478,1242,True,-0.7000000000000001,0.1,True
QXNuTkg=,621,207,20.3,0.021,0.007,asnnh,AsnNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,769,290,22.9,0.029,0.011,False,1167421,3568,0.2,0.138,0.001,True,-148,356.29903171353135,False,-0.19245773732119636,0.4064476828306308,False,-0.008,0.013038404810405297,False,-1166800,3573.999580302158,True,-11.700000000000001,0.7071067811865476,True
QXNuT0Fzbg==,34,50,88.9,0.05,0.072,asnoasn,AsnOAsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10707,1286,7.3,0.009,0.001,True,,,,,0.05,0.072,False,-10673,1286.9716391591542,True,4.1,7.200694410957875,False
QXNuT2tpbnc=,0,0,,0,0,asnokinw,AsnOkinw,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,0,0,,0,0,False,,,,,0,0,0,0,0,0
QXNuUGFr,32,39,75,0.047,0.056,asnpak,AsnPak,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,48973,3097,3.8,0.042,0.003,True,,,,,0.047,0.056,False,-48941,3097.2455504851405,True,0.5,5.608029957123981,False
QXNuU0Vhc3Q=,240,120,30.4,0.354,0.135,asnseast,AsnSEast,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,106360,3653,2.1,0.09,0.003,True,,,,,0.354,0.135,False,-106120,3654.970451316946,True,26.4,13.503332921912278,False
QXNuU291dGg=,218,155,43.1,0.322,0.203,asnsouth,AsnSouth,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,357005,6872,1.2,0.303,0.006,True,,,,,0.322,0.203,False,-356787,6873.747813238423,True,1.9000000000000021,20.308865059377396,False
QXNuU3JpTA==,0,0,,0,0,asnsril,AsnSriL,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4576,837,11.1,0.004,0.001,True,,,,,0,0,-4576,837,True,-0.4,0.1,True
QXNuVGhhaQ==,0,0,,0,0,asnthai,AsnThai,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,7346,955,7.9,0.006,0.001,True,,,,,0,0,-7346,955,True,-0.6,0.1,True
QXNuVHdu,0,0,,0,0,asntwn,AsnTwn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10200,996,5.9,0.009,0.001,True,,,,,0,0,-10200,996,True,-0.8999999999999999,0.1,True
QXNuVnRu,18,30,101.3,0.027,0.043,asnvtn,AsnVtn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,14229,1262,5.4,0.012,0.001,True,,,,,0.027,0.043,False,-14211,1262.3565265011307,True,1.5000000000000002,4.301162633521313,False
QmxOSA==,4751,643,8.2,0.163,0.021,blnh,BlNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,4366,603,8.4,0.164,0.021,True,1853055,3317,0.1,0.219,0.001,True,385,881.5089335905791,False,0.08818140174072378,0.21042179010488543,False,-0.0010000000000000009,0.029698484809835,False,-1848304,3378.747992970177,True,-5.599999999999998,2.1023796041628637,False
RmVt,15483,960,3.8,0.532,0.021,fem,Fem,Pop_1,sex_and_age,demographic,True,13688,893,4,0.513,0.019,True,4418616,268,0,0.523,0,True,1795,1311.1250893793467,False,0.13113676212741088,0.10180633837841715,False,0.019000000000000017,0.02831960451701259,False,-4403133,996.7065766814223,True,0.8999999999999986,2.1,False
RlBvcDB0NQ==,1385,348,15.3,0.048,0.012,fpop0t5,FPop0t5,Pop,poppyramid_only,demographic,True,1240,293,14.4,0.047,0.011,True,269674,178,0,0.032,0,True,145,454.920872240437,False,0.11693548387096774,0.3852480044909474,False,0.0010000000000000009,0.016278820596099707,False,-268289,390.8810560771652,True,1.5999999999999996,1.2,False
RlBvcDEwdDE0,889,238,16.3,0.031,0.008,fpop10t14,FPop10t14,Pop,poppyramid_only,demographic,True,761,240,19.1,0.029,0.009,True,227093,2312,0.6,0.027,0,True,128,338,False,0.16819973718791065,0.48326380521249623,False,0.0019999999999999983,0.012041594578792296,False,-226204,2324.2177178569136,True,0.3999999999999999,0.8,False
RlBvcDE1dDE5,2156,344,9.7,0.074,0.011,fpop15t19,FPop15t19,Pop,poppyramid_only,demographic,True,1658,290,10.6,0.062,0.01,True,226700,355,0.1,0.027,0,True,498,449.92888326934514,False,0.30036188178528345,0.30786202999475343,False,0.011999999999999997,0.014866068747318505,False,-224544,494.32883792066997,True,4.699999999999999,1.0999999999999999,True
RlBvcDIwdDI0,2152,348,9.8,0.074,0.011,fpop20t24,FPop20t24,Pop,poppyramid_only,demographic,True,1466,274,11.3,0.055,0.01,True,293909,3345,0.7,0.035,0,True,686,442.9221150495875,False,0.4679399727148704,0.36280076003003214,False,0.018999999999999996,0.014866068747318505,False,-291757,3363.053523213688,True,3.899999999999999,1.0999999999999999,True
