id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QUlBTk5I,89,50,34.3,0.002,0.001,aiannh,AIANNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,39,36,55.8,0.001,0.001,False,15017,875,3.5,0.002,0.001,True,50,61.61168720299745,False,1.2820512820512822,2.4659754932641236,False,0.001,0.001414213562373095,False,-14928,876.4274071479052,True,0,0.14142135623730953
QXNuMVJj,8253,927,6.8,1,0,asn1rc,Asn1Rc,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,1177700,3785,0.2,1,0,True,,,,,1,0,True,-1169447,3896.864637115331,True,0,0
QXNuMnBs,8,17,129.2,0.001,0.002,asn2pl,Asn2pl,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,17175,1660,5.9,0.015,0.001,True,,,,,0.001,0.002,False,-17167,1660.087045910545,True,-1.4,0.223606797749979,True
QXNuQmh1dG4=,0,0,,0,0,asnbhutn,AsnBhutn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,100,90,54.7,0,0,False,,,,,0,0,-100,90,False,0,0
QXNuQm5n,64,61,57.6,0.008,0.007,asnbng,AsnBng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,65991,3237,3,0.056,0.003,True,,,,,0.008,0.007,False,-65927,3237.5747095627,True,-4.800000000000001,0.7615773105863909,True
QXNuQnVybQ==,7,15,130.3,0.001,0.002,asnburm,AsnBurm,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4509,620,8.4,0.004,0.001,True,,,,,0.001,0.002,False,-4502,620.1814250685037,True,-0.30000000000000004,0.223606797749979,False
QXNuQ2hpTm9U,4571,762,10.1,0.554,0.068,asnchinot,AsnChiNoT,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,565173,5911,0.6,0.48,0.005,True,,,,,0.554,0.068,True,-560602,5959.913170508443,True,7.400000000000006,6.818357573492315,False
QXNuQ21i,9,16,108.1,0.001,0.002,asncmb,AsnCmb,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,2700,1036,23.3,0.002,0.001,False,,,,,0.001,0.002,False,-2691,1036.1235447570912,False,-0.1,0.223606797749979,False
QXNuRWFzdA==,5959,822,8.4,0.722,0.058,asneast,AsnEast,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,686453,6802,0.6,0.583,0.005,True,,,,,0.722,0.058,True,-680494,6851.488013563185,True,13.900000000000006,5.821511831131154,False
QXNuRmxw,252,146,35.2,0.031,0.017,asnflp,AsnFlp,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,71450,2932,2.5,0.061,0.002,True,,,,,0.031,0.017,False,-71198,2935.6328108263133,True,-2.9999999999999996,1.711724276862369,False
QXNuSG1uZw==,0,0,,0,0,asnhmng,AsnHmng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,60,59,59.8,0,0,False,,,,,0,0,-60,59,False,0,0
QXNuSW5k,1509,409,16.5,0.183,0.045,asnind,AsnInd,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,228887,4990,1.3,0.194,0.004,True,,,,,0.183,0.045,True,-227378,5006.733565909015,True,-1.1000000000000014,4.517742799230607,False
QXNuSW5kbnNu,4,8,121.6,0,0.001,asnindnsn,AsnIndnsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,3778,675,10.9,0.003,0.001,True,,,,,0,0.001,-3774,675.0474057427374,True,-0.3,0.14142135623730953,False
QXNuSnBu,324,138,25.8,0.039,0.016,asnjpn,AsnJpn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,25224,1431,3.4,0.021,0.001,True,,,,,0.039,0.016,False,-24900,1437.6386889618684,True,1.7999999999999998,1.6031219541881399,False
QXNuS29y,903,257,17.3,0.109,0.029,asnkor,AsnKor,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,85212,2865,2,0.072,0.002,True,,,,,0.109,0.029,True,-84309,2876.5037806337054,True,3.700000000000001,2.906888370749727,False
QXNuTGFv,0,0,,0,0,asnlao,AsnLao,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,538,173,19.5,0,0,True,,,,,0,0,-538,173,True,0,0
QXNuTWFsc24=,13,19,89.9,0.002,0.002,asnmalsn,AsnMalsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,1750,544,18.9,0.001,0,True,,,,,0.002,0.002,False,-1737,544.3317003445601,True,0.1,0.2,False
QXNuTWdvbA==,0,0,,0,0,asnmgol,AsnMgol,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,644,287,27.1,0.001,0,False,,,,,0,0,-644,287,False,-0.1,0,True
QXNuTmVwYWw=,14,22,95.5,0.002,0.003,asnnepal,AsnNepal,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,8478,1242,8.9,0.007,0.001,True,,,,,0.002,0.003,False,-8464,1242.1948317393692,True,-0.5,0.31622776601683794,False
QXNuTkg=,8242,927,6.8,0.155,0.017,asnnh,AsnNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,6608,832,7.7,0.13,0.016,True,1167421,3568,0.2,0.138,0.001,True,1634,1245.6135034592392,False,0.24727602905569007,0.21057525361555887,False,0.024999999999999994,0.023345235059857503,False,-1159179,3686.4553435515804,True,1.6999999999999993,1.7029386365926402,False
QXNuT0Fzbg==,98,63,39.2,0.012,0.008,asnoasn,AsnOAsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10707,1286,7.3,0.009,0.001,True,,,,,0.012,0.008,False,-10609,1287.5422323170608,True,0.30000000000000004,0.806225774829855,False
QXNuT2tpbnc=,0,0,,0,0,asnokinw,AsnOkinw,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,0,0,,0,0,False,,,,,0,0,0,0,0,0
QXNuUGFr,113,98,52.8,0.014,0.012,asnpak,AsnPak,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,48973,3097,3.8,0.042,0.003,True,,,,,0.014,0.012,False,-48860,3098.5501448258024,True,-2.8,1.2369316876852983,False
QXNuU0Vhc3Q=,482,215,27.1,0.058,0.025,asnseast,AsnSEast,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,106360,3653,2.1,0.09,0.003,True,,,,,0.058,0.025,False,-105878,3659.321521812479,True,-3.1999999999999993,2.5179356624028344,False
QXNuU291dGg=,1706,426,15.2,0.207,0.046,asnsouth,AsnSouth,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,357005,6872,1.2,0.303,0.006,True,,,,,0.207,0.046,True,-355299,6885.191355365514,True,-9.600000000000001,4.638965401897281,False
QXNuU3JpTA==,6,9,91.2,0.001,0.001,asnsril,AsnSriL,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4576,837,11.1,0.004,0.001,True,,,,,0.001,0.001,False,-4570,837.0483856982223,True,-0.30000000000000004,0.14142135623730953,False
QXNuVGhhaQ==,73,63,52.5,0.009,0.008,asnthai,AsnThai,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,7346,955,7.9,0.006,0.001,True,,,,,0.009,0.008,False,-7273,957.0757545774525,True,0.29999999999999993,0.806225774829855,False
QXNuVHdu,161,105,39.6,0.02,0.013,asntwn,AsnTwn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10200,996,5.9,0.009,0.001,True,,,,,0.02,0.013,False,-10039,1001.5193457941789,True,1.1,1.3038404810405297,False
QXNuVnRu,124,141,69.1,0.015,0.017,asnvtn,AsnVtn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,14229,1262,5.4,0.012,0.001,True,,,,,0.015,0.017,False,-14105,1269.8523536222626,True,0.30000000000000004,1.7029386365926402,False
QmxOSA==,7343,1307,10.8,0.138,0.024,blnh,BlNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,6465,742,7,0.127,0.014,True,1853055,3317,0.1,0.219,0.001,True,878,1502.9347956581482,False,0.13580819798917246,0.2405500164943315,False,0.01100000000000001,0.02778488797889961,False,-1845712,3565.212195648388,True,-8.099999999999998,2.4020824298928627,True
RmVt,29461,1468,3,0.555,0.019,fem,Fem,Pop_1,sex_and_age,demographic,True,28600,1449,3.1,0.561,0.018,True,4418616,268,0,0.523,0,True,861,2062.674235064762,False,0.030104895104895106,0.07320098892239635,False,-0.006000000000000005,0.0261725046566048,False,-4389155,1492.2627114553254,True,3.200000000000003,1.9,False
RlBvcDB0NQ==,674,263,23.7,0.013,0.005,fpop0t5,FPop0t5,Pop,poppyramid_only,demographic,False,858,205,14.5,0.017,0.004,True,269674,178,0,0.032,0,True,-184,333.45764348714516,False,-0.21445221445221446,0.3594244044056168,False,-0.004000000000000002,0.006403124237432849,False,-269000,317.57361351346555,True,-1.9000000000000001,0.5,True
RlBvcDEwdDE0,841,245,17.7,0.016,0.005,fpop10t14,FPop10t14,Pop,poppyramid_only,demographic,True,633,154,14.8,0.012,0.003,True,227093,2312,0.6,0.027,0,True,208,289.38037252032143,False,0.3285939968404423,0.5042627851951869,False,0.004,0.0058309518948453,False,-226252,2324.9449455847334,True,-1.1,0.5,False
RlBvcDE1dDE5,3347,387,7,0.063,0.007,fpop15t19,FPop15t19,Pop,poppyramid_only,demographic,True,3230,717,13.5,0.063,0.014,True,226700,355,0.1,0.027,0,True,117,814.7748155165327,False,0.036222910216718265,0.2593562841656802,False,0,0.01565247584249853,-223353,525.1609277164476,True,3.5999999999999996,0.7000000000000001,True
RlBvcDIwdDI0,5470,654,7.3,0.103,0.012,fpop20t24,FPop20t24,Pop,poppyramid_only,demographic,True,4684,606,7.9,0.092,0.011,True,293909,3345,0.7,0.035,0,True,786,891.6008075366464,False,0.16780529461998292,0.20572339876415902,False,0.010999999999999996,0.016278820596099707,False,-288439,3408.334050529672,True,6.799999999999999,1.2,True
RlBvcDI1dDI5,4203,697,10.1,0.079,0.013,fpop25t29,FPop25t29,Pop,poppyramid_only,demographic,True,3250,475,8.9,0.064,0.009,True,405287,203,0,0.048,0,True,953,843.4654705439933,False,0.29323076923076924,0.28586496397466116,False,0.015,0.015811388300841896,False,-401084,725.9600539974634,True,3.1000000000000005,1.3,False
