id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,689290700,42391392,3.73860305399365,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,555368600,43734405,4.78713856665465,0,0,True,307989432000,2361252362,0.5,0,0,True,133922100,60907538.91269691,False,0.24114092874534138,0.12401207648618344,False,0,0,-307300141300,2361632856.132866,True,0,0
QWdJUDE1cGw=,713705500,44888781,3.82342755743895,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,585443900,47159143,4.89682649976781,0,0,True,318266008500,2111708243,0.4,0,0,True,128261600,65107506.695928775,False,0.2190843563320072,0.12458888347749417,False,0,0,-317552303000,2112185291.638452,True,0,0
QWdUVG0=,597295,43956,4.47366421021052,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,645410,50778,4.78270945699369,0,0,True,156042185,593582,0.2,0,0,True,-48115,67160.51831247284,False,-0.07454951116344649,0.09969810267216961,False,0,0,-155444890,595207.2921764316,True,0,0
QXJ0RW5SQUZT,1046,228,13.2506523621613,0.077798438081071,0.0163350803881905,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.077798438081071,0.0163350803881905,True,-439949,5437.781992687827,True,-3.1201561918929013,1.6365660734863283,False
Q05JMTg2NF8y,17887,987,3.35439145748309,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5351990,2168.623987693579,True,,
Q29uc3RjdG4=,671,181,16.3979724495944,0.0499070286351804,0.0131414724976356,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0499070286351804,0.0131414724976356,True,-205396,3744.3772512929304,True,-0.10929713648195971,1.3179465065248774,False
Q3ZFbTE2cGwx,13445,787,3.55834475929742,0.587246123607775,0.0206287919638655,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,14232,852,3.63921536466476,0.599191647019198,0.017464667191644,True,4053141,9894,0.1,0.591,0.001,True,-787,1159.8590431599866,False,-0.055297920179876336,0.07909672267462861,False,-0.011945523411423076,0.027028904121390643,False,-4039696,9925.25087844131,True,-0.3753876392225024,2.065301570929635,False
Q3ZFbTE2cGwy,13445,787,3.55834475929742,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,14232,852,3.63921536466476,1,0,True,4053141,9894,0.1,1,0,True,-787,1159.8590431599866,False,-0.055297920179876336,0.07909672267462861,False,0,0,-4039696,9925.25087844131,True,0,0
Q3ZFbTE2cGwz,13445,787,3.55834475929742,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4039696,9925.25087844131,True,0,0
Q3ZFbTE2cGw0,13445,787,3.55834475929742,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,14232,852,3.63921536466476,1,0,True,4053141,9894,0.1,1,0,True,-787,1159.8590431599866,False,-0.055297920179876336,0.07909672267462861,False,0,0,-4039696,9925.25087844131,True,0,0
