id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,35,57,99,0.002,0.004,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.002,0.004,False,-3835,473.44376646017844,True,0.1,0.4123105625617661,False
QWdISEluYw==,524489900,35172559,4.1,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,459047500,29868731,,0,0,False,307989432000,2361252362,0.5,0,0,True,65442400,46143796.962959625,False,0.1425612817845648,0.10675946276541125,False,0,0,-307464942100,2361514307.802768,True,0,0
QWdJUDE1cGw=,561089500,38314532,4.2,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,498382400,32561257,,0,0,False,318266008500,2111708243,0.4,0,0,True,62707100,50281595.23920331,False,0.1258212569304213,0.1063974813176213,False,0,0,-317704919000,2112055801.0896697,True,0,0
QWdUVG0=,603470,52504,5.3,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,512245,41649,,0,0,False,156042185,593582,0.2,0,0,True,91225,67017.23074702505,False,0.17808860994250797,0.14028855839489934,False,0,0,-155438715,595899.5391339047,True,0,0
QXJ0RW5SQUZT,2406,466,11.8,0.168,0.03,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.168,0.03,True,-438589,5452.948285102289,True,5.9,3.0016662039607267,False
Q05JMTg2NF8y,19480,1078,3.4,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5350397,2211.525491600764,True,,
Q29uc3RjdG4=,889,322,22,0.062,0.022,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.062,0.022,False,-205178,3753.835904777938,True,1.1000000000000005,2.2022715545545237,False
Q3ZFbTE2cGwx,14362,987,4.2,0.583,0.03,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,12985,878,4.1,0.502,0.022,True,4053141,9894,0.1,0.591,0.001,True,1377,1321.0045420058177,False,0.10604543704274162,0.1066335749653387,False,0.08099999999999996,0.03720215047547654,False,-4038779,9943.108417391415,True,-0.7999999999999972,3.0016662039607267,False
Q3ZFbTE2cGwy,14362,987,4.2,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,12985,878,4.1,1,0,True,4053141,9894,0.1,1,0,True,1377,1321.0045420058177,False,0.10604543704274162,0.1066335749653387,False,0,0,-4038779,9943.108417391415,True,0,0
Q3ZFbTE2cGwz,14362,987,4.2,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4038779,9943.108417391415,True,0,0
Q3ZFbTE2cGw0,14362,987,4.2,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,12985,878,4.1,1,0,True,4053141,9894,0.1,1,0,True,1377,1321.0045420058177,False,0.10604543704274162,0.1066335749653387,False,0,0,-4038779,9943.108417391415,True,0,0
Q3ZMRjE=,15920,1013,3.9,0.647,0.029,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,15613,936,3.6,0.604,0.019,True,4354474,10392,0.1,0.635,0.002,True,307,1379.2262323491386,False,0.01966310126176904,0.0891425123192012,False,0.04300000000000004,0.03466987164671943,False,-4338554,10441.25629414392,True,1.2000000000000028,2.906888370749727,False
Q3ZMRjE4dDY0,15118,1022,4.1,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4087373,9942.664833936624,True,,
Q3ZMRjI=,15920,1013,3.9,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,15613,936,3.6,1,0,True,4354474,10392,0.1,1,0,True,307,1379.2262323491386,False,0.01966310126176904,0.0891425123192012,False,0,0,-4338554,10441.25629414392,True,0,0
Q3ZMRkVt,13744,990,4.4,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3811799,9597.198341182702,True,0,0
Q3ZMRlVFbTE=,1558,354,13.8,0.063,0.014,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,2628,416,9.6,0.102,0.015,True,301333,4545,0.9,0.044,0.001,True,-1070,546.2343819277581,False,-0.4071537290715373,0.1641700078362983,False,-0.03899999999999999,0.020518284528683192,False,-299775,4558.765293366177,True,1.9000000000000004,1.4035668847618201,False
Q3ZMRlVFbTI=,1558,354,13.8,0.098,0.021,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,2628,416,9.6,0.168,0.025,True,301333,4545,0.9,0.069,0.001,True,-1070,546.2343819277581,False,-0.4071537290715373,0.1641700078362983,False,-0.07,0.03264965543462902,False,-299775,4558.765293366177,True,2.9000000000000004,2.1023796041628637,False
