id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWJyb2Fk,0,0,,0,0,abroad,Abroad,DfHs2,residence_1_year_ago,social,False,0,0,,0,0,False,90888,3237,2.2,0.109,0.004,True,0,0,0,,,,-90888,3237,True,-10.9,0.4,True
QWZn,0,0,,0,0,afg,Afg,Pop_5,ancestry,social,False,0,0,,0,0,False,4368,817,11.4,0.001,0,True,0,0,0,,,,-4368,817,True,-0.1,0,True
QWZnaGFu,0,0,,0,0,afghan,Afghan,Fb2,place_of_birth,social,False,0,0,,0,0,False,3928,714,11,0.001,0,True,0,0,0,,,,-3928,714,True,-0.1,0,True
QWZy,0,0,,0,0,afr,Afr,Fb2,place_of_birth,social,False,0,0,,0,0,False,147127,5003,2.1,0.047,0.002,True,0,0,0,,,,-147127,5003,True,-4.7,0.2,True
QWZyaWNhbg==,0,0,,0,0,african,African,Pop_5,ancestry,social,False,0,0,,0,0,False,107555,4544,2.6,0.013,0.001,True,0,0,0,,,,-107555,4544,True,-1.3,0.1,True
QWZyTkVD,0,0,,0,0,afrnec,AfrNEC,Fb2,place_of_birth,social,False,0,0,,0,0,False,12568,1359,6.6,0.004,0,True,0,0,0,,,,-12568,1359,True,-0.4,0,True
QWxi,0,0,,0,0,alb,Alb,Pop_5,ancestry,social,False,0,0,,0,0,False,34768,2674,4.7,0.004,0,True,0,0,0,,,,-34768,2674,True,-0.4,0,True
QWxiYW5pYQ==,0,0,,0,0,albania,Albania,Fb2,place_of_birth,social,False,0,0,,0,0,False,17563,1857,6.4,0.006,0.001,True,0,0,0,,,,-17563,1857,True,-0.6,0.1,True
QWxzYXRu,0,0,,0,0,alsatn,Alsatn,Pop_5,ancestry,social,False,0,0,,0,0,False,214,81,23,0,0,False,0,0,0,,,,-214,81,False,0,0
QW1lcmNu,0,0,,0,0,amercn,Amercn,Pop_5,ancestry,social,False,0,0,,0,0,False,377184,8097,1.3,0.045,0.001,True,0,0,0,,,,-377184,8097,True,-4.5,0.1,True
QW1yaWNhcw==,0,0,,0,0,amricas,Amricas,Fb2,place_of_birth,social,False,0,0,,0,0,False,1600899,10488,0.4,0.512,0.003,True,0,0,0,,,,-1600899,10488,True,-51.2,0.3,True
QXJhYg==,0,0,,0,0,arab,Arab,Pop_5,ancestry,social,False,0,0,,0,0,False,102479,4271,2.5,0.012,0.001,True,0,0,0,,,,-102479,4271,True,-1.2,0.1,True
QXJhYlN1Yg==,0,0,,0,0,arabsub,ArabSub,Pop_5,ancestry,social,False,0,0,,0,0,False,12835,1443,6.8,0.002,0,True,0,0,0,,,,-12835,1443,True,-0.2,0,True
QXJnbnRpbmE=,0,0,,0,0,argntina,Argntina,Fb2,place_of_birth,social,False,0,0,,0,0,False,13398,1756,8,0.004,0.001,True,0,0,0,,,,-13398,1756,True,-0.4,0.1,True
QXJtZW5pYQ==,0,0,,0,0,armenia,Armenia,Fb2,place_of_birth,social,False,0,0,,0,0,False,2434,569,14.2,0.001,0,True,0,0,0,,,,-2434,569,True,-0.1,0,True
QXJtZW5pYW4=,0,0,,0,0,armenian,Armenian,Pop_5,ancestry,social,False,0,0,,0,0,False,10953,1014,5.6,0.001,0,True,0,0,0,,,,-10953,1014,True,-0.1,0,True
QXNpYQ==,0,0,,0,0,asia,Asia,Fb2,place_of_birth,social,False,0,0,,0,0,False,913986,5031,0.3,0.292,0.001,True,0,0,0,,,,-913986,5031,True,-29.2,0.1,True
QXNpYU5FQw==,0,0,,0,0,asianec,AsiaNEC,Fb2,place_of_birth,social,False,0,0,,0,0,False,2126,437,12.5,0.001,0,True,0,0,0,,,,-2126,437,True,-0.1,0,True
QXN5ckNobGRT,0,0,,0,0,asyrchlds,AsyrChldS,Pop_5,ancestry,social,False,0,0,,0,0,False,141,93,40.1,0,0,False,0,0,0,,,,-141,93,False,0,0
