id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,39,38,59.2315485932507,0.000878101499527176,0.000855270640100405,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.000878101499527176,0.000855270640100405,False,-3831,471.53366793899244,True,0,0.13158601247160567
QWdISEluYw==,5462620000,220553576,2.45441056102108,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,3837851700,153841784,2.43680185290604,0,0,True,307989432000,2361252362,0.5,0,0,True,1624768300,268907371.3952268,True,0.42335359128128897,0.08098098293500372,True,0,0,-302526812000,2371530433.48319,True,0,0
QWdJUDE1cGw=,5498588700,220992594,2.44320878976838,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,3895494000,156311013,2.4392770827324,0,0,True,318266008500,2111708243,0.4,0,0,True,1603094700,270685905.41056067,True,0.4115253931850492,0.08016425042451962,True,0,0,-312767419800,2123240313.8027017,True,0,0
QWdUVG0=,1555335,51870,2.02733911945767,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,1488730,57256,2.33797122563229,0,0,True,156042185,593582,0.2,0,0,True,66605,77257.66263614244,False,0.04473947592914766,0.05318275291306853,False,0,0,-154486850,595844.0128288611,True,0,0
QXJ0RW5SQUZT,4385,490,6.79298381814212,0.0987301301391453,0.0107189061447359,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.0987301301391453,0.0107189061447359,True,-436610,5455.051695447074,True,-1.0269869860854701,1.0765451636585297,False
Q05JMTg2NF8y,51537,1279,1.50863961577933,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5318340,2316.1610479411834,True,,
Q29uc3RjdG4=,800,210,15.9574468085106,0.0180123384518395,0.00470416453690813,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0180123384518395,0.00470416453690813,True,-205267,3745.8910822393113,True,-3.29876615481605,0.48092789470256436,True
Q3ZFbTE2cGwx,44414,1175,1.60824450462853,0.732855917101181,0.0109874685647439,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,43585,1288,1.79644080166171,0.727022518765638,0.032683870115924,True,4053141,9894,0.1,0.591,0.001,True,829,1743.4359753085284,False,0.019020305150854653,0.040417847333151014,False,0.005833398335543083,0.03448129683199032,False,-4008727,9963.526534315046,True,14.185591710118103,1.1032881104282568,True
Q3ZFbTE2cGwy,44414,1175,1.60824450462853,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,43585,1288,1.79644080166171,1,0,True,4053141,9894,0.1,1,0,True,829,1743.4359753085284,False,0.019020305150854653,0.040417847333151014,False,0,0,-4008727,9963.526534315046,True,0,0
Q3ZFbTE2cGwz,44414,1175,1.60824450462853,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4008727,9963.526534315046,True,0,0
Q3ZFbTE2cGw0,44414,1175,1.60824450462853,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,43585,1288,1.79644080166171,1,0,True,4053141,9894,0.1,1,0,True,829,1743.4359753085284,False,0.019020305150854653,0.040417847333151014,False,0,0,-4008727,9963.526534315046,True,0,0
Q3ZMRjE=,46362,1203,1.57738447625525,0.764999009966339,0.0107693187082637,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,46480,1366,1.7865644078703,0.775312760633862,0.0347721247702507,True,4354474,10392,0.1,0.635,0.002,True,-118,1820.2101527021543,False,-0.0025387263339070568,0.039105186482808495,False,-0.010313750667523047,0.03640163301938583,False,-4308112,10461.399189401005,True,12.999900996633897,1.0953457236879987,True
Q3ZMRjE4dDY0,43853,1160,1.60802493159483,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4058638,9957.795940869646,True,,
Q3ZMRjI=,46362,1203,1.57738447625525,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,46480,1366,1.7865644078703,1,0,True,4354474,10392,0.1,1,0,True,-118,1820.2101527021543,False,-0.0025387263339070568,0.039105186482808495,False,0,0,-4308112,10461.399189401005,True,0,0
Q3ZMRkVt,41992,1138,1.64744073411581,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3783551,9613.592460677746,True,0,0
Q3ZMRlVFbTE=,1948,275,8.58178913139811,0.0321430928651574,0.00448323799569889,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,2895,429,9.00829960470573,0.0482902418682235,0.00696644486230753,True,301333,4545,0.9,0.044,0.001,True,-947,509.5743321636207,False,-0.3271157167530225,0.13771680812237183,False,-0.016147149003066096,0.008284369435608794,False,-299385,4553.311981404305,True,-1.1856907134842594,0.4593410816166806,False
