id,sum,variable,variablename,base,category,profile,percent,previous_sum,previous_percent,comparison_sum,comparison_percent,change_sum,change_percent,change_percentage_point,difference_sum,significant,difference_percent
QU5I,1722,anh,ANH,Pop3,mutually_exclusive_race___hispanic_origin,decennial,0.107096212451023,1039,0.0681848011550072,1028119,0.125761746016854,683,0.6573628488931665,0.0389114112960158,-1026397,True,-1.8665533565830987
QXJn,22,arg,Arg,Hsp2,hispanic_subgroup,decennial,0.0079136690647482,8,0.00354609929078014,15169,0.0064933675103036,14,1.75,0.00436756977396806,-15147,True,0.14203015544446007
QXNuQWxuT3JD,1903,asnalnorc,AsnAlnOrC,AsnAlnOrC,asian_subgroup,decennial,1,1180,1,1134919,1,723,0.6127118644067797,0,-1133016,True,0
QXNuQWxvbmU=,1751,asnalone,AsnAlone,AsnAlnOrC,asian_subgroup,decennial,0.920126116657909,1057,0.895762711864407,1038388,0.914944590759341,694,0.6565752128666036,0.024363404793501964,-1036637,True,0.5181525898567969
QXNuSW5Db21ibw==,152,asnincombo,AsnInCombo,AsnAlnOrC,asian_subgroup,decennial,0.0798738833420914,123,0.104237288135593,96531,0.0850554092406595,29,0.23577235772357724,-0.024363404793501603,-96379,True,-0.5181525898568102
QXNuSW5k,303,asnind,AsnInd,AsnAlnOrC,asian_subgroup,decennial,0.159222280609564,250,0.211864406779661,192209,0.169359222993007,53,0.212,-0.052642126170097,-191906,True,-1.0136942383443035
QXZnRmFtU3o=,3.2824777054712,avgfamsz,AvgFamSz,mean,relationship_to_head_of_household__householder_,decennial,,,3.21125694093892,,3.32030552025947,,0.07122076453228043,0.022178469627988296,,,-0.0378278147882698,True,0
QXZnSEhTeg==,2.72087045921864,avghhsz,AvgHHSz,mean,relationship_to_head_of_household__householder_,decennial,,,2.67191458559537,,2.56918261847125,,0.04895587362327003,0.018322394693003043,,,0.15168784074739028,True,0
QXZISFN6T09j,2.93609022556391,avhhszooc,AvHHSzOOc,mean,housing_tenure,decennial,,,2.85744089012517,,2.75068958927896,,0.07864933543873986,0.027524396291289385,,,0.18540063628495007,True,0
QXZISFN6Uk9j,2.46104387291982,avhhszroc,AvHHSzROc,mean,housing_tenure,decennial,,,2.47056603773585,,2.48777581732104,,-0.009522164816029743,-0.0038542441977209123,,,-0.02673194440121973,True,0
QmdsZHNo,24,bgldsh,Bgldsh,AsnAlnOrC,asian_subgroup,decennial,0.0126116657908565,0,0,53174,0.04685268287869,24,0,0.0126116657908565,-53150,True,-3.4241017087833505
Qk5I,770,bnh,BNH,Pop3,mutually_exclusive_race___hispanic_origin,decennial,0.0478885502829778,692,0.0454127838298989,1861295,0.227677641452439,78,0.11271676300578035,0.002475766453078905,-1860525,True,-17.97890911694612
Qm9s,4,bol,Bol,Hsp2,hispanic_subgroup,decennial,0.00143884892086331,0,0,4488,0.0019211703728817,4,0,0.00143884892086331,-4484,True,0
Q0Ft,136,cam,CAm,Hsp2,hispanic_subgroup,decennial,0.0489208633093525,144,0.0638297872340425,151378,0.0648001178043865,-8,-0.05555555555555555,-0.01490892392469001,-151242,True,-1.587925449503401
Q2FtYmRu,0,cambdn,Cambdn,AsnAlnOrC,asian_subgroup,decennial,0,1,0.000847457627118644,2166,0.00190850624582019,-1,-1,-0.000847457627118644,-2166,True,-0.190850624582019
Q2hp,9,chi,Chi,Hsp2,hispanic_subgroup,decennial,0.00323741007194245,34,0.0150709219858156,7026,0.00300760762920384,-25,-0.7352941176470589,-0.01183351191387315,-7017,True,0.022980244273860972
Q2hpbmVzZQ==,835,chinese,Chinese,AsnAlnOrC,asian_subgroup,decennial,0.438780872306884,313,0.265254237288136,486463,0.428632351736115,522,1.6677316293929711,0.173526635018748,-485628,True,1.0148520570769008
Q29s,101,col,Col,Hsp2,hispanic_subgroup,decennial,0.0363309352517986,159,0.0704787234042553,94723,0.0405479102563444,-58,-0.36477987421383645,-0.034147788152456705,-94622,True,-0.42169750045457954
Q1JpYw==,16,cric,CRic,Hsp2,hispanic_subgroup,decennial,0.00575539568345324,42,0.0186170212765957,6673,0.00285649953169332,-26,-0.6190476190476191,-0.012861625593142459,-6657,True,0.28988961517599204
Q3Vi,58,cub,Cub,Hsp2,hispanic_subgroup,decennial,0.020863309352518,16,0.00709219858156028,40840,0.0174823079386116,42,2.625,0.013771110770957721,-40782,True,0.33810014139064015
RG9t,156,dom,Dom,Hsp2,hispanic_subgroup,decennial,0.0561151079136691,61,0.0270390070921986,576701,0.246867396437445,95,1.5573770491803278,0.029076100821470503,-576545,True,-19.07522885237759
RWN1,114,ecu,Ecu,Hsp2,hispanic_subgroup,decennial,0.0410071942446043,51,0.0226063829787234,167209,0.0715768665060555,63,1.2352941176470589,0.0184008112658809,-167095,True,-3.0569672261451206
RmFt,4149,fam,Fam,HH,household_type_,decennial,0.710932145305003,3962,0.716974303293522,1850221,0.594967689074225,187,0.047198384654215046,-0.006042157988518926,-1846072,True,11.596445623077798
RmFtMQ==,4149,fam1,Fam1,AvgFamSz,relationship_to_head_of_household__householder_,decennial,0,3962,0,1850221,0,187,0.047198384654215046,0,-1846072,True,0
RmVt,8353,fem,Fem,Pop2,sex_and_age,decennial,0.519497481186641,7810,0.512534453340333,4292589,0.525078796883182,543,0.06952624839948783,0.006963027846307979,-4284236,True,-0.5581315696541083
RmVtTkhzYg==,929,femnhsb,FemNHsb,HH,household_type_,decennial,0.159184372858122,840,0.152008686210641,581745,0.187069262688341,89,0.10595238095238095,0.007175686647481,-580816,True,-2.7884889830219013
RmlsaXBpbm8=,219,filipino,Filipino,AsnAlnOrC,asian_subgroup,decennial,0.115081450341566,229,0.194067796610169,67292,0.0592923371623878,-10,-0.043668122270742356,-0.07898634626860301,-67073,True,5.57891131791782
Rm1SZWxDaFUxOA==,1996,fmrelchu18,FmRelChU18,HH,household_type_,decennial,0.34201507882111,2008,0.363373145132103,948747,0.305084533202306,-12,-0.00597609561752988,-0.021358066310993018,-946751,True,3.6930545618803947
Rk5IUkNoVTE4,483,fnhrchu18,FNHRChU18,HH,household_type_,decennial,0.0827621658670322,483,0.0874049945711183,343280,0.110387087977815,0,0,-0.0046428287040861105,-342797,True,-2.762492211078282
R3JuZENoVTE4,208,grndchu18,GrndChU18,PopU18_2,relationship_to_head_of_household__householder_,decennial,0.0583941605839416,159,0.0433006535947712,165859,0.0938057621947943,49,0.3081761006289308,0.015093506989170398,-165651,True,-3.54116016108527
R3VhdA==,30,guat,Guat,Hsp2,hispanic_subgroup,decennial,0.0107913669064748,29,0.012854609929078,30420,0.0130218366183292,1,0.034482758620689655,-0.0020632430226032,-30390,True,-0.22304697118544015
SEg=,5836,hh,HH,HH,household_type_,decennial,1,5526,1,3109784,1,310,0.056098443720593555,0,-3103948,True,0
SEgx,5836,hh1,HH1,AvgHHSz,relationship_to_head_of_household__householder_,decennial,0,5526,0,3109784,0,310,0.056098443720593555,0,-3103948,True,0
SEgxcGVyc29u,1394,hh1person,HH1person,OcHU_4,household_size,decennial,0.238862234407128,1354,0.245023525153818,995755,0.320200695611013,40,0.029542097488921712,-0.006161290746690001,-994361,True,-8.133846120388501
SEgycHBs,1665,hh2ppl,HH2ppl,OcHU_4,household_size,decennial,0.285298149417409,1606,0.290626131017011,858781,0.276154549640747,59,0.036737235367372355,-0.005327981599602016,-857116,True,0.9143599776662015
SEgzcHBs,1144,hh3ppl,HH3ppl,OcHU_4,household_size,decennial,0.196024674434544,1036,0.18747737965979,496643,0.159703374896777,108,0.10424710424710425,0.008547294774753994,-495499,True,3.632129953776701
SEg0cHBs,920,hh4ppl,HH4ppl,OcHU_4,household_size,decennial,0.157642220699109,893,0.161599710459645,377689,0.121451843600713,27,0.030235162374020158,-0.003957489760536004,-376769,True,3.619037709839599
SEg1cHBs,439,hh5ppl,HH5ppl,OcHU_4,household_size,decennial,0.0752227553118574,429,0.0776330076004343,198515,0.063835623310172,10,0.023310023310023312,-0.0024102522885769,-198076,True,1.1387132001685414
SEg2cHBs,156,hh6ppl,HH6ppl,OcHU_4,household_size,decennial,0.0267306374228924,138,0.0249728555917481,92634,0.0297879209617131,18,0.13043478260869565,0.0017577818311442991,-92478,True,-0.3057283538820701
SEg3cGxQcGw=,118,hh7plppl,HH7plPpl,OcHU_4,household_size,decennial,0.0202193283070596,70,0.0126673905175534,89767,0.0288659919788641,48,0.6857142857142857,0.007551937789506202,-89649,True,-0.8646663671804502
SEhsZHI=,4149,hhldr,HHldr,Pop4,relationship_to_head_of_household__householder_,decennial,0.258038435226071,3962,0.260007875049219,1850221,0.226323045753506,187,0.047198384654215046,-0.0019694398231480115,-1846072,True,3.171538947256497
SEhsZHJVMTg=,2,hhldru18,HHldrU18,PopU18_2,relationship_to_head_of_household__householder_,decennial,0.000561482313307131,3,0.000816993464052288,1182,0.00066851006526174,-1,-0.3333333333333333,-0.00025551115074515707,-1180,True,0
SEhyMTV0MjQ=,123,hhr15t24,HHr15t24,OcHU_3,tenure_by_age_of_householder,decennial,0.0210760795065113,185,0.0334781035106768,119317,0.038368259660478,-62,-0.33513513513513515,-0.012402024004165502,-119194,True,-1.72921801539667
SEhyMjV0MzQ=,760,hhr25t34,HHr25t34,OcHU_3,tenure_by_age_of_householder,decennial,0.130226182316655,933,0.168838219326819,583537,0.187645508498339,-173,-0.18542336548767416,-0.038612037010163996,-582777,True,-5.7419326181683985
SEhyMzV0NDQ=,1108,hhr35t44,HHr35t44,OcHU_3,tenure_by_age_of_householder,decennial,0.189856065798492,1305,0.236156351791531,609384,0.195957018236636,-197,-0.15095785440613027,-0.04630028599303898,-608276,True,-0.6100952438143992
SEhyNDV0NTQ=,1393,hhr45t54,HHr45t54,OcHU_3,tenure_by_age_of_householder,decennial,0.238690884167238,1174,0.212450235251538,630949,0.20289158346689,219,0.18654173764906304,0.026240648915699993,-629556,True,3.5799300700347985
SEhyNTV0NjQ=,1175,hhr55t64,HHr55t64,OcHU_3,tenure_by_age_of_householder,decennial,0.201336531871145,741,0.134093376764387,531036,0.170762985467801,434,0.5856950067476383,0.06724315510675799,-529861,True,3.057354640334399
SEhyNjV0NzQ=,661,hhr65t74,HHr65t74,OcHU_3,tenure_by_age_of_householder,decennial,0.113262508567512,641,0.115997104596453,332966,0.107070458912902,20,0.031201248049921998,-0.002734596028941008,-332305,True,0.6192049654609999
SEhyNzVw,616,hhr75p,HHr75p,OcHU_3,tenure_by_age_of_householder,decennial,0.105551747772447,547,0.0989866087585957,302595,0.0973041857569529,69,0.12614259597806216,0.006565139013851293,-301979,True,0.824756201549409
