id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,547156900,43303496,4.8,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,461634900,38558287,,0,0,False,307989432000,2361252362,0.5,0,0,True,85522000,57982189.18078538,False,0.1852589568076417,0.136382483997061,False,0,0,-307442275100,2361649404.508722,True,0,0
QWdJUDE1cGw=,546937200,43047007,4.8,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,461650500,38476613,,0,0,False,318266008500,2111708243,0.4,0,0,True,85286700,57736423.162591375,False,0.1847430036358674,0.135812500141342,False,0,0,-317719071300,2112146952.3605134,True,0,0
QWdUVG0=,300870,26053,5.3,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,235460,21216,,0,0,False,156042185,593582,0.2,0,0,True,65410,33598.77177814689,False,0.27779665335938164,0.15968383271422718,False,0,0,-155741315,594153.4730463165,True,0,0
QXJ0RW5SQUZT,741,192,15.8,0.106,0.026,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.106,0.026,True,-440254,5436.391542190463,True,-0.3000000000000007,2.6019223662515376,False
Q05JMTg2NF8y,9656,504,3.2,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5360221,1995.6896051240033,True,,
Q29uc3RjdG4=,491,152,18.8,0.07,0.021,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.07,0.021,True,-205576,3743.0874956377925,True,1.9000000000000012,2.1023796041628637,False
Q3ZFbTE2cGwx,7003,508,4.4,0.549,0.033,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,6225,439,4.3,0.538,0.029,True,4053141,9894,0.1,0.591,0.001,True,778,671.4052427558188,False,0.12497991967871486,0.11381475751063959,False,0.01100000000000001,0.043931765272977596,False,-4046138,9907.032855502197,True,-4.199999999999989,3.301514803843836,False
Q3ZFbTE2cGwy,7003,508,4.4,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,6225,439,4.3,1,0,True,4053141,9894,0.1,1,0,True,778,671.4052427558188,False,0.12497991967871486,0.11381475751063959,False,0,0,-4046138,9907.032855502197,True,0,0
Q3ZFbTE2cGwz,7003,508,4.4,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4046138,9907.032855502197,True,0,0
Q3ZFbTE2cGw0,7003,508,4.4,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,6225,439,4.3,1,0,True,4053141,9894,0.1,1,0,True,778,671.4052427558188,False,0.12497991967871486,0.11381475751063959,False,0,0,-4046138,9907.032855502197,True,0,0
Q3ZMRjE=,7544,489,3.9,0.591,0.03,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,6778,449,4,0.586,0.028,True,4354474,10392,0.1,0.635,0.002,True,766,663.8689629738689,False,0.1130126881085866,0.10315549295092402,False,0.0050000000000000044,0.041036569057366384,False,-4346930,10403.498690344513,True,-4.400000000000006,3.0066592756745814,False
Q3ZMRjE4dDY0,7058,484,4.2,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4095433,9901.83599137049,True,,
Q3ZMRjI=,7544,489,3.9,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,6778,449,4,1,0,True,4354474,10392,0.1,1,0,True,766,663.8689629738689,False,0.1130126881085866,0.10315549295092402,False,0,0,-4346930,10403.498690344513,True,0,0
Q3ZMRkVt,6601,495,4.6,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3818942,9558.825293936488,True,0,0
Q3ZMRlVFbTE=,541,190,21.4,0.042,0.015,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,False,553,166,18.3,0.048,0.014,True,301333,4545,0.9,0.044,0.001,True,-12,252.30140705116966,False,-0.0216998191681736,0.4519821059307989,False,-0.005999999999999998,0.020518284528683192,False,-300792,4548.969663561189,True,-0.1999999999999993,1.5033296378372907,False
Q3ZMRlVFbTI=,541,190,21.4,0.072,0.025,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,False,553,166,18.3,0.082,0.024,True,301333,4545,0.9,0.069,0.001,True,-12,252.30140705116966,False,-0.0216998191681736,0.4519821059307989,False,-0.010000000000000009,0.034655446902326914,False,-300792,4548.969663561189,True,0.29999999999999893,2.5019992006393608,False
