id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,401,179.28747864812,27.1793887087933,0.00400967922566195,0.00179044918476478,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.00400967922566195,0.00179044918476478,False,-3469,503.0347900493564,True,0.3009679225661951,0.20507823588145246,False
QWdISEluYw==,6019272200,147858100.110564,1.49325932680462,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,4376937400,105867355.900751,1.47036727687299,0,0,True,307989432000,2361252362,0.5,0,0,True,1642334800,181851353.62081262,True,0.3752246490891097,0.047409021613571724,True,0,0,-301970159800,2365877159.706075,True,0,0
QWdJUDE1cGw=,6224885800,147391935.660567,1.43938320744587,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,4532512200,112638926.934828,1.51071875359729,0,0,True,318266008500,2111708243,0.4,0,0,True,1692373600,185504475.84572786,True,0.37338533804718715,0.047141920124244036,True,0,0,-312041122700,2116845787.0737574,True,0,0
QWdUVG0=,3594070,100057.955405855,1.69238509005085,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,3338050,104065.867627191,1.89517609410388,0,0,True,156042185,593582,0.2,0,0,True,256020,144365.1593875756,False,0.07669747307559803,0.045002499795526486,False,0,0,-152448115,601956.1322588217,True,0,0
QXJ0RW5SQUZT,15176,1009.64993933541,4.04433948393725,0.151747860171186,0.00949792679750884,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.151747860171186,0.00949792679750884,True,-425819,5526.018639128898,True,4.274786017118599,0.9550424778554959,True
Q05JMTg2NF8y,125104,2402.62876866153,1.16748033716751,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5244773,3082.4318321740743,True,,
Q29uc3RjdG4=,5498,598.56495052751,6.61821154669683,0.0549756019518439,0.00585534238221711,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0549756019518439,0.00585534238221711,True,-200569,3787.5955433493687,True,0.3975601951843908,0.5940120740606872,False
Q3ZFbTE2cGwx,100008,2255.45782492158,1.37098930257104,0.65005265005265,0.00971816308168454,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,91727,2211.82368194212,1.46584284543713,0.614623327369825,0.00731036837670424,True,4053141,9894,0.1,0.591,0.001,True,8281,3158.995726492833,False,0.09027876197847962,0.03599686924986197,False,0.03542932268282506,0.012160763935104313,False,-3953133,10147.823707573954,True,5.905265005265008,0.9769477656569789,True
Q3ZFbTE2cGwy,100008,2255.45782492158,1.37098930257104,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,91727,2211.82368194212,1.46584284543713,1,0,True,4053141,9894,0.1,1,0,True,8281,3158.995726492833,False,0.09027876197847962,0.03599686924986197,False,0,0,-3953133,10147.823707573954,True,0,0
Q3ZFbTE2cGwz,100008,2255.45782492158,1.37098930257104,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-3953133,10147.823707573954,True,0,0
Q3ZFbTE2cGw0,100008,2255.45782492158,1.37098930257104,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,91727,2211.82368194212,1.46584284543713,1,0,True,4053141,9894,0.1,1,0,True,8281,3158.995726492833,False,0.09027876197847962,0.03599686924986197,False,0,0,-3953133,10147.823707573954,True,0,0
Q3ZMRjE=,104395,2337.24303400395,1.3610004636668,0.678568178568179,0.00997546490970887,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,98742,2254.49329118541,1.387973343682,0.661627836854484,0.00596691551145048,True,4354474,10392,0.1,0.635,0.002,True,5653,3247.3750938257826,False,0.057250207611755886,0.033808055311394886,False,0.016940341713694962,0.011623853960095222,False,-4250079,10651.589975210272,True,4.356817856817898,1.017398152960939,True
Q3ZMRjE4dDY0,100258,2299.50103283299,1.39427573688637,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4002233,10153.807413970386,True,,
Q3ZMRjI=,104395,2337.24303400395,1.3610004636668,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,98742,2254.49329118541,1.387973343682,1,0,True,4354474,10392,0.1,1,0,True,5653,3247.3750938257826,False,0.057250207611755886,0.033808055311394886,False,0,0,-4250079,10651.589975210272,True,0,0
Q3ZMRkVt,96257,2221.48823989685,1.40296163193617,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3729286,9801.077797875088,True,0,0
Q3ZMRlVFbTE=,4387,491.20464167188,6.8065795621892,0.0285155285155285,0.0031563166718984,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,7015,638.226448840848,5.53071424317278,0.047004509484659,0.00416127505399008,True,301333,4545,0.9,0.044,0.001,True,-2628,805.3663762536896,True,-0.3746258018531718,0.09022372874437695,True,-0.0184889809691305,0.005222886654740263,True,-296946,4571.4666136809965,True,-1.5484471484471496,0.33109416988681317,True
Q3ZMRlVFbTI=,4387,491.20464167188,6.8065795621892,0.0420230853968102,0.0046102297889935,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,7015,638.226448840848,5.53071424317278,0.0710437301249721,0.00625672986040243,True,301333,4545,0.9,0.069,0.001,True,-2628,805.3663762536896,True,-0.3746258018531718,0.09022372874437695,True,-0.029020644728161904,0.007771800772882335,True,-296946,4571.4666136809965,True,-2.697691460318981,0.4717437726915222,True
Q3ZOSVBvcDI=,180416,3324.94360854436,1.12032320593769,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8199479,3810.324264416349,True,0,0
Q3ZOSVUxOF8y,31656,1464.73000925085,2.81277918714873,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1823372,2259.9280962012917,True,0,0
Q1dfQ3JwbGQ=,4122,587.431698157326,8.66330267505705,0.0420599369407059,0.00591655475661919,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,4445,554.692707722032,7.58603407020671,0.0499107333340819,0.00610618215011024,True,177245,3363,1.2,0.045,0.001,True,-323,807.9356410011873,False,-0.07266591676040494,0.1756608887066603,False,-0.007850796393375999,0.008502416164738002,False,-173123,3413.9193019167865,True,-0.29400630592941024,0.6000468330728291,False
Q1dfRHJ2QWxu,16588,870.067238781004,3.18854747153435,0.169260124690061,0.00799228692847202,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,13729,865.940529135806,3.8342750127171,0.154156233508124,0.00895338405935852,True,883066,6519,0.4,0.223,0.002,True,2859,1227.5463331377762,False,0.20824532012528224,0.09911646807572899,False,0.015103891181937001,0.012001655571686764,False,-866478,6576.806063736409,True,-5.373987530993901,0.8238728685120339,True
Q1dfT3Ro,1726,249.112424419177,8.77381948244361,0.0176117057641093,0.00250986363329151,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,True,1295,292.58161254597,13.7344527136623,0.0145409223099294,0.00326572819177318,True,112933,2992,1.6,0.029,0.001,True,431,384.2668343742409,False,0.3328185328185328,0.35732492012829037,False,0.003070783454179899,0.004118785753139071,False,-111207,3002.352577563135,True,-1.1388294235890706,0.2701743040653434,True
Q1dfUGJUcm5z,68360,1970.8264763799,1.75259041297538,0.697529667459159,0.0122740354447122,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,62928,2041.0605086572,1.97172366301315,0.706587767659641,0.0149387991592601,True,2223087,10073,0.3,0.562,0.002,True,5432,2837.267171064438,False,0.0863208746503941,0.04714175950524207,False,-0.009058100200482033,0.01933441662990538,False,-2154727,10263.98977006505,True,13.552966745915896,1.2435913561055794,True
