id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,1,3,182.4,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3869,470.00957437056536,True,-0.1,0.1,False
QWdISEluYw==,7726212700,392130801,3.1,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,6255193400,358500273,,0,0,False,307989432000,2361252362,0.5,0,0,True,1471019300,531308771.6516415,False,0.23516767682994422,0.0945578023456962,False,0,0,-300263219300,2393591293.8811173,True,0,0
QWdJUDE1cGw=,7869149600,395124151,3.1,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,6462304800,367870964,,0,0,False,318266008500,2111708243,0.4,0,0,True,1406844800,539863076.0273943,False,0.21770016171320178,0.09243102573955803,False,0,0,-310396858900,2148356301.5146294,True,0,0
QWdUVG0=,903195,39466,2.7,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,919510,41887,,0,0,False,156042185,593582,0.2,0,0,True,-16315,57550.72479995365,False,-0.01774314580591837,0.0620026713348676,False,0,0,-155138990,594892.5582657763,True,0,0
QXJ0RW5SQUZT,3924,500,7.7,0.094,0.012,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.094,0.012,True,-437071,5455.959035769972,True,-1.5,1.2041594578792296,False
Q05JMTg2NF8y,47276,1420,1.8,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5322601,2396.9065480322756,True,,
Q29uc3RjdG4=,358,156,26.4,0.009,0.004,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.009,0.004,False,-205709,3743.2520620444466,True,-4.199999999999999,0.4123105625617661,True
Q3ZFbTE2cGwx,41621,1293,1.9,0.684,0.012,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,43702,1411,2,0.702,0.038,True,4053141,9894,0.1,0.591,0.001,True,-2081,1913.8364611429056,False,-0.04761795798819276,0.042672031542668847,False,-0.017999999999999905,0.039849717690342554,False,-4011520,9978.130335889586,True,9.300000000000011,1.2041594578792296,True
Q3ZFbTE2cGwy,41621,1293,1.9,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,43702,1411,2,1,0,True,4053141,9894,0.1,1,0,True,-2081,1913.8364611429056,False,-0.04761795798819276,0.042672031542668847,False,0,0,-4011520,9978.130335889586,True,0,0
Q3ZFbTE2cGwz,41621,1293,1.9,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4011520,9978.130335889586,True,0,0
Q3ZFbTE2cGw0,41621,1293,1.9,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,43702,1411,2,1,0,True,4053141,9894,0.1,1,0,True,-2081,1913.8364611429056,False,-0.04761795798819276,0.042672031542668847,False,0,0,-4011520,9978.130335889586,True,0,0
Q3ZMRjE=,43505,1309,1.8,0.715,0.012,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,46157,1416,1.9,0.742,0.04,True,4354474,10392,0.1,0.635,0.002,True,-2652,1928.3508498196068,False,-0.05745607383495461,0.04050144635523333,False,-0.027000000000000024,0.0417612260356422,False,-4310969,10474.117862617357,True,8,1.2165525060596438,True
Q3ZMRjE4dDY0,39080,1253,1.9,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4063411,9969.05757832705,True,,
Q3ZMRjI=,43505,1309,1.8,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,46157,1416,1.9,1,0,True,4354474,10392,0.1,1,0,True,-2652,1928.3508498196068,False,-0.05745607383495461,0.04050144635523333,False,0,0,-4310969,10474.117862617357,True,0,0
Q3ZMRkVt,37445,1242,2,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3788098,9626.457292275285,True,0,0
Q3ZMRlVFbTE=,1884,344,11.1,0.031,0.006,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,2455,413,10.2,0.039,0.006,True,301333,4545,0.9,0.044,0.001,True,-571,537.4988372080446,False,-0.23258655804480652,0.19052866568050564,False,-0.008,0.00848528137423857,False,-299449,4557.999670908282,True,-1.2999999999999994,0.6082762530298219,False
Q3ZMRlVFbTI=,1884,344,11.1,0.043,0.008,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,2455,413,10.2,0.053,0.009,True,301333,4545,0.9,0.069,0.001,True,-571,537.4988372080446,False,-0.23258655804480652,0.19052866568050564,False,-0.010000000000000002,0.012041594578792296,False,-299449,4557.999670908282,True,-2.6000000000000005,0.806225774829855,True
Q3ZOSVBvcDI=,66191,1769,1.6,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8313704,2567.6218568940403,True,0,0
Q3ZOSVUxOF8y,8049,756,5.7,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1846979,1879.7279058416939,True,0,0
Q1dfQ3JwbGQ=,614,205,20.3,0.015,0.005,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,False,574,207,21.9,0.013,0.005,False,177245,3363,1.2,0.045,0.001,True,40,291.3314263858261,False,0.06968641114982578,0.5256997702080749,False,0.002,0.007071067811865475,False,-176631,3369.242348065808,True,-3,0.5099019513592785,True
Q1dfRHJ2QWxu,2029,350,10.5,0.049,0.008,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,2275,442,11.8,0.053,0.01,True,883066,6519,0.4,0.223,0.002,True,-246,563.7942887259501,False,-0.10813186813186813,0.2317188812601897,False,-0.003999999999999997,0.012806248474865698,False,-881037,6528.388851776524,True,-17.4,0.8246211251235323,True
Q1dfT3Ro,3539,471,8.1,0.086,0.011,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,True,3062,462,9.2,0.072,0.011,True,112933,2992,1.6,0.029,0.001,True,477,659.7613204788531,False,0.1557805355976486,0.23253271558807287,False,0.013999999999999999,0.015556349186104044,False,-109394,3028.8454896214166,True,5.699999999999999,1.104536101718726,True
Q1dfUGJUcm5z,20913,1072,3.1,0.508,0.021,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,22219,1050,2.9,0.521,0.018,True,2223087,10073,0.3,0.562,0.002,True,-1306,1500.5612283409164,False,-0.058778522885818446,0.06562140397378705,False,-0.013000000000000012,0.02765863337187866,False,-2202174,10129.882180953538,True,-5.400000000000006,2.1095023109728985,False
