id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,17,29,103.7,0.001,0.002,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.001,0.002,False,-3853,470.89383092157834,True,0,0.223606797749979
QWdISEluYw==,759121500,45620398,3.7,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,606897300,34950518,,0,0,False,307989432000,2361252362,0.5,0,0,True,152224200,57469639.13360452,False,0.25082365665492334,0.10411213050131898,False,0,0,-307230310500,2361693023.609177,True,0,0
QWdJUDE1cGw=,799222900,48033129,3.7,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,627487000,36321725,,0,0,False,318266008500,2111708243,0.4,0,0,True,171735900,60220006.54687997,False,0.2736883792014815,0.10627929107170124,False,0,0,-317466785600,2112254455.5606167,True,0,0
QWdUVG0=,616310,58261,5.7,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,562970,44097,,0,0,False,156042185,593582,0.2,0,0,True,53340,73067.70510971315,False,0.09474749986677798,0.1343989732193215,False,0,0,-155425875,596434.3508258054,True,0,0
QXJ0RW5SQUZT,917,267,17.7,0.069,0.02,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.069,0.02,True,-440078,5439.556783415354,True,-4,2.0024984394500787,False
Q05JMTg2NF8y,16564,1104,4.1,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5353313,2224.314950720783,True,,
Q29uc3RjdG4=,420,182,26.3,0.032,0.014,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.032,0.014,False,-205647,3744.4257236591034,True,-1.8999999999999995,1.4035668847618201,False
Q3ZFbTE2cGwx,13257,914,4.2,0.591,0.028,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,12533,716,3.5,0.584,0.02,True,4053141,9894,0.1,0.591,0.001,True,724,1161.0564155113223,False,0.0577674938163249,0.0947107548563675,False,0.007000000000000006,0.03440930106817051,False,-4039884,9936.127615927646,True,0,2.8017851452243803
Q3ZFbTE2cGwy,13257,914,4.2,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,12533,716,3.5,1,0,True,4053141,9894,0.1,1,0,True,724,1161.0564155113223,False,0.0577674938163249,0.0947107548563675,False,0,0,-4039884,9936.127615927646,True,0,0
Q3ZFbTE2cGwz,13257,914,4.2,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4039884,9936.127615927646,True,0,0
Q3ZFbTE2cGw0,13257,914,4.2,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,12533,716,3.5,1,0,True,4053141,9894,0.1,1,0,True,724,1161.0564155113223,False,0.0577674938163249,0.0947107548563675,False,0,0,-4039884,9936.127615927646,True,0,0
Q3ZMRjE=,13966,943,4.1,0.622,0.028,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,14027,754,3.3,0.654,0.019,True,4354474,10392,0.1,0.635,0.002,True,-61,1207.379393562769,False,-0.004348755970628075,0.08592959473394703,False,-0.03200000000000003,0.03383784863137727,False,-4340508,10434.697551917832,True,-1.2999999999999972,2.8071337695236402,False
Q3ZMRjE4dDY0,13140,924,4.3,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4089351,9933.069817533751,True,,
Q3ZMRjI=,13966,943,4.1,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,14027,754,3.3,1,0,True,4354474,10392,0.1,1,0,True,-61,1207.379393562769,False,-0.004348755970628075,0.08592959473394703,False,0,0,-4340508,10434.697551917832,True,0,0
Q3ZMRkVt,12468,889,4.3,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3813075,9587.306034543803,True,0,0
Q3ZMRlVFbTE=,709,225,19.3,0.032,0.01,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,1494,324,13.2,0.07,0.015,True,301333,4545,0.9,0.044,0.001,True,-785,394.46292601460027,False,-0.5254350736278447,0.1824092588316325,False,-0.038000000000000006,0.018027756377319945,False,-300624,4550.565898874556,True,-1.1999999999999993,1.004987562112089,False
Q3ZMRlVFbTI=,709,225,19.3,0.051,0.016,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,1494,324,13.2,0.107,0.022,True,301333,4545,0.9,0.069,0.001,True,-785,394.46292601460027,False,-0.5254350736278447,0.1824092588316325,False,-0.056,0.027202941017470887,False,-300624,4550.565898874556,True,-1.8000000000000007,1.6031219541881399,False
Q3ZOSVBvcDI=,27639,1496,3.3,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8352256,2387.7472646827596,True,0,0
Q3ZOSVUxOF8y,6226,850,8.3,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1848802,1919.463727190488,True,0,0
Q1dfQ3JwbGQ=,485,199,25,0.038,0.015,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,False,599,194,19.7,0.05,0.016,True,177245,3363,1.2,0.045,0.001,True,-114,277.91545476997135,False,-0.19031719532554256,0.4232461508452245,False,-0.012000000000000004,0.021931712199461308,False,-176760,3368.882604069189,True,-0.7000000000000002,1.5033296378372907,False
Q1dfRHJ2QWxu,5864,660,6.8,0.458,0.041,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,5139,559,6.6,0.432,0.039,True,883066,6519,0.4,0.223,0.002,True,725,864.916759000541,False,0.1410780307452812,0.17860691741485524,False,0.026000000000000023,0.056586217403180435,False,-877202,6552.324854584058,True,23.500000000000004,4.104875150354759,True
Q1dfT3Ro,250,149,36.2,0.02,0.012,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,False,53,49,56.7,0.004,0.004,False,112933,2992,1.6,0.029,0.001,True,197,156.85024705112835,False,3.7169811320754715,5.188611879900764,False,0.016,0.012649110640673518,False,-112683,2995.707762783279,True,-0.9000000000000004,1.2041594578792296,False
Q1dfUGJUcm5z,5343,727,8.3,0.418,0.049,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,5440,586,6.5,0.457,0.041,True,2223087,10073,0.3,0.562,0.002,True,-97,933.7692434429397,False,-0.017830882352941176,0.17044992254442115,False,-0.039000000000000035,0.06389053137985315,False,-2217744,10099.200859473982,True,-14.400000000000006,4.904079934095692,False
Q1dfV2xrZA==,465,359,47,0.036,0.028,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,False,473,217,27.8,0.04,0.018,False,392607,5774,0.9,0.099,0.001,True,-8,419.48778289718996,False,-0.016913319238900635,0.8828774101184819,False,-0.0040000000000000036,0.033286633954186476,False,-392142,5785.149695556719,True,-6.300000000000001,2.8017851452243803,False
