id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QUlBTk5I,89,78.4346862045103,53.573775625498,0.00141895985459647,0.00124990293538414,aiannh,AIANNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,194,179.627392120467,56.286589202039,0.00301181438529489,0.0027872620071147,False,15017,875,3.5,0.002,0.001,True,-105,196.00510197441292,False,-0.5412371134020618,0.5864251465956358,False,-0.00159285453069842,0.0030546827730857677,False,-14928,878.5083949513516,True,-0.05810401454035302,0.16007052657756485,False
QXNuMVJj,35339,1579.01076627109,2.71621993915655,1,0,asn1rc,Asn1Rc,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,1177700,3785,0.2,1,0,True,,,,,1,0,True,-1142361,4101.158372947821,True,0,0
QXNuMnBs,805,329.183839214503,24.8586032747081,0.0227793655734458,0.00925925570183329,asn2pl,Asn2pl,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,17175,1660,5.9,0.015,0.001,True,,,,,0.0227793655734458,0.00925925570183329,False,-16370,1692.3244369800964,True,0.7779365573445802,0.9313099170090067,False
QXNuQmh1dG4=,0,0,,0,0,asnbhutn,AsnBhutn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,100,90,54.7,0,0,False,,,,,0,0,-100,90,False,0,0
QXNuQm5n,56,60.8111831820431,66.0130082306156,0.00158465151815275,0.00171933792878505,asnbng,AsnBng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,65991,3237,3,0.056,0.003,True,,,,,0.00158465151815275,0.00171933792878505,False,-65935,3237.571157519167,True,-5.441534848184726,0.34577627034484115,True
QXNuQnVybQ==,72,108,91.1854103343465,0.00203740909476782,0.00305475746935841,asnburm,AsnBurm,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4509,620,8.4,0.004,0.001,True,,,,,0.00203740909476782,0.00305475746935841,False,-4437,629.3361581857505,True,-0.19625909052321802,0.32142717988062236,False
QXNuQ2hpTm9U,18529,1352.17121696921,4.43622743668952,0.524321571068791,0.0302521422068444,asnchinot,AsnChiNoT,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,565173,5911,0.6,0.48,0.005,True,,,,,0.524321571068791,0.0302521422068444,True,-546644,6063.6860077019155,True,4.432157106879096,3.066255221117668,False
QXNuQ21i,0,0,,0,0,asncmb,AsnCmb,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,2700,1036,23.3,0.002,0.001,False,,,,,0,0,-2700,1036,False,-0.2,0.1,False
QXNuRWFzdA==,30635,1733.87773502055,3.44060394401689,0.866889272475169,0.0301156556309157,asneast,AsnEast,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,686453,6802,0.6,0.583,0.005,True,,,,,0.866889272475169,0.0301156556309157,True,-655818,7019.511094086253,True,28.388927247516904,3.052790058421811,True
QXNuRmxw,698,319.440135236636,27.8207065986741,0.0197515492798325,0.00899612339402697,asnflp,AsnFlp,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,71450,2932,2.5,0.061,0.002,True,,,,,0.0197515492798325,0.00899612339402697,False,-70752,2949.3500979029263,True,-4.1248450720167495,0.9215760203073827,True
QXNuSG1uZw==,0,0,,0,0,asnhmng,AsnHmng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,60,59,59.8,0,0,False,,,,,0,0,-60,59,False,0,0
QXNuSW5k,2261,629.757889986303,16.9319568361177,0.0639803050454172,0.0175896835219622,asnind,AsnInd,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,228887,4990,1.3,0.194,0.004,True,,,,,0.0639803050454172,0.0175896835219622,True,-226626,5029.581990583313,True,-13.001969495458283,1.8038762884488186,True
QXNuSW5kbnNu,54,80,90.0596645277496,0.00152805682107587,0.0022627580336096,asnindnsn,AsnIndnsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,3778,675,10.9,0.003,0.001,True,,,,,0.00152805682107587,0.0022627580336096,False,-3724,679.7242087788252,True,-0.147194317892413,0.24738783152501223,False
QXNuSnBu,38,28.2311884269862,45.1626754551051,0.00107529924446079,0.000797421643976947,asnjpn,AsnJpn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,25224,1431,3.4,0.021,0.001,True,,,,,0.00107529924446079,0.000797421643976947,False,-25186,1431.2784494989087,True,-1.992470075553921,0.12790157459088988,True
QXNuS29y,11356,1056.2111531318,5.65404763402819,0.321344690002547,0.0262131891404494,asnkor,AsnKor,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,85212,2865,2,0.072,0.002,True,,,,,0.321344690002547,0.0262131891404494,True,-73856,3053.4909529913475,True,24.934469000254705,2.6289375894322298,True
