id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,58,49,51.3573000733676,0.00248404642597113,0.00209632213386631,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.00248404642597113,0.00209632213386631,False,-3812,472.547352124631,True,0.148404642597113,0.2322620608049838,False
QWdISEluYw==,2941424300,191264856,3.9528615160802,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,1875641600,110524587,3.58214483962152,0,0,True,307989432000,2361252362,0.5,0,0,True,1065782700,220902533.87460566,True,0.5682230016651368,0.13761549326151182,True,0,0,-305048007700,2368986062.050868,True,0,0
QWdJUDE1cGw=,2962712100,188865098,3.87521992860676,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,1904609300,112190338,3.58082958924228,0,0,True,318266008500,2111708243,0.4,0,0,True,1058102800,219674070.347649,True,0.5555484791552787,0.13501483645931298,True,0,0,-315303296400,2120137195.7485905,True,0,0
QWdUVG0=,771025,39278,3.09681315747432,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,704985,37418,3.22652319684398,0,0,True,156042185,593582,0.2,0,0,True,66040,54248.207417388454,False,0.09367575196635389,0.08045946183931457,False,0,0,-155271160,594880.11566029,True,0,0
QXJ0RW5SQUZT,2069,311,9.13763899274424,0.088611931988522,0.0128569559081427,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.088611931988522,0.0128569559081427,True,-438926,5441.893971771226,True,-2.0388068011477998,1.289578672372979,False
Q05JMTg2NF8y,28768,984,2.07931135912581,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5341109,2167.2602520232776,True,,
Q29uc3RjdG4=,501,166,20.1420866473739,0.021457021713992,0.00705939291998499,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.021457021713992,0.00705939291998499,False,-205566,3743.6821446271315,True,-2.9542978286007995,0.7129868750456365,True
Q3ZFbTE2cGwx,23349,917,2.3874547454308,0.671739693316839,0.0178119249871456,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,21968,884,2.44622186014695,0.661328195556626,0.0159503274135225,True,4053141,9894,0.1,0.591,0.001,True,1381,1273.713076010449,False,0.06286416605972324,0.05976382087788572,False,0.010411497760212995,0.023909780767423804,False,-4029792,9936.404027614819,True,8.073969331683912,1.7839973983941284,True
Q3ZFbTE2cGwy,23349,917,2.3874547454308,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,21968,884,2.44622186014695,1,0,True,4053141,9894,0.1,1,0,True,1381,1273.713076010449,False,0.06286416605972324,0.05976382087788572,False,0,0,-4029792,9936.404027614819,True,0,0
Q3ZFbTE2cGwz,23349,917,2.3874547454308,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4029792,9936.404027614819,True,0,0
Q3ZFbTE2cGw0,23349,917,2.3874547454308,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,21968,884,2.44622186014695,1,0,True,4053141,9894,0.1,1,0,True,1381,1273.713076010449,False,0.06286416605972324,0.05976382087788572,False,0,0,-4029792,9936.404027614819,True,0,0
Q3ZMRjE=,25214,959,2.31212311971228,0.725394861762421,0.0178762912159011,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,23635,920,2.36628101001618,0.711511830935035,0.015549474116705,True,4354474,10392,0.1,0.635,0.002,True,1579,1328.9398030008733,False,0.0668077004442564,0.058058241554451086,False,0.013883030827385956,0.02369278229634041,False,-4329260,10436.155661928391,True,9.039486176242093,1.7987823315668376,True
Q3ZMRjE4dDY0,23954,947,2.40328918167115,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4078537,9935.235729463091,True,,
Q3ZMRjI=,25214,959,2.31212311971228,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,23635,920,2.36628101001618,1,0,True,4354474,10392,0.1,1,0,True,1579,1328.9398030008733,False,0.0668077004442564,0.058058241554451086,False,0,0,-4329260,10436.155661928391,True,0,0
Q3ZMRkVt,22250,915,2.49991462040231,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3803293,9589.751873745223,True,0,0
Q3ZMRlVFbTE=,1865,374,12.1906500321879,0.0536551684455824,0.0106469283743613,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,1667,335,12.2164017044615,0.0501836353784093,0.00995449893103725,True,301333,4545,0.9,0.044,0.001,True,198,502.0966042506163,False,0.1187762447510498,0.3176213623799803,False,0.0034715330671730993,0.014575634901327678,False,-299468,4560.361937390496,True,0.9655168445582403,1.069378715931731,False
Q3ZMRlVFbTI=,1865,374,12.1906500321879,0.0739668438169271,0.014563796790517,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,1667,335,12.2164017044615,0.0705309921726253,0.0139054607896186,True,301333,4545,0.9,0.069,0.001,True,198,502.0966042506163,False,0.1187762447510498,0.3176213623799803,False,0.003435851644301796,0.020136186747423,False,-299468,4560.361937390496,True,0.49668438169270956,1.459808812671965,False
