id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWJyb2Fk,3548,529.046311772419,9.06450676904184,0.105714796496037,0.0146974533401185,abroad,Abroad,DfHs2,residence_1_year_ago,social,True,3901,615.111372029489,9.58543670167167,0.102947773995197,0.0145369648544811,True,90888,3237,2.2,0.109,0.004,True,-353,811.3273075645858,False,-0.0904896180466547,0.19738104156071945,False,0.0027670225008400023,0.020672166840110865,False,-87340,3279.948017880771,True,-0.3285203503962997,1.5232043023999127,False
QWZn,5,7,85.1063829787234,2.76499734560255e-05,3.87070599529905e-05,afg,Afg,Pop_5,ancestry,social,False,0,0,,0,0,False,4368,817,11.4,0.001,0,True,5,7,False,0,,2.76499734560255e-05,3.87070599529905e-05,False,-4363,817.0299872097719,True,-0.09723500265439745,0.00387070599529905,True
QWZnaGFu,0,0,,0,0,afghan,Afghan,Fb2,place_of_birth,social,False,0,0,,0,0,False,3928,714,11,0.001,0,True,0,0,0,,,,-3928,714,True,-0.1,0,True
QWZy,2513,607.029653311928,14.6842414172607,0.0558518913632929,0.0133132547150288,afr,Afr,Fb2,place_of_birth,social,True,1318,306.243367275113,14.1248999024548,0.0324271128060032,0.00739642482001137,True,147127,5003,2.1,0.047,0.002,True,1195,679.9044050452969,False,0.9066767830045523,0.6390577953435499,False,0.0234247785572897,0.015229899908578415,False,-144614,5039.691855659431,True,0.8851891363292905,1.3462642798025823,False
QWZyaWNhbg==,1587,623.416393753004,23.8800586740291,0.00877610157494249,0.0034442042050777,african,African,Pop_5,ancestry,social,False,924,338.325287260648,22.2585354584039,0.00549496295062859,0.00200805217712476,False,107555,4544,2.6,0.013,0.001,True,663,709.3038841004612,False,0.7175324675324676,0.9223340881171395,False,0.0032811386243138995,0.003986830339045092,False,-105968,4586.565599661691,True,-0.4223898425057512,0.3586438708004768,False
QWZyTkVD,1,4,243.161094224924,2.22251855802996e-05,8.88964908058933e-05,afrnec,AfrNEC,Fb2,place_of_birth,social,False,108,75.4519714785505,42.4698702457225,0.00265715340140239,0.00185263078837305,False,12568,1359,6.6,0.004,0,True,-107,75.55792479945436,False,-0.9907407407407407,0.037597704211860525,True,-0.00263492821582209,0.001854762363243699,False,-12567,1359.005886668634,True,-0.39777748144197006,0.00888964908058933,True
QWxi,130,123,57.5169511339724,0.000718899309856663,0.000680077663549526,alb,Alb,Pop_5,ancestry,social,False,131,141,65.4307524536532,0.000779047777632408,0.000838326997339079,False,34768,2674,4.7,0.004,0,True,-1,187.1095935541521,False,-0.007633587786259542,1.4221362118339111,False,-6.0148467775745e-05,0.0010794895937092392,False,-34638,2676.827413188979,True,-0.3281100690143337,0.0680077663549526,True
QWxiYW5pYQ==,90,118,79.7028031070584,0.00200026670222696,0.00262140430125612,albania,Albania,Fb2,place_of_birth,social,False,11,18,99.4749930920144,0.00027063599458728,0.000442696635813121,False,17563,1857,6.4,0.006,0.001,True,79,119.36498649101419,False,7.181818181818182,17.15588620244662,False,0.0017296307076396797,0.0026585223004527044,False,-17473,1860.745280794768,True,-0.399973329777304,0.2805665787410198,False
QWxzYXRu,0,0,,0,0,alsatn,Alsatn,Pop_5,ancestry,social,False,0,0,,0,0,False,214,81,23,0,0,False,0,0,0,,,,-214,81,False,0,0
QW1lcmNu,6154,785.09235125557,7.75527767301442,0.0340315873296762,0.0043021706787792,amercn,Amercn,Pop_5,ancestry,social,True,4074,637.884785835185,9.51821075804583,0.0242277911914079,0.00375260518835633,True,377184,8097,1.3,0.045,0.001,True,2080,1011.5666068035258,False,0.510554737358861,0.30508270404354343,False,0.0098037961382683,0.0057088280976945105,False,-371030,8134.972587538326,True,-1.0968412670323802,0.44168622968514065,False
QW1yaWNhcw==,12285,1046.32117440105,5.1775458216945,0.273036404853981,0.0206566632863675,amricas,Amricas,Fb2,place_of_birth,social,True,11924,1015.89861698892,5.17919782222016,0.293369418132612,0.0213511794226259,True,1600899,10488,0.4,0.512,0.003,True,361,1458.3682662482727,False,0.03027507547802751,0.1241158740178171,False,-0.020333013278631018,0.029708089821857055,False,-1588614,10540.063187666381,True,-23.8963595146019,2.0873373903764647,True
QXJhYg==,1442,322.398821337796,13.5913401826152,0.00797425234471775,0.00177761389972368,arab,Arab,Pop_5,ancestry,social,True,1351,314.268993061676,14.1410052246192,0.00803430188993423,0.00185984436093221,True,102479,4271,2.5,0.012,0.001,True,91,450.2288307072303,False,0.06735751295336788,0.3443758636390689,False,-6.004954521647912e-05,0.0025727285561019005,False,-101037,4283.150942939088,True,-0.4025747655282249,0.20395860306667207,False
QXJhYlN1Yg==,43,49,69.2726373082632,0.000237789771721819,0.000270939068224959,arabsub,ArabSub,Pop_5,ancestry,social,False,137,140.60227594175,62.3886920958223,0.000814729355233893,0.000835943359643628,False,12835,1443,6.8,0.002,0,True,-94,148.89593681494475,False,-0.6861313868613139,0.48133766240087983,False,-0.000576939583512074,0.0008787543907275144,False,-12792,1443.8317076446272,True,-0.1762210228278181,0.0270939068224959,True
QXJnbnRpbmE=,266,164,37.4797175309093,0.00591189936435969,0.00363758613299863,argntina,Argntina,Fb2,place_of_birth,social,False,252,100.895986045036,24.3392642555689,0.00620002460327224,0.00246713464051077,False,13398,1756,8,0.004,0.001,True,14,192.5512918679075,False,0.05555555555555555,0.7759791608692783,False,-0.00028812523891254965,0.004395314119535956,False,-13132,1763.6416869647871,True,0.19118993643596893,0.37725366631729274,False
QXJtZW5pYQ==,34,28,50.0625782227785,0.000755656309730186,0.000621602709152139,armenia,Armenia,Fb2,place_of_birth,social,False,14,22,95.5275727312202,0.000344445811292902,0.000541056933680188,False,2434,569,14.2,0.001,0,True,20,35.608987629529715,False,1.4285714285714286,4.308636465084389,False,0.000411210498437284,0.0008240949784513227,False,-2400,569.6885113814391,True,0,0.0621602709152139
QXJtZW5pYW4=,550,247,27.3003592152528,0.0030414970801628,0.00136491292018313,armenian,Armenian,Pop_5,ancestry,social,False,463,174,22.8455887662726,0.00275342840491454,0.00103284012297171,False,10953,1014,5.6,0.001,0,True,87,302.1340761979688,False,0.1879049676025918,0.6956253753895411,False,0.0002880686752482599,0.0017116500808585428,False,-10403,1043.6498454941677,True,0.20414970801628,0.136491292018313,False
