id,sum,variable,variablename,base,category,profile,percent,previous_sum,previous_percent,comparison_sum,comparison_percent,change_sum,change_percent,change_percentage_point,difference_sum,significant,difference_percent
QU5I,723,anh,ANH,Pop3,mutually_exclusive_race___hispanic_origin,decennial,0.0130663437731553,374,0.00712380952380952,1028119,0.125761746016854,349,0.9331550802139037,0.0059425342493457795,-1027396,True,-11.26954022436987
QXJn,28,arg,Arg,Hsp2,hispanic_subgroup,decennial,0.000902468897054084,86,0.00318734100403762,15169,0.0064933675103036,-58,-0.6744186046511628,-0.002284872106983536,-15141,True,-0.5590898613249515
QXNuQWxuT3JD,1075,asnalnorc,AsnAlnOrC,AsnAlnOrC,asian_subgroup,decennial,1,636.352644836272,1,1134919,1,438.647355163728,0.689314892808512,0,-1133844,True,0
QXNuQWxvbmU=,784,asnalone,AsnAlone,AsnAlnOrC,asian_subgroup,decennial,0.729302325581395,417.438287153652,0.655985781690363,1038388,0.914944590759341,366.561712846348,0.8781219263469783,0.07331654389103193,-1037604,True,-18.56422651779461
QXNuSW5Db21ibw==,291,asnincombo,AsnInCombo,AsnAlnOrC,asian_subgroup,decennial,0.270697674418605,218.91435768262,0.344014218309637,96531,0.0850554092406595,72.08564231738,0.3292869553210809,-0.07331654389103204,-96240,True,18.56422651779455
QXNuSW5k,378,asnind,AsnInd,AsnAlnOrC,asian_subgroup,decennial,0.351627906976744,197,0.309576775705374,192209,0.169359222993007,181,0.9187817258883249,0.04205113127137,-191831,True,18.2268683983737
QXZnRmFtU3o=,3.3839866917401995,avgfamsz,AvgFamSz,mean,relationship_to_head_of_household__householder_,decennial,,,3.3881386401348226,,3.32030552025947,,-0.004151948394623073,-0.0012254363931394072,,,0.06368117148072949,True,0
QXZnSEhTeg==,2.8317391751517023,avghhsz,AvgHHSz,mean,relationship_to_head_of_household__householder_,decennial,,,2.8682730480811647,,2.56918261847125,,-0.03653387292946242,-0.012737236768271792,,,0.2625565566804524,True,0
QXZISFN6T09j,3.133566128328241,avhhszooc,AvHHSzOOc,mean,housing_tenure,decennial,,,3.2561200315872596,,2.75068958927896,,-0.1225539032590186,-0.037638017662167476,,,0.3828765390492812,True,0
QXZISFN6Uk9j,2.738697524219591,avhhszroc,AvHHSzROc,mean,housing_tenure,decennial,,,2.765501848364372,,2.48777581732104,,-0.026804324144781067,-0.009692390609188785,,,0.2509217068985512,True,0
QmdsZHNo,45,bgldsh,Bgldsh,AsnAlnOrC,asian_subgroup,decennial,0.0418604651162791,7,0.0110001899996833,53174,0.04685268287869,38,5.428571428571429,0.030860275116595795,-53129,True,-0.49922177624109043
Qk5I,20506,bnh,BNH,Pop3,mutually_exclusive_race___hispanic_origin,decennial,0.370592593931289,21358,0.406819047619048,1861295,0.227677641452439,-852,-0.03989137559696601,-0.03622645368775901,-1840789,True,14.291495247885006
Qm9s,5,bol,Bol,Hsp2,hispanic_subgroup,decennial,0.000161155160188229,0,0,4488,0.0019211703728817,5,0,0.000161155160188229,-4483,True,-0.1760015212693471
Q0Ft,1151,cam,CAm,Hsp2,hispanic_subgroup,decennial,0.0370979178753304,1094,0.0405459425397344,151378,0.0648001178043865,57,0.05210237659963437,-0.003448024664403998,-150227,True,-2.770219992905611
Q2FtYmRu,42,cambdn,Cambdn,AsnAlnOrC,asian_subgroup,decennial,0.0390697674418605,4,0.00628582285696191,2166,0.00190850624582019,38,9.5,0.03278394458489859,-2124,True,3.7161261196040307
Q2hp,13,chi,Chi,Hsp2,hispanic_subgroup,decennial,0.000419003416489396,11,0.00040768315167923,7026,0.00300760762920384,2,0.18181818181818182,1.132026481016603e-05,-7013,True,-0.2588604212714444
Q2hpbmVzZQ==,86,chinese,Chinese,AsnAlnOrC,asian_subgroup,decennial,0.08,114,0.179145951423414,486463,0.428632351736115,-28,-0.24561403508771928,-0.099145951423414,-486377,True,-34.8632351736115
Q29s,148,col,Col,Hsp2,hispanic_subgroup,decennial,0.00477019274157158,140,0.00518869465773566,94723,0.0405479102563444,8,0.05714285714285714,-0.0004185019161640803,-94575,True,-3.5777717514772815
Q1JpYw==,56,cric,CRic,Hsp2,hispanic_subgroup,decennial,0.00180493779410817,79,0.00292790627115084,6673,0.00285649953169332,-23,-0.2911392405063291,-0.0011229684770426701,-6617,True,-0.10515617375851499
Q3Vi,349,cub,Cub,Hsp2,hispanic_subgroup,decennial,0.0112486301811384,424.068010075567,0.0157168529885406,40840,0.0174823079386116,-75.06801007556697,-0.17701879956045305,-0.0044682228074022,-40491,True,-0.6233677757473202
RG9t,6695,dom,Dom,Hsp2,hispanic_subgroup,decennial,0.215786759492039,4045.52392947103,0.149935631432772,576701,0.246867396437445,2649.47607052897,0.6549154365959715,0.06585112805926699,-570006,True,-3.108063694540604
