id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,34,55,98.3372072233148,0.00166560525155538,0.00269293061794617,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.00166560525155538,0.00269293061794617,False,-3836,473.2071428032337,True,0.06656052515553798,0.2872607754823471,False
QWdISEluYw==,1136361100,82042658,4.38891794439312,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,953362200,62939096,4.01325421043742,0,0,True,307989432000,2361252362,0.5,0,0,True,182998900,103403711.42759906,False,0.19195107588700286,0.1166096674351623,False,0,0,-306853070900,2362677234.575701,True,0,0
QWdJUDE1cGw=,1215395900,90401848,4.52161560682311,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,1014883700,64520349,3.8646887970055,0,0,True,318266008500,2111708243,0.4,0,0,True,200512200,111064708.87233669,False,0.1975716035246206,0.11717943052343671,False,0,0,-317050612600,2113642400.6146266,True,0,0
QWdUVG0=,909855,58190,3.88785687635621,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,846390,53233,3.82335404744721,0,0,True,156042185,593582,0.2,0,0,True,63465,78865.88862746682,False,0.07498316378974232,0.09642515433992571,False,0,0,-155132330,596427.4195776046,True,0,0
QXJ0RW5SQUZT,1526,332,13.2256689519454,0.0747562827609856,0.0157795676876269,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.0747562827609856,0.0157795676876269,True,-439469,5443.134482997825,True,-3.42437172390144,1.581122248304662,False
Q05JMTg2NF8y,32671,1362,2.53424604645057,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5337206,2363.0076174231854,True,,
Q29uc3RjdG4=,657,213,19.7082622031616,0.0321853720668202,0.010295683943941,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0321853720668202,0.010295683943941,True,-205410,3746.0604640074885,True,-1.8814627933179797,1.0344133983738055,False
Q3ZFbTE2cGwx,20413,1076,3.20434695275092,0.474081471503553,0.0194324503866452,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,20197,1010,3.03996515778548,0.496131076666094,0.0173025009410848,True,4053141,9894,0.1,0.591,0.001,True,216,1475.7628535777692,False,0.010694657622419172,0.07343547520268942,False,-0.02204960516254101,0.026019159610672814,False,-4032728,9952.337011978643,True,-11.691852849644697,1.9458163531778305,True
Q3ZFbTE2cGwy,20413,1076,3.20434695275092,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,20197,1010,3.03996515778548,1,0,True,4053141,9894,0.1,1,0,True,216,1475.7628535777692,False,0.010694657622419172,0.07343547520268942,False,0,0,-4032728,9952.337011978643,True,0,0
Q3ZFbTE2cGwz,20413,1076,3.20434695275092,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4032728,9952.337011978643,True,0,0
Q3ZFbTE2cGw0,20413,1076,3.20434695275092,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,20197,1010,3.03996515778548,1,0,True,4053141,9894,0.1,1,0,True,216,1475.7628535777692,False,0.010694657622419172,0.07343547520268942,False,0,0,-4032728,9952.337011978643,True,0,0
Q3ZMRjE=,22594,1154,3.10489402867534,0.524734079613545,0.0203929155595499,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,21787,1051,2.93250918013489,0.535188778894102,0.0172807889032947,True,4354474,10392,0.1,0.635,0.002,True,807,1560.870590407802,False,0.03704043695781888,0.07285741138148605,False,-0.010454699280556978,0.026730070522525108,False,-4331880,10455.877772812764,True,-11.026592038645497,2.049075413494907,True
Q3ZMRjE4dDY0,21599,1126,3.1691211641426,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4080892,9953.892504944988,True,,
Q3ZMRjI=,22594,1154,3.10489402867534,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,21787,1051,2.93250918013489,1,0,True,4354474,10392,0.1,1,0,True,807,1560.870590407802,False,0.03704043695781888,0.07285741138148605,False,0,0,-4331880,10455.877772812764,True,0,0
Q3ZMRkVt,19569,1057,3.28352594148583,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3805974,9604.340945634947,True,0,0
Q3ZMRlVFbTE=,2181,421,11.734390264637,0.0506526081099912,0.00963232430560053,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,1590,311,11.890424576093,0.0390577022280085,0.00751024760947868,True,301333,4545,0.9,0.044,0.001,True,591,523.4137942393188,False,0.37169811320754714,0.37695311045172336,False,0.011594905881982698,0.012214151246973445,False,-299152,4564.456813247333,True,0.6652608109991203,0.9684093738097682,False
