id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,746121000,87720478.62472,7.14703364746502,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,461507200,29518683.434752,3.88823585204816,0,0,True,307989432000,2361252362,0.5,0,0,True,284613800,92553957.46196412,True,0.616705004818993,0.21638176277006185,False,0,0,-307243311000,2362881207.2173095,True,0,0
QWdJUDE1cGw=,803229200,93300181.7071637,7.06117701998949,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,499577800,32030597.9614416,3.89758874843055,0,0,True,318266008500,2111708243,0.4,0,0,True,303651400,98645238.67048663,True,0.6078160398640612,0.21331954385094834,False,0,0,-317462779300,2113768347.6343231,True,0,0
QWdUVG0=,701235,56641.8612865079,4.91030003114634,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,522140,47213.831500949,5.49688155012158,0,0,True,156042185,593582,0.2,0,0,True,179095,73739.04213508611,False,0.3430018768912552,0.1628356143582021,False,0,0,-155340950,596278.3671859981,True,0,0
QXJ0RW5SQUZT,3050,748.679504193884,14.9221088084884,0.171386828500787,0.0407745392892398,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.171386828500787,0.0407745392892398,True,-437945,5484.34225773702,True,6.238682850078698,4.078680000011965,False
Q05JMTg2NF8y,29399,1096.16467740938,2.2666128304498,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5340478,2220.4364435849116,True,,
Q29uc3RjdG4=,656,187.259178680245,17.3529522833647,0.0368622162283659,0.0102839092437799,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0368622162283659,0.0102839092437799,True,-205411,3744.6850334841247,True,-1.4137783771634096,1.033241449682995,False
Q3ZFbTE2cGwx,17796,1075.73695669527,3.67466531085934,0.49103250372496,0.0251896014290495,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,13515,944.76928400536,4.24955850700779,0.451131584217905,0.0253418876272561,True,4053141,9894,0.1,0.591,0.001,True,4281,1431.7119123622606,False,0.3167591564927858,0.12168972400443005,False,0.03990091950705499,0.03573132083574365,False,-4035345,9952.308576405778,True,-9.996749627503995,2.5209443075053692,True
Q3ZFbTE2cGwy,17796,1075.73695669527,3.67466531085934,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,13515,944.76928400536,4.24955850700779,1,0,True,4053141,9894,0.1,1,0,True,4281,1431.7119123622606,False,0.3167591564927858,0.12168972400443005,False,0,0,-4035345,9952.308576405778,True,0,0
Q3ZFbTE2cGwz,17796,1075.73695669527,3.67466531085934,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4035345,9952.308576405778,True,0,0
Q3ZFbTE2cGw0,17796,1075.73695669527,3.67466531085934,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,13515,944.76928400536,4.24955850700779,1,0,True,4053141,9894,0.1,1,0,True,4281,1431.7119123622606,False,0.3167591564927858,0.12168972400443005,False,0,0,-4035345,9952.308576405778,True,0,0
Q3ZMRjE=,20011,1066.75442347337,3.240632313241,0.552149439876387,0.0235516749979428,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,16358,917.109589961854,3.40820044350312,0.546031110220976,0.0205183804363194,True,4354474,10392,0.1,0.635,0.002,True,3653,1406.7888967432186,False,0.2233158087785793,0.09463957553580699,False,0.006118329655411037,0.031235962142028836,False,-4334463,10446.60849271188,True,-8.285056012361302,2.3636442101313047,True
Q3ZMRjE4dDY0,19520,1058.75445689735,3.29723222662237,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4082971,9946.509990946573,True,,
Q3ZMRjI=,20011,1066.75442347337,3.240632313241,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,16358,917.109589961854,3.40820044350312,1,0,True,4354474,10392,0.1,1,0,True,3653,1406.7888967432186,False,0.2233158087785793,0.09463957553580699,False,0,0,-4334463,10446.60849271188,True,0,0
Q3ZMRkVt,17416,1080.63916271806,3.77195396860402,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3808127,9606.97127090531,True,0,0
Q3ZMRlVFbTE=,2215,434.529630750309,11.9255869623473,0.0611169361514265,0.0118293419309738,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,2843,452.216762183801,9.66949724933742,0.094899526003071,0.0145694395214077,True,301333,4545,0.9,0.044,0.001,True,-628,627.1491050778916,False,-0.22089342244108337,0.1967704529119691,False,-0.0337825898516445,0.01876704288074846,False,-299118,4565.7245865251225,True,1.711693615142651,1.1871534463576938,False
Q3ZMRlVFbTI=,2215,434.529630750309,11.9255869623473,0.110689120983459,0.0208974494697664,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,2843,452.216762183801,9.66949724933742,0.173798752903778,0.025870829315564,True,301333,4545,0.9,0.069,0.001,True,-628,627.1491050778916,False,-0.22089342244108337,0.1967704529119691,False,-0.063109631920319,0.03325662646475865,False,-299118,4565.7245865251225,True,4.168912098345899,2.0921362153106573,False
Q3ZOSVBvcDI=,49799,1724.05829367803,2.10457991725891,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8330096,2536.8677537467343,True,0,0
Q3ZOSVUxOF8y,15735,1166.51446626263,4.50668786218026,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1839293,2079.0856163227113,True,0,0
Q1dfQ3JwbGQ=,661,213.241646964189,19.6112224697947,0.0379296493946175,0.0120136229170793,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,296,147.410990092327,30.2741703138763,0.0226663603644996,0.0111679203224829,False,177245,3363,1.2,0.045,0.001,True,365,259.23348549136153,False,1.2331081081081081,1.3250590544215735,False,0.0152632890301179,0.016402730867849397,False,-176584,3369.7538485770738,True,-0.7070350605382498,1.2055170492107232,False
Q1dfRHJ2QWxu,2630,395.925498042245,9.15149024101715,0.150915246456648,0.0207528019435346,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,2075,364.387156744032,10.6752746693238,0.158894249176813,0.0254163190919354,True,883066,6519,0.4,0.223,0.002,True,555,538.08456584444,False,0.2674698795180723,0.29316981626208233,False,-0.007979002720164996,0.03281262050935056,False,-880436,6531.012019587776,True,-7.208475354335201,2.084895173642007,True
Q1dfT3Ro,423,194.833262047321,27.9999226896205,0.0242726803236357,0.011080634197642,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,False,301,149.164338901763,30.1253852713373,0.0230492380733594,0.0112995442936568,False,112933,2992,1.6,0.029,0.001,True,122,245.37726056014247,False,0.4053156146179402,0.950780366708164,False,0.0012234422502762979,0.015825933004605615,False,-112510,2998.3368723343947,True,-0.47273196763643055,1.112566646192278,False
Q1dfUGJUcm5z,11331,1025.88547119062,5.50382653173071,0.650197968669306,0.0433445357112652,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,8765,792.164755590654,5.49411434044047,0.671184623631212,0.0362460692087636,True,2223087,10073,0.3,0.562,0.002,True,2566,1296.1350238304653,False,0.29275527666856815,0.1653783952304749,False,-0.020986654961905993,0.056502445160467395,False,-2211756,10125.105925371843,True,8.819796866930602,4.339065309516721,False
Q1dfV2xrZA==,1555,322.094706569357,12.5917847738683,0.0892293567452803,0.0176556388925743,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,1359,341.58454297582,15.2796304709936,0.104066161268091,0.0250462205537027,True,392607,5774,0.9,0.099,0.001,True,196,469.4944089123959,False,0.14422369389256806,0.3726756647457725,False,-0.014836804522810693,0.03064367387781207,False,-391052,5782.976828589234,True,-0.9770643254719698,1.7683935780956181,False
Q1dfV3JrZEht,827,238.872350848733,17.5587854330283,0.0474550984105124,0.013395173772055,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,True,263,139,32.1286997122286,0.020139367486025,0.0105434629878705,False,164594,3729,1.4,0.042,0.001,True,564,276.3711272908228,False,2.1444866920152093,1.8939106523468603,False,0.027315730924487403,0.017046855785163,False,-163767,3736.6430121166245,True,0.5455098410512402,1.3432448785815272,False
RTEwdDEycHQ1,1089,248,13.8438823158359,0,0,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,1049,0,,0,0,False,169608,0,,0,0,False,40,248,False,0.03813155386081983,0.23641563393708295,False,0,0,-168519,248,True,0,0
RTEycHQ1dDE1,1197,269,13.6613062544913,0,0,e12pt5t15,E12pt5t15,MdEWrk,economic__special_variable,economic,True,885,0,,0,0,False,144620,0,,0,0,False,312,269,False,0.3525423728813559,0.30395480225988697,False,0,0,-143423,269,True,0,0
