id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,12,19,96.2512664640324,0.000955414012738854,0.0015119380360904,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.000955414012738854,0.0015119380360904,False,-3858,470.38388577841397,True,0,0.18127207796505496
QWdISEluYw==,991227000,67018299,4.11011880173087,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,877942000,45956253,3.18209311263086,0,0,True,307989432000,2361252362,0.5,0,0,True,113285000,81261488.97634974,False,0.12903471983342862,0.09653975068468863,False,0,0,-306998205000,2362203244.7381473,True,0,0
QWdJUDE1cGw=,999416500,66518190,4.04601981912981,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,880917400,45419466,3.13430267459575,0,0,True,318266008500,2111708243,0.4,0,0,True,118499100,80545623.67131597,False,0.13451783334056064,0.09551667927839924,False,0,0,-317266592000,2112755634.983616,True,0,0
QWdUVG0=,549735,38679,4.27716443537606,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,530410,42622,4.88490609059723,0,0,True,156042185,593582,0.2,0,0,True,19325,57556.05897731359,False,0.03643407929714749,0.11069794722921526,False,0,0,-155492450,594840.8659170956,True,0,0
QXJ0RW5SQUZT,665,279,25.5044907100578,0.0529458598726115,0.022045304000835,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,False,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.0529458598726115,0.022045304000835,False,-440330,5440.1590050291725,True,-5.6054140127388505,2.206797291300748,False
Q05JMTg2NF8y,16468,706,2.60614119083672,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5353409,2056.0148345768325,True,,
Q29uc3RjdG4=,799,267,20.3141464824952,0.0636146496815287,0.0210038672783803,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0636146496815287,0.0210038672783803,False,-205268,3749.5185024213442,True,1.261464968152871,2.102765894358701,False
Q3ZFbTE2cGwx,12560,647,3.13147348653515,0.590697455674176,0.0232874899151113,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,12505,658,3.19872051179528,0.62744606121425,0.0235186375724085,True,4053141,9894,0.1,0.591,0.001,True,55,922.8071304449268,False,0.004398240703718513,0.07396025023981449,False,-0.036748605540073975,0.03309733372658159,False,-4040581,9915.132122165594,True,0,2.3308950781757867
Q3ZFbTE2cGwy,12560,647,3.13147348653515,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,12505,658,3.19872051179528,1,0,True,4053141,9894,0.1,1,0,True,55,922.8071304449268,False,0.004398240703718513,0.07396025023981449,False,0,0,-4040581,9915.132122165594,True,0,0
Q3ZFbTE2cGwz,12560,647,3.13147348653515,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4040581,9915.132122165594,True,0,0
Q3ZFbTE2cGw0,12560,647,3.13147348653515,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,12505,658,3.19872051179528,1,0,True,4053141,9894,0.1,1,0,True,55,922.8071304449268,False,0.004398240703718513,0.07396025023981449,False,0,0,-4040581,9915.132122165594,True,0,0
Q3ZMRjE=,13187,653,3.01024104286182,0.620185298405681,0.0228102236205612,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,13320,679,3.09884352437544,0.668339187155043,0.0234850666838349,True,4354474,10392,0.1,0.635,0.002,True,-133,942.0456464524424,False,-0.009984984984984985,0.07035816346003333,False,-0.048153888749361995,0.03273919148000115,False,-4341287,10412.496002400194,True,-1.4814701594318933,2.289773573129029,False
Q3ZMRjE4dDY0,12323,656,3.23609668529478,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4090168,9911.732240128362,True,,
Q3ZMRjI=,13187,653,3.01024104286182,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,13320,679,3.09884352437544,1,0,True,4354474,10392,0.1,1,0,True,-133,942.0456464524424,False,-0.009984984984984985,0.07035816346003333,False,0,0,-4341287,10412.496002400194,True,0,0
Q3ZMRkVt,11747,656,3.39477478955372,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3813796,9568.513573173213,True,0,0
Q3ZMRlVFbTE=,627,170,16.4822113310355,0.0294878427315054,0.00793510302260636,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,815,220,16.409644395547,0.0408931259407928,0.0109348482756821,True,301333,4545,0.9,0.044,0.001,True,-188,278.0287754891569,False,-0.23067484662576687,0.29434066730630903,False,-0.011405283209287399,0.013510616817583287,False,-300706,4548.1782067109025,True,-1.4512157268494592,0.7997865964079205,False
Q3ZMRlVFbTI=,627,170,16.4822113310355,0.0475468264199591,0.012674657602559,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,815,220,16.409644395547,0.0611861861861862,0.0162193402274751,True,301333,4545,0.9,0.069,0.001,True,-188,278.0287754891569,False,-0.23067484662576687,0.29434066730630903,False,-0.0136393597662271,0.02058431302610555,False,-300706,4548.1782067109025,True,-2.14531735800409,1.2714045199782273,False
