id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,62,56.7274184147313,55.6205690898434,0.000706118172292834,0.00064589464236996,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.000706118172292834,0.00064589464236996,False,-3808,473.41102648755447,True,0,0.11904536484224065
QWdISEluYw==,7436568700,189447672.618711,1.548641088071,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,6318794600,141247656.010323,1.3588800066462,0,0,True,307989432000,2361252362,0.5,0,0,True,1117774100,236307682.88199356,True,0.1768967296389093,0.03988734505926282,True,0,0,-300552863300,2368840040.549641,True,0,0
QWdJUDE1cGw=,7501052600,185854200.639062,1.50620563551617,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,6345290700,141478686.965131,1.35541908000948,0,0,True,318266008500,2111708243,0.4,0,0,True,1155761900,233576545.82719183,True,0.18214483065370038,0.039403640393738726,True,0,0,-310764955900,2119871101.6119192,True,0,0
QWdUVG0=,3863825,107903.534881856,1.69766627710944,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,3596855,99073.4709697808,1.67443597320945,0,0,True,156042185,593582,0.2,0,0,True,266970,146487.97046174103,False,0.07422317552417321,0.04213630629149153,False,0,0,-152178360,603309.8404335867,True,0,0
QXJ0RW5SQUZT,4813,617.454451761423,7.79871702287338,0.054815270374926,0.00693515229577034,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.054815270374926,0.00693515229577034,True,-436182,5467.973939220999,True,-5.4184729625074,0.7006877861467874,True
Q05JMTg2NF8y,115470,1859.22376275692,0.978805933491282,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5254407,2680.5734461118577,True,,
Q29uc3RjdG4=,7475,695.437991484503,5.6556342132092,0.0851327957724022,0.00771120135923861,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0851327957724022,0.00771120135923861,True,-198592,3804.107516882245,True,3.4132795772402194,0.7775771756084626,True
Q3ZFbTE2cGwx,87804,1864.83725831505,1.29110253599863,0.574141279400514,0.00966418272392874,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,83531,1698.7421817333,1.23627158694468,0.580338347170598,0.00869344559304162,True,4053141,9894,0.1,0.591,0.001,True,4273,2522.5667483735697,False,0.05115466114376698,0.030909304939353704,False,-0.006197067770083997,0.012998939341371567,False,-3965337,10068.210069322153,True,-1.6858720599486006,0.971578240397976,False
Q3ZFbTE2cGwy,87804,1864.83725831505,1.29110253599863,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,83531,1698.7421817333,1.23627158694468,1,0,True,4053141,9894,0.1,1,0,True,4273,2522.5667483735697,False,0.05115466114376698,0.030909304939353704,False,0,0,-3965337,10068.210069322153,True,0,0
Q3ZFbTE2cGwz,87804,1864.83725831505,1.29110253599863,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-3965337,10068.210069322153,True,0,0
Q3ZFbTE2cGw0,87804,1864.83725831505,1.29110253599863,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,83531,1698.7421817333,1.23627158694468,1,0,True,4053141,9894,0.1,1,0,True,4273,2522.5667483735697,False,0.05115466114376698,0.030909304939353704,False,0,0,-3965337,10068.210069322153,True,0,0
Q3ZMRjE=,91995,1863.45109943889,1.23136803188814,0.601545795162524,0.00936860246298995,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,88159,1737.05152485469,1.19778851140762,0.61249174974815,0.00864138500000078,True,4354474,10392,0.1,0.635,0.002,True,3836,2547.5081942949687,False,0.04351229029367393,0.029488010110614155,False,-0.010945954585625972,0.01274536177704579,False,-4262479,10557.75137043869,True,-3.3454204837475956,0.9579703132641499,True
