id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QUlBTk5I,454,267.705061588308,35.8455152562576,0.00113148391373806,0.000667001734627134,aiannh,AIANNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,292,135.963230323496,28.3056231676512,0.000734327021976999,0.000341793386778535,False,15017,875,3.5,0.002,0.001,True,162,300.2532264605991,False,0.5547945205479452,1.168173714631913,False,0.000397156891761061,0.0007494758389975936,False,-14563,915.0360648630193,True,-0.08685160862619401,0.12020363197489525,False
QXNuMVJj,38826,2288.27511457866,3.58277623724187,1,0,asn1rc,Asn1Rc,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,1177700,3785,0.2,1,0,True,,,,,1,0,True,-1138874,4422.943363869809,True,0,0
QXNuMnBs,1039,466.043989340062,27.2675087595954,0.0267604182764127,0.0118993333774544,asn2pl,Asn2pl,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,17175,1660,5.9,0.015,0.001,True,,,,,0.0267604182764127,0.0118993333774544,False,-16136,1724.1800950016793,True,1.1760418276412699,1.1941278609420365,False
QXNuQmh1dG4=,0,0,,0,0,asnbhutn,AsnBhutn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,100,90,54.7,0,0,False,,,,,0,0,-100,90,False,0,0
QXNuQm5n,507,355.710556492213,42.6503787692323,0.0130582599289136,0.00912927642662107,asnbng,AsnBng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,65991,3237,3,0.056,0.003,True,,,,,0.0130582599289136,0.00912927642662107,False,-65484,3256.485682449717,True,-4.294174007108641,0.9609562324771049,True
QXNuQnVybQ==,35,41.6293165929973,72.3045012470644,0.000901457786019678,0.0010708849344823,asnburm,AsnBurm,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4509,620,8.4,0.004,0.001,True,,,,,0.000901457786019678,0.0010708849344823,False,-4474,621.3960089990923,True,-0.3098542213980322,0.1465194370348576,False
QXNuQ2hpTm9U,15951,1641.96406781635,6.25762929296329,0.410832946994282,0.0346726974280832,asnchinot,AsnChiNoT,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,565173,5911,0.6,0.48,0.005,True,,,,,0.410832946994282,0.0346726974280832,True,-549222,6134.8159711600165,True,-6.916705300571799,3.503135662430742,False
QXNuQ21i,10,20,121.580547112462,0.000257559367434194,0.000514895026182127,asncmb,AsnCmb,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,2700,1036,23.3,0.002,0.001,False,,,,,0.000257559367434194,0.000514895026182127,False,-2690,1036.1930322097326,False,-0.17424406325658062,0.11247741497683406,False
QXNuRWFzdA==,24491,1993.38430815535,4.94787380651922,0.630788646783084,0.0354097352863416,asneast,AsnEast,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,686453,6802,0.6,0.583,0.005,True,,,,,0.630788646783084,0.0354097352863416,True,-661962,7088.073433592515,True,4.778864678308402,3.5761003244439125,False
QXNuRmxw,2553,558.800501073505,13.305771767966,0.0657549065059496,0.0138608628491614,asnflp,AsnFlp,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,71450,2932,2.5,0.061,0.002,True,,,,,0.0657549065059496,0.0138608628491614,True,-68897,2984.7750333986646,True,0.47549065059496076,1.4004410695322482,False
QXNuSG1uZw==,30,49,99.290780141844,0.000772678102302581,0.00126121902424763,asnhmng,AsnHmng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,60,59,59.8,0,0,False,,,,,0.000772678102302581,0.00126121902424763,False,-30,76.69419795525604,False,0.0772678102302581,0.126121902424763,False
QXNuSW5k,7851,1375.46537579104,10.6502249982756,0.202209859372585,0.0333616719246608,asnind,AsnInd,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,228887,4990,1.3,0.194,0.004,True,,,,,0.202209859372585,0.0333616719246608,True,-221036,5176.099400127473,True,0.8209859372584987,3.360061239931053,False
QXNuSW5kbnNu,62,50.8035431835222,49.8122788347114,0.001596868078092,0.00130510385150549,asnindnsn,AsnIndnsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,3778,675,10.9,0.003,0.001,True,,,,,0.001596868078092,0.00130510385150549,False,-3716,676.909151954677,True,-0.1403131921908,0.164417032670416,False
QXNuSnBu,3122,674.152059998336,13.1268059403573,0.0804100345129552,0.0167041675384882,asnjpn,AsnJpn,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,25224,1431,3.4,0.021,0.001,True,,,,,0.0804100345129552,0.0167041675384882,True,-22102,1581.847653852924,True,5.94100345129552,1.6734073417846684,True
QXNuS29y,4574,858.385694195797,11.4082862192649,0.1178076546644,0.0209899760962329,asnkor,AsnKor,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,85212,2865,2,0.072,0.002,True,,,,,0.1178076546644,0.0209899760962329,True,-80638,2990.8278118273543,True,4.580765466440001,2.108504438032864,False
QXNuTGFv,6,14,141.843971631206,0.000154535620460516,0.000360468070856444,asnlao,AsnLao,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,538,173,19.5,0,0,True,,,,,0.000154535620460516,0.000360468070856444,False,-532,173.5655495770978,True,0.0154535620460516,0.0360468070856444,False
QXNuTWFsc24=,131,149,69.143135571591,0.00337402771338794,0.00383247912376466,asnmalsn,AsnMalsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,1750,544,18.9,0.001,0,True,,,,,0.00337402771338794,0.00383247912376466,False,-1619,564.0363463465808,False,0.23740277133879398,0.383247912376466,False
QXNuTWdvbA==,70,111,96.3960052105949,0.00180291557203936,0.00285693363927468,asnmgol,AsnMgol,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,644,287,27.1,0.001,0,False,,,,,0.00180291557203936,0.00285693363927468,False,-574,307.7174028227848,False,0.08029155720393599,0.28569336392746797,False
QXNuTmVwYWw=,167,140.206989840022,51.0372530950337,0.00430124143615103,0.00360225358937635,asnnepal,AsnNepal,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,8478,1242,8.9,0.007,0.001,True,,,,,0.00430124143615103,0.00360225358937635,False,-8311,1249.888795053384,True,-0.26987585638489703,0.37384797608352516,False
QXNuTkg=,38452,2282.14307176391,3.607929408795,0.0958322014340437,0.00552756755397689,asnnh,AsnNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,29653,1736.75962643079,3.56045232496358,0.0745719150091917,0.00426184892616394,True,1167421,3568,0.2,0.138,0.001,True,8799,2867.840825429478,True,0.29673220247529764,0.10812642650779733,False,0.02126028642485199,0.00697978218379505,True,-1128969,4235.422174943133,True,-4.216779856595631,0.5617294995260447,True
QXNuT0Fzbg==,657,342.756473315968,31.7142462344699,0.0169216504404265,0.00877150005964541,asnoasn,AsnOAsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10707,1286,7.3,0.009,0.001,True,,,,,0.0169216504404265,0.00877150005964541,False,-10050,1330.8936847096388,True,0.7921650440426502,0.8828318826161605,False
QXNuT2tpbnc=,0,0,,0,0,asnokinw,AsnOkinw,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,0,0,,0,0,False,,,,,0,0,0,0,0,0
QXNuUGFr,627,346.948122923298,33.638072252517,0.0161489723381239,0.00888514321415546,asnpak,AsnPak,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,48973,3097,3.8,0.042,0.003,True,,,,,0.0161489723381239,0.00888514321415546,False,-48346,3116.3732125661713,True,-2.5851027661876103,0.9377940602075321,False
QXNuU0Vhc3Q=,3303,639.255817337629,11.7652243440407,0.0850718590635141,0.0156826467129329,asnseast,AsnSEast,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,106360,3653,2.1,0.09,0.003,True,,,,,0.0850718590635141,0.0156826467129329,True,-103057,3708.5114264351405,True,-0.4928140936485903,1.596700998692821,False
QXNuU291dGg=,9336,1475.03389791557,9.60451094248085,0.240457425436563,0.0352486619912979,asnsouth,AsnSouth,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,357005,6872,1.2,0.303,0.006,True,,,,,0.240457425436563,0.0352486619912979,True,-347669,7028.521110447062,True,-6.254257456343698,3.5755673286581655,False
QXNuU3JpTA==,184,136.605270762149,45.131911841598,0.00473909236078916,0.00350729288876134,asnsril,AsnSriL,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4576,837,11.1,0.004,0.001,True,,,,,0.00473909236078916,0.00350729288876134,False,-4392,848.0742891987707,True,0.07390923607891597,0.36470677821444264,False
QXNuVGhhaQ==,162,205.878605007903,77.2556587518866,0.00417246175243394,0.00529689112524189,asnthai,AsnThai,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,7346,955,7.9,0.006,0.001,True,,,,,0.00417246175243394,0.00529689112524189,False,-7184,976.9396091877942,True,-0.18275382475660595,0.5390459682871795,False
QXNuVHdu,774,271.095923982638,21.2919836936482,0.0199350950394066,0.00688276948455011,asntwn,AsnTwn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10200,996,5.9,0.009,0.001,True,,,,,0.0199350950394066,0.00688276948455011,False,-9426,1032.234953874359,True,1.09350950394066,0.6955035282258041,False
QXNuVnRu,314,154.673850407882,29.9447951537921,0.00808736413743368,0.00395515294086247,asnvtn,AsnVtn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,14229,1262,5.4,0.012,0.001,True,,,,,0.00808736413743368,0.00395515294086247,False,-13915,1271.443274393317,True,-0.39126358625663193,0.40796120876393444,False
QmxOSA==,51599,2368.2031162888,2.79004855279977,0.128597882081432,0.00562156243913043,blnh,BlNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,55779,2663.74848662557,2.90306386251035,0.140274064927586,0.00645324651704372,True,1853055,3317,0.1,0.219,0.001,True,-4180,3564.2589692669635,False,-0.07493859696301476,0.061271255504623014,False,-0.011676182846154015,0.008558408430705967,False,-1801456,4075.6441208721826,True,-9.040211791856798,0.5709812979165085,True
RmVt,218939,3813.52972979102,1.05885893097537,0.545651886761887,0.00566695188626618,fem,Fem,Pop_1,sex_and_age,demographic,True,214538,3271.5143282584,0.926997785744052,0.539524146030485,0.00446133448617412,True,4418616,268,0,0.523,0,True,4401,5024.5213702401525,False,0.02051384836252785,0.02362506488354681,False,0.006127740731401987,0.007212340055681118,False,-4199677,3822.9351289290757,True,2.2651886761887,0.566695188626618,True
RlBvcDB0NQ==,11118,1125.20220405045,6.15230705075564,0.0277088946099994,0.00277739485680329,fpop0t5,FPop0t5,Pop,poppyramid_only,demographic,True,11657,875.713423443994,4.56677177387183,0.0293152400520064,0.00216999433762514,True,269674,178,0,0.032,0,True,-539,1425.8169587994073,False,-0.04623831174401647,0.12021207130592816,False,-0.001606345442006999,0.003524598929796486,False,-258556,1139.1944522336785,True,-0.42911053900006024,0.277739485680329,False
RlBvcDEwdDE0,8567,946.174402528413,6.71392561708949,0.0213511512973435,0.00233913152790235,fpop10t14,FPop10t14,Pop,poppyramid_only,demographic,True,8499,722.308798229677,5.16641362942164,0.0213734430129538,0.00179571485108038,True,227093,2312,0.6,0.027,0,True,68,1190.3680103228578,False,0.00800094128721026,0.1404734209160894,False,-2.2291715610300855e-05,0.002948919824481061,False,-218526,2498.1172910814253,True,-0.5648848702656504,0.23391315279023497,False
RlBvcDE1dDE5,7608,703.424480665835,5.6205792068646,0.0189610784487206,0.00173294781319791,fpop15t19,FPop15t19,Pop,poppyramid_only,demographic,True,8413,684.521730845705,4.94618605411805,0.0211571686160702,0.0016999709870074,True,226700,355,0.1,0.027,0,True,-805,981.5171929212444,False,-0.09568524901937478,0.11137693953356452,False,-0.0021960901673495972,0.0024275521580255145,False,-219092,787.9282962300564,True,-0.8038921551279401,0.17329478131979098,True
RlBvcDIwdDI0,11401,1021.92807966119,5.44893320913932,0.0284142028645983,0.00251572291724661,fpop20t24,FPop20t24,Pop,poppyramid_only,demographic,True,14262,1083.72920971985,4.61928166594779,0.0358663424227259,0.00268636108778596,True,293909,3345,0.7,0.035,0,True,-2861,1489.565708520446,False,-0.2006030009816295,0.09393672105845045,False,-0.0074521395581276,0.003680407272345054,False,-282508,3497.622335244331,True,-0.6585797135401705,0.251572291724661,False
RlBvcDI1dDI5,19962,1284.41776692788,3.91143710109353,0.0497504006300421,0.00312458927133313,fpop25t29,FPop25t29,Pop,poppyramid_only,demographic,True,22776,1300.30842495156,3.47058767387939,0.057277507714206,0.0031866286508276,True,405287,203,0,0.048,0,True,-2814,1827.7119576125797,False,-0.12355110642781876,0.07539213729759647,False,-0.007527107084163896,0.004462920598980609,False,-385325,1300.3607191852582,True,0.17504006300420993,0.312458927133313,False
RlBvcDMwdDM0,21707,1419.06448056457,3.97407831425122,0.0540993861575155,0.00345481795123367,fpop30t34,FPop30t34,Pop,poppyramid_only,demographic,True,21778,1114.88340197529,3.11204274907611,0.0547677187829284,0.00271449887298109,True,366861,247,0,0.043,0,True,-71,1804.6354202442078,False,-0.0032601708145835245,0.0827620627857013,False,-0.0006683326254129027,0.004393662618770588,False,-345154,1440.4002915856386,True,1.1099386157515498,0.345481795123367,True
RlBvcDM1dDM5,17787,1215.21150422468,4.15320401250897,0.0443297453164292,0.00296450267279723,fpop35t39,FPop35t39,Pop,poppyramid_only,demographic,True,17732,992.098281421755,3.40119140098664,0.0445927628551238,0.00242864761547794,True,315142,3125,0.6,0.037,0,True,55,1568.756832654446,False,0.003101736972704715,0.08858023419054856,False,-0.00026301753869460015,0.0038323107046778714,False,-297355,3352.963465354195,True,0.7329745316429199,0.296450267279723,False
RlBvcDQwdDQ0,14980,1203.94933448215,4.88574161488731,0.0373339846427227,0.00295478529855355,fpop40t44,FPop40t44,Pop,poppyramid_only,demographic,True,15086,902.258277878347,3.6357236862388,0.0379385529230994,0.0022163378998878,True,280418,3132,0.7,0.033,0,True,-106,1504.5145396439386,False,-0.007026382076097044,0.09947774397375128,False,-0.0006045682803767008,0.003693630984143822,False,-265438,3355.431119841385,True,0.4333984642722699,0.295478529855355,False
RlBvcDQ1dDQ5,13716,1037.5022891541,4.59828287933025,0.0341837739225357,0.0025411542384648,fpop45t49,FPop45t49,Pop,poppyramid_only,demographic,True,13036,790.46695060578,3.68615389417652,0.0327831748578499,0.00194299852007374,True,281658,193,0,0.033,0,True,680,1304.3193627329154,False,0.052163240257747774,0.10200313571963932,False,0.0014005990646858008,0.0031988604396997944,False,-267942,1055.3009049555476,True,0.1183773922535698,0.25411542384648,False
RlBvcDUwdDU0,13629,984.748191163609,4.39233340119154,0.0339669477099912,0.00240784476644225,fpop50t54,FPop50t54,Pop,poppyramid_only,demographic,True,13598,805.151538531723,3.59945449930605,0.0341965028932988,0.00197683794003566,True,285202,202,0,0.034,0,True,31,1272.00550313275,False,0.0022797470216208266,0.09362907440820907,False,-0.0002295551833075976,0.00311538194455315,False,-271573,1005.2527045474684,True,0,0.240784476644225
RlBvcDU1dDU5,13708,1110.00450449536,4.92248887342587,0.0341638358800029,0.00272485416331339,fpop55t59,FPop55t59,Pop,poppyramid_only,demographic,True,13728,805.418524743503,3.56655102319446,0.0345234293071926,0.00197659293842777,True,272993,2843,0.6,0.032,0,True,-20,1371.4259002950141,False,-0.001456876456876457,0.0998497312999284,False,-0.0003595934271896986,0.003366266456412629,False,-259285,3052.009010471625,True,0.21638358800028978,0.272485416331339,False
RlBvcDV0OQ==,9589,999.808981756015,6.33837329282771,0.0238982362309124,0.00246926911641041,fpop5t9,FPop5t9,Pop,poppyramid_only,demographic,True,8235,723.973756430439,5.34433062549344,0.0207095309108924,0.00180122382531967,True,234049,2327,0.6,0.028,0,True,1354,1234.4051198856882,False,0.1644201578627808,0.15880728359210847,False,0.00318870532002,0.0030564190220186555,False,-224460,2532.6955995539615,True,-0.4101763769087601,0.246926911641041,False
RlBvcDYwdDY0,12651,1051.95151979547,5.0548115292277,0.0315295220103528,0.00258439472683969,fpop60t64,FPop60t64,Pop,poppyramid_only,demographic,True,12564,770.363550539614,3.72736477037986,0.0315961804935583,0.00189455632033182,True,256568,2933,0.7,0.03,0,True,87,1303.8642567384074,False,0.0069245463228271254,0.10402921701957295,False,-6.665848320550061e-05,0.0032044406305978025,False,-243917,3115.941430771766,True,0.15295220103527996,0.258439472683969,False
RlBvcDY1dDY5,12826,1094.69858865352,5.18844742443998,0.0319656666907585,0.00269140336464166,fpop65t69,FPop65t69,Pop,poppyramid_only,demographic,True,9815,659.856044906766,4.08689042054151,0.0246829442489872,0.00162900444678638,True,214644,2853,0.8,0.025,0,True,3011,1278.1920825916613,False,0.30677534386143657,0.14197860540718268,False,0.007282722441771302,0.0031459986584317303,False,-201818,3055.8098762848463,True,0.6965666690758501,0.269140336464166,False
RlBvcDcwdDc0,10497,910.530065401467,5.27306580517558,0.0261612040583886,0.00223959312150887,fpop70t74,FPop70t74,Pop,poppyramid_only,demographic,True,6429,503.406396463136,4.76002683946967,0.0161677685763361,0.00124891313865133,True,161099,2686,1,0.019,0,True,4068,1040.4244326235325,True,0.6327578161455903,0.19079831908023503,True,0.0099934354820525,0.0025642857441801918,True,-150602,2836.1348698536885,True,0.7161204058388599,0.223959312150887,True
RlBvcDc1dDc5,7336,796.991217015595,6.60432307855664,0.0182831850026044,0.00196978379440588,fpop75t79,FPop75t79,Pop,poppyramid_only,demographic,True,6091,506.790883895912,5.05794721192524,0.015317759900212,0.00125928560303635,True,124380,1845,0.9,0.015,0,True,1245,944.4744570394686,False,0.20439993432933837,0.16481221672737656,False,0.002965425102392399,0.002337915401959329,False,-117044,2009.7810826057646,True,0.32831850026044007,0.19697837944058802,False
RlBvcDgwdDg0,5184,599.433899608622,7.02927290433767,0.0129198515612733,0.00148297835862243,fpop80t84,FPop80t84,Pop,poppyramid_only,demographic,True,5177,516.801702783573,6.06847921316194,0.0130192157286813,0.00128891339721358,True,91235,1728,1.2,0.011,0,True,7,791.4575162319201,False,0.0013521344407958276,0.15296773850294568,False,-9.936416740800001e-05,0.0019648212533610095,False,-86051,1829.017495815718,True,0.19198515612733003,0.148297835862243,False
RlBvcDg1cGw=,6673,742.214928440543,6.76149386144448,0.0166308197276962,0.00183511264398458,fpop85pl,FPop85pl,Pop,poppyramid_only,demographic,True,5662,513.495861716528,5.51316741500182,0.0142389027343622,0.00127839721999642,True,111704,1844,1,0.013,0,True,1011,902.5303319002636,False,0.17855881314023314,0.16913989318782174,False,0.0023919169933339993,0.0022365012560261735,False,-105031,1987.7673405104533,True,0.36308197276961995,0.183511264398458,False
SHNwMQ==,94036,4069.82272341192,2.63096725383444,0.234361720952141,0.00959903537661725,hsp1,Hsp1,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,91077,3238.59522015333,2.1616334461063,0.229042130755477,0.00759741562371415,True,2457137,0,0,0.291,0,True,2959,5201.149488334287,False,0.03248899283024254,0.05783358497370124,False,0.005319590196664004,0.012241821936337964,False,-2363101,4069.82272341192,True,-5.663827904785897,0.959903537661725,True
