id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,153,91.8368117913509,36.4887902701197,0.000733401400652871,0.000440042386537993,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.000733401400652871,0.000440042386537993,False,-3717,478.888295952198,True,0,0.10925370940842478
QWdISEluYw==,31669268700,1002678098.90543,1.92467582686248,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,25555736700,594155073.341594,1.41333626446613,0,0,True,307989432000,2361252362,0.5,0,0,True,6113532000,1165497156.2394145,True,0.2392234695390331,0.048677155807889075,True,0,0,-276320163300,2565321829.142532,True,0,0
QWdJUDE1cGw=,32366946700,1011208870.00617,1.89921108098103,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,26314081600,601802296.864682,1.39027182514978,0,0,True,318266008500,2111708243,0.4,0,0,True,6052865100,1176736751.9079032,True,0.2300238021607412,0.047624316194583044,True,0,0,-285899061800,2341336174.5664167,True,0,0
QWdUVG0=,6161760,147174.198027372,1.4519812129169,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,5724010,115970.357906665,1.23163128323678,0,0,True,156042185,593582,0.2,0,0,True,437750,187374.94090192555,False,0.07647610678527815,0.0337158559648159,False,0,0,-149880425,611555.2593911691,True,0,0
QXJ0RW5SQUZT,18585,1441.09992713899,4.71374004803033,0.0890866995498929,0.00674143394494767,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.0890866995498929,0.00674143394494767,True,-422410,5620.876977838957,True,-1.9913300450107112,0.6815198576277341,False
Q05JMTg2NF8y,257395,3857.23450155678,0.910982499738414,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5112482,4313.585399641461,True,,
Q29uc3RjdG4=,3638,665.56291964021,11.121427145083,0.0174386555266349,0.00317668606869775,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0174386555266349,0.00317668606869775,True,-202429,3798.7595343743465,True,-3.3561344473365096,0.3330365502322285,True
Q3ZFbTE2cGwx,208617,3529.56286245195,1.02850243241139,0.614394387849765,0.00661136777870132,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,206360,3160.55185054762,0.931046770611757,0.615784934813811,0.00545008128230772,True,4053141,9894,0.1,0.591,0.001,True,2257,4737.816163592672,False,0.010937197131226982,0.02307106760923547,False,-0.0013905469640460577,0.008568171910565928,False,-3844524,10504.715607763972,True,2.339438784976501,0.6686567423218736,True
Q3ZFbTE2cGwy,208617,3529.56286245195,1.02850243241139,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,206360,3160.55185054762,0.931046770611757,1,0,True,4053141,9894,0.1,1,0,True,2257,4737.816163592672,False,0.010937197131226982,0.02307106760923547,False,0,0,-3844524,10504.715607763972,True,0,0
Q3ZFbTE2cGwz,208617,3529.56286245195,1.02850243241139,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-3844524,10504.715607763972,True,0,0
Q3ZFbTE2cGw0,208617,3529.56286245195,1.02850243241139,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,206360,3160.55185054762,0.931046770611757,1,0,True,4053141,9894,0.1,1,0,True,2257,4737.816163592672,False,0.010937197131226982,0.02307106760923547,False,0,0,-3844524,10504.715607763972,True,0,0
