id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWJyb2Fk,7126,1559.31876151094,13.3021911413995,0.121564680393729,0.0256379549712944,abroad,Abroad,DfHs2,residence_1_year_ago,social,True,6782,974.341829133903,8.73348663083581,0.113998520809521,0.0153433257234212,True,90888,3237,2.2,0.109,0.004,True,344,1838.699812367427,False,0.05072250073724565,0.2750456108806614,False,0.007566159584208004,0.029878460123726556,False,-83762,3592.9993042025503,True,1.2564680393728995,2.5948116215057295,False
QWZn,0,0,,0,0,afg,Afg,Pop_5,ancestry,social,False,29,47,98.5221674876847,7.29297384840171e-05,0.000118192779149994,False,4368,817,11.4,0.001,0,True,-29,47,False,-1,0,True,-7.29297384840171e-05,0.000118192779149994,False,-4368,817,True,-0.1,0,True
QWZnaGFu,0,0,,0,0,afghan,Afghan,Fb2,place_of_birth,social,False,45,60.1082357085949,81.1999131490643,0.00049680937976109,0.000663414133509923,False,3928,714,11,0.001,0,True,-45,60.1082357085949,False,-1,0,True,-0.00049680937976109,0.000663414133509923,False,-3928,714,True,-0.1,0,True
QWZy,4605,922.675999471104,12.1801794596346,0.0483352926358216,0.00950308004623954,afr,Afr,Fb2,place_of_birth,social,True,4920,777.685026215627,9.60887916346192,0.0543178255205458,0.00840532341418035,True,147127,5003,2.1,0.047,0.002,True,-315,1206.7000455788511,False,-0.06402439024390244,0.23886749165922136,False,-0.005982532884724202,0.012686922087811706,False,-142522,5087.370637175947,True,0.13352926358215989,0.9711257918788694,False
QWZyaWNhbg==,2500,543.221869957387,13.2090424305748,0.00623063829150914,0.00135104128447405,african,African,Pop_5,ancestry,social,True,3447,771.252228521902,13.6015764295617,0.00866857960532437,0.00193637681483065,True,107555,4544,2.6,0.013,0.001,True,-947,943.3557123376104,False,-0.274731650710763,0.2262054222055732,False,-0.0024379413138152298,0.002361115778899244,False,-105055,4576.355099858401,True,-0.6769361708490861,0.16808666075430528,True
QWZyTkVD,567,314.690323969454,33.7391726271642,0.00595138130825426,0.00329506765193723,afrnec,AfrNEC,Fb2,place_of_birth,social,False,383,196.290600895713,31.1555073758938,0.00422839983218883,0.00216279728954171,False,12568,1359,6.6,0.004,0,True,184,370.8908195143147,False,0.4804177545691906,1.1183769571086963,False,0.0017229814760654303,0.003941467105849306,False,-12001,1394.959139186521,True,0.19513813082542597,0.329506765193723,False
QWxi,2103,1121.34249897166,32.4140357882619,0.00524121293081749,0.00279371064116566,alb,Alb,Pop_5,ancestry,social,False,492,292.126684847516,36.0944330995028,0.00123729073565988,0.000734474550614966,False,34768,2674,4.7,0.004,0,True,1611,1158.7696060908775,False,3.274390243902439,3.4111053046631556,False,0.004003922195157611,0.0028886453593446357,False,-32665,2899.6008345977566,True,0.12412129308174902,0.279371064116566,False
QWxiYW5pYQ==,884,746.626412605394,51.3434659124313,0.00927869678394492,0.00782859199083015,albania,Albania,Fb2,place_of_birth,social,False,132,116.520384482716,53.6614094513752,0.00145730751396586,0.00128555109361606,False,17563,1857,6.4,0.006,0.001,True,752,755.6639464735631,False,5.696969696969697,8.181717683828502,False,0.007821389269979061,0.007933441508777096,False,-16679,2001.4744564945115,True,0.3278696783944921,0.7892202009508497,False
QWxzYXRu,34,45.8911756223351,82.0510917617291,8.47366807645242e-05,0.000114366388489361,alsatn,Alsatn,Pop_5,ancestry,social,False,55,45.4862616621766,50.2749507180731,0.000138315021262791,0.000114375967283959,False,214,81,23,0,0,False,-21,64.61423991660043,False,-0.38181818181818183,0.9785578501839756,False,-5.35783404982668e-05,0.000161745271053718,False,-180,93.09672389509743,False,0.008473668076452421,0.0114366388489361,False
QW1lcmNu,22606,2284.93741708608,6.14447361954926,0.0563399236871422,0.0056398892999441,amercn,Amercn,Pop_5,ancestry,social,True,20803,1756.575361321,5.13304315420078,0.0523157706787244,0.00436631809217366,True,377184,8097,1.3,0.045,0.001,True,1803,2882.0992349327616,False,0.08667019179925972,0.1431204777528966,False,0.004024153008417797,0.007132537065986197,False,-354578,8413.224589894175,True,1.1339923687142202,0.5727857480386882,False
QW1yaWNhcw==,37654,2720.92374020295,4.39277894759071,0.3952262994374,0.0241394653887872,amricas,Amricas,Fb2,place_of_birth,social,True,36852,2132.04713831566,3.51697950648509,0.406853761399015,0.0195448764905231,True,1600899,10488,0.4,0.512,0.003,True,802,3456.7399381498176,False,0.02176272658200369,0.09458236594523795,False,-0.011627461961615015,0.03105987743514545,False,-1563245,10835.200505758996,True,-11.677370056260003,2.4325167815586703,True
QXJhYg==,4797,1007.29141761458,12.7649616067614,0.0119553487537477,0.00250485490529128,arab,Arab,Pop_5,ancestry,social,True,3461,655.952742200229,11.5213945791135,0.00870378706528217,0.00164582842570402,True,102479,4271,2.5,0.012,0.001,True,1336,1202.0440923693234,False,0.3860156024270442,0.3920576873884428,False,0.003251561688465531,0.0029971735524352205,False,-97682,4388.174677471259,True,0,0.26970906726622645
QXJhYlN1Yg==,857,492.800162337636,34.9561921552624,0.00213586280632933,0.00122782063166999,arabsub,ArabSub,Pop_5,ancestry,social,False,416,247.937492122511,36.2312210840704,0.00104616452446038,0.000623373718438655,False,12835,1443,6.8,0.002,0,True,441,551.6565960812945,False,1.0600961538461537,1.706126613230506,False,0.0010896982818689497,0.0013770033755930045,False,-11978,1524.828187042724,True,0.013586280632932962,0.12278206316699901,False
QXJnbnRpbmE=,2801,1511.71326646292,32.8088050720688,0.0294000335880427,0.0158266720455799,argntina,Argntina,Fb2,place_of_birth,social,False,845,277.050536906175,19.9313348253575,0.00932897613106935,0.00304387304992818,True,13398,1756,8,0.004,0.001,True,1956,1536.8910176066458,False,2.314792899408284,2.0932604973135756,False,0.02007105745697335,0.016116721477472375,False,-10597,2317.0699169425147,True,2.5400033588042703,1.5858232815744013,False
QXJtZW5pYQ==,0,0,,0,0,armenia,Armenia,Fb2,place_of_birth,social,False,56,69.5701085237043,75.5211772945119,0.000618251672591579,0.000767809830675809,False,2434,569,14.2,0.001,0,True,-56,69.5701085237043,False,-1,0,True,-0.000618251672591579,0.000767809830675809,False,-2434,569,True,-0.1,0,True
QXJtZW5pYW4=,670,319.175500312916,28.9593522036851,0.00166981106212445,0.000795124072945112,armenian,Armenian,Pop_5,ancestry,social,False,815,243.148103015426,18.1362450269771,0.00204957713325772,0.000610909226025758,True,10953,1014,5.6,0.001,0,True,-145,401.24057621332423,False,-0.17791411042944785,0.46208735933877937,False,-0.00037976607113327,0.0010027125080601192,False,-10283,1063.047035648,True,0.06698110621244499,0.0795124072945112,False
QXNpYQ==,28873,1972.89558770858,4.15380675630125,0.303058611134436,0.0170839949781666,asia,Asia,Fb2,place_of_birth,social,True,24312,1427.54089258417,3.56945546943475,0.268409547572258,0.013172266738667,True,913986,5031,0.3,0.292,0.001,True,4561,2435.19814388891,False,0.18760282987824942,0.10699474525362025,False,0.034649063562178006,0.02157247077755848,False,-885113,5404.0057364884415,True,1.1058611134435985,1.7113237110903992,False
QXNpYU5FQw==,63,103,99.3872726395523,0.000661264589806029,0.00108081351096922,asianec,AsiaNEC,Fb2,place_of_birth,social,False,63,61.400325732035,59.2467078998746,0.000695533131665526,0.000677501417802182,False,2126,437,12.5,0.001,0,True,0,119.91246807567593,0,1.9033725091377134,-3.4268541859497e-05,0.001275604177093184,False,-2063,448.97438679728714,True,0,0.10808135109692199
QXN5ckNobGRT,0,0,,0,0,asyrchlds,AsyrChldS,Pop_5,ancestry,social,False,30,33,66.8693009118541,7.54445570524314e-05,8.2983383071582e-05,False,141,93,40.1,0,0,False,-30,33,False,-1,0,True,-7.54445570524314e-05,8.2983383071582e-05,False,-141,93,False,0,0
QXVzTlpTYlI=,1464,388.136573901507,16.1167544430675,0.0153665295154925,0.00403053628747209,ausnzsbr,AusNZSbR,Fb2,place_of_birth,social,True,1244,354.096032172065,17.3035326856236,0.0137340192982844,0.00388413830327253,True,10090,877,5.3,0.003,0,True,220,525.3893794130217,False,0.17684887459807075,0.4577785404289132,False,0.001632510217208099,0.005597477389286901,False,-8626,959.0510935294324,True,1.23665295154925,0.403053628747209,True
QXVzdHJpYQ==,347,172.829395647847,30.2776548702902,0.00364220337559829,0.00180860225627748,austria,Austria,Fb2,place_of_birth,social,False,608,184.548096711941,18.4518573740143,0.00671244673099428,0.00202592435256292,True,3660,408,6.8,0.001,0,True,-261,252.83987027365754,False,-0.4292763157894737,0.33288579747501795,False,-0.0030702433553959903,0.0027157709041300735,False,-3313,443.095926408718,True,0.264220337559829,0.180860225627748,False
QXVzdHJpYW4=,3754,654.499045071878,10.5986084156131,0.00935592645853012,0.00162592385446575,austrian,Austrian,Pop_5,ancestry,social,True,4760,590.168619972292,7.53708232193676,0.0119705363856525,0.00147622110964076,True,24296,1178,2.9,0.003,0,True,-1006,881.287694229302,False,-0.21134453781512605,0.16872287026095514,False,-0.0026146099271223792,0.002196100440569547,False,-20542,1347.610106818734,True,0.6355926458530121,0.162592385446575,True
