id,sum,variable,variablename,base,category,profile,percent,previous_sum,previous_percent,comparison_sum,comparison_percent,change_sum,change_percent,change_percentage_point,difference_sum,significant,difference_percent
QU5I,7576,anh,ANH,Pop3,mutually_exclusive_race___hispanic_origin,decennial,0.335651942758407,5697,0.254035494515295,1028119,0.125761746016854,1879,0.32982271370896965,0.08161644824311198,-1020543,True,20.989019674155294
QXJn,45,arg,Arg,Hsp2,hispanic_subgroup,decennial,0.0216138328530259,47,0.0313124583610926,15169,0.0064933675103036,-2,-0.0425531914893617,-0.009698625508066702,-15124,True,1.5120465342722298
QXNuQWxuT3JD,8201,asnalnorc,AsnAlnOrC,AsnAlnOrC,asian_subgroup,decennial,1,6024,1,1134919,1,2177,0.3613877822045153,0,-1126718,True,0
QXNuQWxvbmU=,7612,asnalone,AsnAlone,AsnAlnOrC,asian_subgroup,decennial,0.92817949030606,5706,0.947211155378486,1038388,0.914944590759341,1906,0.33403434980722047,-0.01903166507242604,-1030776,True,1.3234899546718992
QXNuSW5Db21ibw==,589,asnincombo,AsnInCombo,AsnAlnOrC,asian_subgroup,decennial,0.0718205096939398,318,0.0527888446215139,96531,0.0850554092406595,271,0.8522012578616353,0.019031665072425902,-95942,True,-1.3234899546719712
QXNuSW5k,5545,asnind,AsnInd,AsnAlnOrC,asian_subgroup,decennial,0.67613705645653,4274,0.709495351925631,192209,0.169359222993007,1271,0.2973795039775386,-0.03335829546910096,-186664,True,50.6777833463523
QXZnRmFtU3o=,3.2278672985782,avgfamsz,AvgFamSz,mean,relationship_to_head_of_household__householder_,decennial,,,3.09318117722049,,3.32030552025947,,0.1346861213577104,0.043542913796836946,,,-0.0924382216812698,True,0
QXZnSEhTeg==,2.38648315989706,avghhsz,AvgHHSz,mean,relationship_to_head_of_household__householder_,decennial,,,2.3726874131109,,2.56918261847125,,0.013795746786160024,0.0058143970882671035,,,-0.18269945857418968,True,0
QXZISFN6T09j,2.50576261038767,avhhszooc,AvHHSzOOc,mean,housing_tenure,decennial,,,2.53239051094891,,2.75068958927896,,-0.026627900561240203,-0.01051492668532488,,,-0.24492697889128978,True,0
QXZISFN6Uk9j,2.03324468085106,avhhszroc,AvHHSzROc,mean,housing_tenure,decennial,,,1.99423423423423,,2.48777581732104,,0.03901044661682973,0.019561617159686073,,,-0.45453113646998,True,0
QmdsZHNo,141,bgldsh,Bgldsh,AsnAlnOrC,asian_subgroup,decennial,0.0171930252408243,27,0.00448207171314741,53174,0.04685268287869,114,4.222222222222222,0.012710953527676889,-53033,True,-2.9659657637865706
Qk5I,1034,bnh,BNH,Pop3,mutually_exclusive_race___hispanic_origin,decennial,0.0458109964113243,686,0.0305894943369303,1861295,0.227677641452439,348,0.5072886297376094,0.015221502074394,-1860261,True,-18.18666450411147
Qm9s,19,bol,Bol,Hsp2,hispanic_subgroup,decennial,0.00912584053794428,12,0.00799467021985343,4488,0.0019211703728817,7,0.5833333333333334,0.0011311703180908513,-4469,True,0.7204670165062581
Q0Ft,161,cam,CAm,Hsp2,hispanic_subgroup,decennial,0.0773294908741595,83,0.0552964690206529,151378,0.0648001178043865,78,0.9397590361445783,0.0220330218535066,-151217,True,1.2529373069772989
Q2FtYmRu,9,cambdn,Cambdn,AsnAlnOrC,asian_subgroup,decennial,0.00109742714303134,6,0.00099601593625498,2166,0.00190850624582019,3,0.5,0.00010141120677635996,-2157,True,-0.081107910278885
Q2hp,22,chi,Chi,Hsp2,hispanic_subgroup,decennial,0.010566762728146,7,0.00466355762824783,7026,0.00300760762920384,15,2.142857142857143,0.00590320509989817,-7004,True,0.755915509894216
Q2hpbmVzZQ==,670,chinese,Chinese,AsnAlnOrC,asian_subgroup,decennial,0.0816973539812218,605,0.10043160690571,486463,0.428632351736115,65,0.10743801652892562,-0.0187342529244882,-485793,True,-34.69349977548932
Q29s,233,col,Col,Hsp2,hispanic_subgroup,decennial,0.111911623439001,279,0.185876082611592,94723,0.0405479102563444,-46,-0.16487455197132617,-0.073964459172591,-94490,True,7.1363713182656605
Q1JpYw==,11,cric,CRic,Hsp2,hispanic_subgroup,decennial,0.00528338136407301,0,0,6673,0.00285649953169332,11,0,0.00528338136407301,-6662,True,0.24268818323796898
Q3Vi,117,cub,Cub,Hsp2,hispanic_subgroup,decennial,0.0561959654178674,52,0.0346435709526982,40840,0.0174823079386116,65,1.25,0.021552394465169204,-40723,True,3.87136574792558
RG9t,254,dom,Dom,Hsp2,hispanic_subgroup,decennial,0.121998078770413,126,0.083944037308461,576701,0.246867396437445,128,1.0158730158730158,0.03805404146195199,-576447,True,-12.486931766703202
RWN1,121,ecu,Ecu,Hsp2,hispanic_subgroup,decennial,0.0581171950048031,91,0.0606262491672219,167209,0.0715768665060555,30,0.32967032967032966,-0.0025090541624188042,-167088,True,-1.345967150125241
RmFt,5275,fam,Fam,HH,household_type_,decennial,0.590242810786617,5849,0.625494599508074,1850221,0.594967689074225,-574,-0.09813643357838947,-0.035251788721456956,-1844946,True,-0.472487828760805
RmFtMQ==,5275,fam1,Fam1,AvgFamSz,relationship_to_head_of_household__householder_,decennial,0,5849,0,1850221,0,-574,-0.09813643357838947,0,-1844946,True,0
RmVt,12239,fem,Fem,Pop2,sex_and_age,decennial,0.542244472996323,11967,0.533621689110854,4292589,0.525078796883182,272,0.022729171889362413,0.008622783885468999,-4280350,True,1.7165676113140904
RmVtTkhzYg==,702,femnhsb,FemNHsb,HH,household_type_,decennial,0.0785498489425982,784,0.0838413003956796,581745,0.187069262688341,-82,-0.10459183673469388,-0.005291451453081394,-581043,True,-10.851941374574283
