id,sum,variable,variablename,base,category,profile,percent,previous_sum,previous_percent,comparison_sum,comparison_percent,change_sum,change_percent,change_percentage_point,difference_sum,significant,difference_percent
QU5I,18166,anh,ANH,Pop3,mutually_exclusive_race___hispanic_origin,decennial,0.248995983935743,16493,0.228251543081735,1028119,0.125761746016854,1673,0.10143697326138362,0.02074444085400798,-1009953,True,12.323423791888898
QXJn,65,arg,Arg,Hsp2,hispanic_subgroup,decennial,0.00225147211638379,52,0.00162322459809583,15169,0.0064933675103036,13,0.25,0.0006282475182879603,-15104,True,-0.4241895393919809
QXNuQWxuT3JD,19180,asnalnorc,AsnAlnOrC,AsnAlnOrC,asian_subgroup,decennial,1,17363,1,1134919,1,1817,0.10464781431780222,0,-1115739,True,0
QXNuQWxvbmU=,18323,asnalone,AsnAlone,AsnAlnOrC,asian_subgroup,decennial,0.955318039624609,16581,0.954961700167022,1038388,0.914944590759341,1742,0.10506000844339908,0.00035633945758706265,-1020065,True,4.037344886526796
QXNuSW5Db21ibw==,857,asnincombo,AsnInCombo,AsnAlnOrC,asian_subgroup,decennial,0.044681960375391,782,0.0450382998329782,96531,0.0850554092406595,75,0.0959079283887468,-0.0003563394575871945,-95674,True,-4.03734488652685
QXNuSW5k,573,asnind,AsnInd,AsnAlnOrC,asian_subgroup,decennial,0.0298748696558916,538,0.0309854287853482,192209,0.169359222993007,35,0.06505576208178439,-0.0011105591294565988,-191636,True,-13.948435333711544
QXZnRmFtU3o=,3.12956005332687,avgfamsz,AvgFamSz,mean,relationship_to_head_of_household__householder_,decennial,,,3.28491825362807,,3.32030552025947,,-0.15535820030119973,-0.047294388567999335,,,-0.19074546693259986,True,0
QXZnSEhTeg==,2.32461246647917,avghhsz,AvgHHSz,mean,relationship_to_head_of_household__householder_,decennial,,,2.46971388695045,,2.56918261847125,,-0.14510142047127994,-0.05875231995008461,,,-0.24457015199207977,True,0
QXZISFN6T09j,2.01711131554738,avhhszooc,AvHHSzOOc,mean,housing_tenure,decennial,,,2.00963855421687,,2.75068958927896,,0.007472761330510114,0.0037184603742945964,,,-0.7335782737315797,True,0
QXZISFN6Uk9j,2.3910830052102,avhhszroc,AvHHSzROc,mean,housing_tenure,decennial,,,2.55687902054368,,2.48777581732104,,-0.1657960153334801,-0.06484312085216538,,,-0.09669281211083991,True,0
QmdsZHNo,185,bgldsh,Bgldsh,AsnAlnOrC,asian_subgroup,decennial,0.00964546402502607,82,0.00472268617174451,53174,0.04685268287869,103,1.2560975609756098,0.004922777853281559,-52989,True,-3.7207218853663937
Qk5I,7931,bnh,BNH,Pop3,mutually_exclusive_race___hispanic_origin,decennial,0.108707869018737,7890,0.109192061778627,1861295,0.227677641452439,41,0.005196451204055767,-0.00048419275989000643,-1853364,True,-11.896977243370198
Qm9s,9,bol,Bol,Hsp2,hispanic_subgroup,decennial,0.000311742293037755,9,0.000280942718901202,4488,0.0019211703728817,0,0,3.0799574136553e-05,-4479,True,-0.1609428079843945
Q0Ft,487,cam,CAm,Hsp2,hispanic_subgroup,decennial,0.0168687218565985,278,0.00867800842828157,151378,0.0648001178043865,209,0.7517985611510791,0.008190713428316931,-150891,True,-4.7931395947788005
Q2FtYmRu,2,cambdn,Cambdn,AsnAlnOrC,asian_subgroup,decennial,0.000104275286757039,4,0.000230374935207049,2166,0.00190850624582019,-2,-0.5,-0.00012609964845001,-2164,True,-0.1804230959063151
Q2hp,35,chi,Chi,Hsp2,hispanic_subgroup,decennial,0.00121233113959127,38,0.00118620259091619,7026,0.00300760762920384,-3,-0.07894736842105263,2.6128548675080025e-05,-6991,True,-0.179527648961257
Q2hpbmVzZQ==,16066,chinese,Chinese,AsnAlnOrC,asian_subgroup,decennial,0.837643378519291,15052,0.866900881184127,486463,0.428632351736115,1014,0.06736646292851449,-0.029257502664835955,-470397,True,40.9011026783176
Q29s,335,col,Col,Hsp2,hispanic_subgroup,decennial,0.0116037409075165,372,0.0116122990479163,94723,0.0405479102563444,-37,-0.09946236559139784,-8.558140399799949e-06,-94388,True,-2.8944169348827895
Q1JpYw==,30,cric,CRic,Hsp2,hispanic_subgroup,decennial,0.00103914097679252,4,0.000124863430622756,6673,0.00285649953169332,26,6.5,0.0009142775461697639,-6643,True,-0.18173585549008
Q3Vi,304,cub,Cub,Hsp2,hispanic_subgroup,decennial,0.0105299618981642,357,0.011144061183081,40840,0.0174823079386116,-53,-0.1484593837535014,-0.0006140992849168001,-40536,True,-0.6952346040447401
