id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,110,87.6584280032445,48.443452889331,0.000894789073811964,0.000712864815688396,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.000894789073811964,0.000712864815688396,False,-3760,478.1045910676868,True,0,0.12280782733386544
QWdISEluYw==,7543826600,227946970.077569,1.83686070771158,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,4681433500,142561366.951368,1.85121597808105,0,0,True,307989432000,2361252362,0.5,0,0,True,2862393100,268856029.34393483,True,0.6114351725812189,0.0691300666667534,True,0,0,-300445605400,2372229444.6823907,True,0,0
QWdJUDE1cGw=,7744362500,229424105.67551,1.80089118302609,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,4838838500,143621866.922127,1.80431989595287,0,0,True,318266008500,2111708243,0.4,0,0,True,2905524000,270670761.11616623,True,0.6004589737805881,0.06711604302264151,True,0,0,-310521646000,2124134441.0886884,True,0,0
QWdUVG0=,4721805,105094.136511035,1.35302099677172,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,3736790,101718.775754528,1.65476577595281,0,0,True,156042185,593582,0.2,0,0,True,985015,146258.2882095918,True,0.2635992389189652,0.044430563907265,True,0,0,-151320380,602813.7094102954,True,0,0
QXJ0RW5SQUZT,12418,833.241861646425,4.07899828539132,0.101013551987245,0.00652114676790067,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.101013551987245,0.00652114676790067,True,-428577,5496.524447321234,True,-0.7986448012755005,0.6597374869484177,False
Q05JMTg2NF8y,164749,2403.89538041904,0.887006645116106,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5205128,3083.4192060114046,True,,
Q29uc3RjdG4=,4157,472.451055666087,6.9089316612633,0.0338148925439667,0.00379300606659631,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0338148925439667,0.00379300606659631,True,-201910,3769.7228014802363,True,-1.71851074560333,0.3922613289789909,True
Q3ZFbTE2cGwx,122934,2249.12294017023,1.11218050982269,0.615272967508158,0.00779167018422823,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,97796,2089.59039048326,1.29889536850126,0.556016078504949,0.00768347951551862,True,4053141,9894,0.1,0.591,0.001,True,25138,3070.006840383253,True,0.25704527792547754,0.03535990196014974,True,0.05925688900320891,0.010942850712916879,True,-3930207,10146.417594402468,True,2.427296750815799,0.7855579180416373,True
Q3ZFbTE2cGwy,122934,2249.12294017023,1.11218050982269,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,97796,2089.59039048326,1.29889536850126,1,0,True,4053141,9894,0.1,1,0,True,25138,3070.006840383253,True,0.25704527792547754,0.03535990196014974,True,0,0,-3930207,10146.417594402468,True,0,0
Q3ZFbTE2cGwz,122934,2249.12294017023,1.11218050982269,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-3930207,10146.417594402468,True,0,0
Q3ZFbTE2cGw0,122934,2249.12294017023,1.11218050982269,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,97796,2089.59039048326,1.29889536850126,1,0,True,4053141,9894,0.1,1,0,True,25138,3070.006840383253,True,0.25704527792547754,0.03535990196014974,True,0,0,-3930207,10146.417594402468,True,0,0
Q3ZMRjE=,132188,2239.40818074776,1.02985320839802,0.661588356589458,0.00702190220342824,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,109117,2207.0634336149,1.22957916626561,0.62038126751835,0.00743248123324147,True,4354474,10392,0.1,0.635,0.002,True,23071,3144.2134151485307,True,0.21143359879762091,0.03196244898905794,True,0.04120708907110804,0.010224915052801027,True,-4222286,10630.5509264572,True,2.6588356589458044,0.7301171861729484,True
Q3ZMRjE4dDY0,126617,2178.02157932377,1.04569313455907,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-3975874,10126.987607378613,True,,
Q3ZMRjI=,132188,2239.40818074776,1.02985320839802,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,109117,2207.0634336149,1.22957916626561,1,0,True,4354474,10392,0.1,1,0,True,23071,3144.2134151485307,True,0.21143359879762091,0.03196244898905794,True,0,0,-4222286,10630.5509264572,True,0,0
Q3ZMRkVt,117906,2181.64570909211,1.12481841007656,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3707637,9792.124080096208,True,0,0
Q3ZMRlVFbTE=,9254,744.855690721364,4.89301720324909,0.0463153890812997,0.00367742784277377,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,11321,867.471036980486,4.65805155376302,0.0643651890134006,0.00481914371186988,True,301333,4545,0.9,0.044,0.001,True,-2067,1143.3792021897198,False,-0.18258104407737832,0.0908403837647416,False,-0.0180497999321009,0.006061981660683472,False,-292079,4605.630792844776,True,0.2315389081299708,0.3810967795561614,False
Q3ZMRlVFbTI=,9254,744.855690721364,4.89301720324909,0.0700063545858928,0.00550859766116519,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,11321,867.471036980486,4.65805155376302,0.103751019547825,0.00766794315778484,True,301333,4545,0.9,0.069,0.001,True,-2067,1143.3792021897198,False,-0.18258104407737832,0.0908403837647416,False,-0.033744664961932194,0.009441504142011163,True,-292079,4605.630792844776,True,0.10063545858927991,0.559862913511822,False
Q3ZOSVBvcDI=,239529,3336.68398263905,0.846819934435172,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8140366,3820.573386286408,True,0,0
Q3ZOSVUxOF8y,48966,1946.54822699054,2.41659925681394,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1806062,2598.2476787250316,True,0,0
Q1dfQ3JwbGQ=,2275,367.739037905959,9.8263545985092,0.019080448201825,0.00306385885732428,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,2845,401.204436665399,8.57269857886227,0.0299909341991525,0.00417719271228378,True,177245,3363,1.2,0.045,0.001,True,-570,544.2398368366656,False,-0.20035149384885764,0.17153443433831803,False,-0.0109104859973275,0.005180363891963688,False,-174970,3383.0461126032556,True,-2.5919551798175,0.32229227570024765,True
Q1dfRHJ2QWxu,14418,930.38970329642,3.92278017598072,0.120923913043478,0.00747389296585158,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,12512,840.752639008644,4.08484518210187,0.131896860702916,0.00837083153624639,True,883066,6519,0.4,0.223,0.002,True,1906,1253.989633130992,False,0.15233375959079284,0.10735489801238754,False,-0.010972947659438001,0.01122184907549655,False,-868648,6585.05778258627,True,-10.2076086956522,0.7736864743874339,True
Q1dfT3Ro,4996,536.253671316104,6.52502149216156,0.0419015029522276,0.00442990502749228,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,True,1578,302.352443350471,11.6477108629087,0.0166346903923594,0.003166056512872,True,112933,2992,1.6,0.029,0.001,True,3418,615.617576097369,True,2.1660329531051965,0.6953286130341133,True,0.025266812559868203,0.005444995169446947,True,-107937,3039.676298555489,True,1.2901502952227597,0.4541371880016145,False
Q1dfUGJUcm5z,84635,2024.91530687088,1.45442376597011,0.709834608158884,0.0107273087467496,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,68554,1909.88376609677,1.69358982118662,0.722670827096203,0.0122789351671281,True,2223087,10073,0.3,0.562,0.002,True,16081,2783.5118106449577,True,0.23457420427692038,0.04533717655348811,True,-0.01283621893731901,0.01630482756077554,False,-2138452,10274.512689174118,True,14.783460815888404,1.091215620068236,True
