id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,5000390500,278155720.573442,3.38156836848844,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,3177071100,195085555.129495,3.73277899358034,0,0,True,307989432000,2361252362,0.5,0,0,True,1823319400,339748405.011582,True,0.5738994635656721,0.13040418031193995,True,0,0,-302989041500,2377579298.769719,True,0,0
QWdJUDE1cGw=,5165396400,280163823.125956,3.29717878929609,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,3295434600,199403002.198621,3.67835036131135,0,0,True,318266008500,2111708243,0.4,0,0,True,1869961800,343879811.9610618,True,0.5674401185203312,0.12736979552667518,True,0,0,-313100612100,2130212071.917418,True,0,0
QWdUVG0=,1096300,53396.362095184,2.96084963848746,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,810405,40739.0892018955,3.05592929092852,0,0,True,156042185,593582,0.2,0,0,True,285895,67162.82360056046,True,0.352780399923495,0.09468833499379045,True,0,0,-154945885,595978.8269804558,True,0,0
QXJ0RW5SQUZT,2752,458.222653302955,10.121904231086,0.0701557600632218,0.0114368109126361,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.0701557600632218,0.0114368109126361,True,-438243,5452.289152273566,True,-3.88442399367782,1.1480446152105424,True
Q05JMTg2NF8y,50362,1500.2019864005,1.81084327752844,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5319515,2445.274422227494,True,,
Q29uc3RjdG4=,682,200.259831219344,17.8502198271973,0.0173859841435746,0.00507104048041458,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0173859841435746,0.00507104048041458,True,-205385,3745.357659823692,True,-3.3614015856425397,0.5168699212955165,True
Q3ZFbTE2cGwx,39227,1329.33517218194,2.06007721122849,0.666808322567485,0.0138824002633031,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,30500,1158.95728998096,2.3099452687846,0.618585973309536,0.0119942395841516,True,4053141,9894,0.1,0.591,0.001,True,8727,1763.6082331402285,True,0.2861311475409836,0.0654830036779125,True,0.04822234925794899,0.01834619361809384,False,-4013914,9982.903785973296,True,7.580832256748508,1.3918370489053593,True
Q3ZFbTE2cGwy,39227,1329.33517218194,2.06007721122849,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,30500,1158.95728998096,2.3099452687846,1,0,True,4053141,9894,0.1,1,0,True,8727,1763.6082331402285,True,0.2861311475409836,0.0654830036779125,True,0,0,-4013914,9982.903785973296,True,0,0
Q3ZFbTE2cGwz,39227,1329.33517218194,2.06007721122849,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4013914,9982.903785973296,True,0,0
Q3ZFbTE2cGw0,39227,1329.33517218194,2.06007721122849,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,30500,1158.95728998096,2.3099452687846,1,0,True,4053141,9894,0.1,1,0,True,8727,1763.6082331402285,True,0.2861311475409836,0.0654830036779125,True,0,0,-4013914,9982.903785973296,True,0,0
