id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,1,3,182.370820668693,2.09327639621536e-05,6.27954314451105e-05,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,2.09327639621536e-05,6.27954314451105e-05,False,-3869,470.00957437056536,True,-0.09790672360378465,0.10019696932594208,False
QWdISEluYw==,9144097700,420695054.486372,2.79679507864183,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,7520958300,392361417.700749,3.17137217938559,0,0,True,307989432000,2361252362,0.5,0,0,True,1623139400,575266730.282078,False,0.21581550319192702,0.084569401740712,False,0,0,-298845334300,2398436375.2077875,True,0,0
QWdJUDE1cGw=,9307194400,424771064.770077,2.7744074225144,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,7745885300,401524001.152462,3.15118968640687,0,0,True,318266008500,2111708243,0.4,0,0,True,1561309100,584510034.9586715,False,0.20156625608695755,0.08298640094401613,False,0,0,-308958814100,2154006072.651619,True,0,0
QWdUVG0=,1048785,42322.0506710155,2.45309480756466,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,1079835,45331.4180784144,2.55197257514221,0,0,True,156042185,593582,0.2,0,0,True,-31050,62016.88026658548,False,-0.02875439303226882,0.05655547216661638,False,0,0,-154993400,595088.8561357876,True,0,0
QXJ0RW5SQUZT,4691,542.412204877435,7.0290740385286,0.0981955957464624,0.0110005458489988,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.0981955957464624,0.0110005458489988,True,-436304,5460.009157501478,True,-1.0804404253537605,1.1045904624607472,False
Q05JMTg2NF8y,54597,1505.99701194923,1.67683151695624,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5315280,2448.8340082578093,True,,
Q29uc3RjdG4=,417,164.951508025844,24.0466362024074,0.00872896257221803,0.0034438330258813,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.00872896257221803,0.0034438330258813,False,-205650,3743.6357995937587,True,-4.227103742778197,0.35860822508903434,True
Q3ZFbTE2cGwx,47772,1367.87791852928,1.74063620654197,0.680076873798847,0.0112196755778518,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,50901,1557.61227524696,1.86023214292069,0.703033065384934,0.035046817119067,True,4053141,9894,0.1,0.591,0.001,True,-3129,2072.9799806076294,False,-0.061472269700005897,0.03933187606804491,False,-0.022956191586087082,0.03679891996036802,False,-4005369,9988.109230480011,True,8.907687379884706,1.126415199081778,True
Q3ZFbTE2cGwy,47772,1367.87791852928,1.74063620654197,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,50901,1557.61227524696,1.86023214292069,1,0,True,4053141,9894,0.1,1,0,True,-3129,2072.9799806076294,False,-0.061472269700005897,0.03933187606804491,False,0,0,-4005369,9988.109230480011,True,0,0
Q3ZFbTE2cGwz,47772,1367.87791852928,1.74063620654197,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4005369,9988.109230480011,True,0,0
