id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,1258718500,69002066.5436464,3.33248021788312,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,1100574300,57986555.7399582,3.20289015109266,0,0,True,307989432000,2361252362,0.5,0,0,True,158144200,90131713.80749999,False,0.14369243403194132,0.08695923704335007,False,0,0,-306730713500,2362260358.689929,True,0,0
QWdJUDE1cGw=,1294319900,69867565.9104541,3.28146731299156,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,1125666500,59517058.5804839,3.21414759377653,0,0,True,318266008500,2111708243,0.4,0,0,True,168653400,91781027.60551551,False,0.14982537012516584,0.08688131459709672,False,0,0,-316971688600,2112863739.174961,True,0,0
QWdUVG0=,754615,47372.6730615869,3.8162476951873,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,696810,41948.178053403,3.65959331676046,0,0,True,156042185,593582,0.2,0,0,True,57805,63275.744128378305,False,0.08295661658127754,0.09419272234178129,False,0,0,-155287570,595469.3618289693,True,0,0
QXJ0RW5SQUZT,1997,342.486496084152,10.4255622364901,0.102143112884251,0.016849741174332,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.102143112884251,0.016849741174332,True,-438998,5443.784161775704,True,-0.6856887115749011,1.6879389137109766,False
Q05JMTg2NF8y,25669,1184.70966907509,2.80567318040385,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5344208,2265.457569675497,True,,
Q29uc3RjdG4=,987,305.764615349782,18.8323349654802,0.0504833512352309,0.0154590454960835,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0504833512352309,0.0154590454960835,True,-205080,3752.4781145264524,True,-0.05166487647690943,1.5491355255431318,False
Q3ZFbTE2cGwx,19551,917.008724058828,2.85127160702708,0.574877238378076,0.0169610406003563,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,19112,869.989080391243,2.76720773272904,0.588061538461538,0.0182225217252481,True,4053141,9894,0.1,0.591,0.001,True,439,1264.0356007644723,False,0.02296986186688991,0.06686227313179106,False,-0.013184300083461942,0.024894521410825994,False,-4033590,9936.404832735027,True,-1.6122761621923942,1.6990494349692558,False
Q3ZFbTE2cGwy,19551,917.008724058828,2.85127160702708,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,19112,869.989080391243,2.76720773272904,1,0,True,4053141,9894,0.1,1,0,True,439,1264.0356007644723,False,0.02296986186688991,0.06686227313179106,False,0,0,-4033590,9936.404832735027,True,0,0
Q3ZFbTE2cGwz,19551,917.008724058828,2.85127160702708,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4033590,9936.404832735027,True,0,0
Q3ZFbTE2cGw0,19551,917.008724058828,2.85127160702708,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,19112,869.989080391243,2.76720773272904,1,0,True,4053141,9894,0.1,1,0,True,439,1264.0356007644723,False,0.02296986186688991,0.06686227313179106,False,0,0,-4033590,9936.404832735027,True,0,0
Q3ZMRjE=,20876,977.483503697121,2.84640206871293,0.613837513599341,0.0180322439161403,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,20819,890.242663547417,2.59945698873506,0.640584615384615,0.0171481558102741,True,4354474,10392,0.1,0.635,0.002,True,57,1322.1217795649534,False,0.002737883663960805,0.06358442776708571,False,-0.026747101785273952,0.024884152956140906,False,-4333598,10437.87037666209,True,-2.1162486400658977,1.8142817329488239,False
Q3ZMRjE4dDY0,19110,1004.63376411506,3.19581168730407,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4083381,9940.894778640402,True,,
Q3ZMRjI=,20876,977.483503697121,2.84640206871293,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,20819,890.242663547417,2.59945698873506,1,0,True,4354474,10392,0.1,1,0,True,57,1322.1217795649534,False,0.002737883663960805,0.06358442776708571,False,0,0,-4333598,10437.87037666209,True,0,0
Q3ZMRkVt,17828,951.328544720487,3.24385923689755,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3807715,9593.286298240035,True,0,0
Q3ZMRlVFbTE=,1325,270.098130315632,12.3919541350293,0.038960275221265,0.00781388156705884,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,1707,273.642102023793,9.74503704658961,0.0525230769230769,0.00823558964941731,True,301333,4545,0.9,0.044,0.001,True,-382,384.49057205606493,False,-0.22378441710603397,0.20129566122826284,False,-0.0135628017018119,0.011352606837973888,False,-300008,4553.018559153916,True,-0.5039724778734991,0.7877610370158068,False
Q3ZMRlVFbTI=,1325,270.098130315632,12.3919541350293,0.0634700134125311,0.0125922714861897,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,1707,273.642102023793,9.74503704658961,0.0819924107786157,0.0126676177520516,True,301333,4545,0.9,0.069,0.001,True,-382,384.49057205606493,False,-0.22378441710603397,0.20129566122826284,False,-0.018522397366084603,0.017861518431925072,False,-300008,4553.018559153916,True,-0.5529986587468905,1.263191597430517,False
Q3ZOSVBvcDI=,43187,1662.83132036897,2.34061108303652,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8336708,2495.6620364143882,True,0,0
