id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,27,31,69.796240009006,0.00050766193475604,0.000582630312253642,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.00050766193475604,0.000582630312253642,False,-3843,471.02123094399894,True,0,0.11573495931466761
QWdISEluYw==,8741723000,516894455.907914,3.59450366642151,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,5828406200,294323253.629453,3.06979137831787,0,0,True,307989432000,2361252362,0.5,0,0,True,2913316800,594815985.137728,True,0.499847934414729,0.11662571754476121,True,0,0,-299247709000,2417166232.5125504,True,0,0
QWdJUDE1cGw=,8940129800,517984362.338427,3.52214249556006,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,6042676300,299934396.068418,3.01738717758587,0,0,True,318266008500,2111708243,0.4,0,0,True,2897453500,598555295.3337506,True,0.47949838054373356,0.11287603453483094,True,0,0,-309325878700,2174308971.4162736,True,0,0
QWdUVG0=,1332445,62942.8016932834,2.87164583403465,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,1014185,46031.0619038927,2.7591029695977,0,0,True,156042185,593582,0.2,0,0,True,318260,77978.55439157617,True,0.3138086246592091,0.08606684767342325,True,0,0,-154709740,596909.865062557,True,0,0
QXJ0RW5SQUZT,4400,657.979482962805,9.09062562811281,0.0827300930713547,0.0120665398135893,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.0827300930713547,0.0120665398135893,True,-436595,5472.698237615518,True,-2.6269906928645295,1.2107905808724135,False
Q05JMTg2NF8y,62002,1824.13623394745,1.78848651116897,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5307875,2656.357280186531,True,,
Q29uc3RjdG4=,534,215.232432500309,24.5019446626719,0.0100404249318417,0.00403327712983468,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0100404249318417,0.00403327712983468,False,-205533,3746.188062551051,True,-4.09595750681583,0.4155397021470689,True
Q3ZFbTE2cGwx,53185,1755.08204936407,2.00605279485706,0.723900911936845,0.0149738903785635,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,44407,1497.37102950471,2.04980283511083,0.699741577637011,0.00642542234198022,True,4053141,9894,0.1,0.591,0.001,True,8778,2307.0398782855877,True,0.19767153827099332,0.056506236945169756,True,0.02415933429983408,0.016294276459605534,False,-3999956,10048.460031268472,True,13.290091193684503,1.5007244686125314,True
Q3ZFbTE2cGwy,53185,1755.08204936407,2.00605279485706,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,44407,1497.37102950471,2.04980283511083,1,0,True,4053141,9894,0.1,1,0,True,8778,2307.0398782855877,True,0.19767153827099332,0.056506236945169756,True,0,0,-3999956,10048.460031268472,True,0,0
Q3ZFbTE2cGwz,53185,1755.08204936407,2.00605279485706,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-3999956,10048.460031268472,True,0,0
Q3ZFbTE2cGw0,53185,1755.08204936407,2.00605279485706,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,44407,1497.37102950471,2.04980283511083,1,0,True,4053141,9894,0.1,1,0,True,8778,2307.0398782855877,True,0.19767153827099332,0.056506236945169756,True,0,0,-3999956,10048.460031268472,True,0,0
