id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QUlBTk5I,93,99,65,0.002,0.002,aiannh,AIANNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,0,0,,0,0,False,15017,875,3.5,0.002,0.001,True,93,99,False,0,,0.002,0.002,False,-14924,880.5827615846224,True,0,0.223606797749979
QXNuMVJj,17765,1178,4,1,0,asn1rc,Asn1Rc,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,1177700,3785,0.2,1,0,True,,,,,1,0,True,-1159935,3964.077320133905,True,0,0
QXNuMnBs,205,120,35.6,0.012,0.007,asn2pl,Asn2pl,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,17175,1660,5.9,0.015,0.001,True,,,,,0.012,0.007,False,-16970,1664.3316977093239,True,-0.30000000000000004,0.7071067811865476,False
QXNuQmh1dG4=,0,0,,0,0,asnbhutn,AsnBhutn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,100,90,54.7,0,0,False,,,,,0,0,-100,90,False,0,0
QXNuQm5n,32,46,87.4,0.002,0.003,asnbng,AsnBng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,65991,3237,3,0.056,0.003,True,,,,,0.002,0.003,False,-65959,3237.3268293454707,True,-5.4,0.4242640687119285,True
QXNuQnVybQ==,167,197,71.6,0.009,0.011,asnburm,AsnBurm,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4509,620,8.4,0.004,0.001,True,,,,,0.009,0.011,False,-4342,650.5451560037935,True,0.4999999999999999,1.104536101718726,False
QXNuQ2hpTm9U,15570,1165,4.5,0.876,0.03,asnchinot,AsnChiNoT,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,565173,5911,0.6,0.48,0.005,True,,,,,0.876,0.03,True,-549603,6024.711279389246,True,39.599999999999994,3.0413812651491097,True
QXNuQ21i,3,6,121.6,0,0,asncmb,AsnCmb,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,2700,1036,23.3,0.002,0.001,False,,,,,0,0,-2697,1036.017374371685,False,-0.2,0.1,False
QXNuRWFzdA==,15813,1180,4.5,0.89,0.03,asneast,AsnEast,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,686453,6802,0.6,0.583,0.005,True,,,,,0.89,0.03,True,-670640,6903.593556981755,True,30.700000000000003,3.0413812651491097,True
QXNuRmxw,352,164,28.3,0.02,0.009,asnflp,AsnFlp,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,71450,2932,2.5,0.061,0.002,True,,,,,0.02,0.009,False,-71098,2936.58304837442,True,-4.1,0.9219544457292886,True
QXNuSG1uZw==,0,0,,0,0,asnhmng,AsnHmng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,60,59,59.8,0,0,False,,,,,0,0,-60,59,False,0,0
QXNuSW5k,402,169,25.5,0.023,0.009,asnind,AsnInd,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,228887,4990,1.3,0.194,0.004,True,,,,,0.023,0.009,False,-228485,4992.861003472858,True,-17.1,0.9848857801796104,True
QXNuSW5kbnNu,12,19,96.3,0.001,0.001,asnindnsn,AsnIndnsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,3778,675,10.9,0.003,0.001,True,,,,,0.001,0.001,False,-3766,675.2673544604389,True,-0.19999999999999998,0.14142135623730953,False
QXNuSnBu,15,15,61.9,0.001,0.001,asnjpn,AsnJpn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,25224,1431,3.4,0.021,0.001,True,,,,,0.001,0.001,False,-25209,1431.0786141928052,True,-2,0.14142135623730953,True
QXNuS29y,193,186,58.5,0.011,0.01,asnkor,AsnKor,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,85212,2865,2,0.072,0.002,True,,,,,0.011,0.01,False,-85019,2871.0313477912428,True,-6.1,1.019803902718557,True
QXNuTGFv,0,0,,0,0,asnlao,AsnLao,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,538,173,19.5,0,0,True,,,,,0,0,-538,173,True,0,0
QXNuTWFsc24=,11,17,93.9,0.001,0.001,asnmalsn,AsnMalsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,1750,544,18.9,0.001,0,True,,,,,0.001,0.001,False,-1739,544.2655601817921,True,0,0.1
QXNuTWdvbA==,22,35,96.7,0.001,0.002,asnmgol,AsnMgol,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,644,287,27.1,0.001,0,False,,,,,0.001,0.002,False,-622,289.1262699928874,False,0,0.2
QXNuTmVwYWw=,0,0,,0,0,asnnepal,AsnNepal,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,8478,1242,8.9,0.007,0.001,True,,,,,0,0,-8478,1242,True,-0.7000000000000001,0.1,True
QXNuTkg=,17714,1177,4,0.404,0.024,asnnh,AsnNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,14495,1523,6.4,0.341,0.034,True,1167421,3568,0.2,0.138,0.001,True,3219,1924.8007689109022,False,0.22207657813038978,0.15192502174080544,False,0.063,0.041617304093369625,False,-1149707,3757.1203068307514,True,26.600000000000005,2.4020824298928627,True
QXNuT0Fzbg==,0,0,,0,0,asnoasn,AsnOAsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10707,1286,7.3,0.009,0.001,True,,,,,0,0,-10707,1286,True,-0.8999999999999999,0.1,True
QXNuT2tpbnc=,0,0,,0,0,asnokinw,AsnOkinw,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,0,0,,0,0,False,,,,,0,0,0,0,0,0
QXNuUGFr,701,309,26.8,0.039,0.017,asnpak,AsnPak,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,48973,3097,3.8,0.042,0.003,True,,,,,0.039,0.017,False,-48272,3112.3769051964127,True,-0.30000000000000027,1.726267650163207,False
QXNuU0Vhc3Q=,612,262,26.1,0.034,0.015,asnseast,AsnSEast,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,106360,3653,2.1,0.09,0.003,True,,,,,0.034,0.015,False,-105748,3662.3835135059244,True,-5.6,1.5297058540778354,True
QXNuU291dGg=,1135,355,19,0.064,0.02,asnsouth,AsnSouth,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,357005,6872,1.2,0.303,0.006,True,,,,,0.064,0.02,True,-355870,6881.163346411709,True,-23.9,2.08806130178211,True
QXNuU3JpTA==,0,0,,0,0,asnsril,AsnSriL,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4576,837,11.1,0.004,0.001,True,,,,,0,0,-4576,837,True,-0.4,0.1,True
QXNuVGhhaQ==,3,5,101.3,0,0,asnthai,AsnThai,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,7346,955,7.9,0.006,0.001,True,,,,,0,0,-7343,955.0130889155395,True,-0.6,0.1,True
QXNuVHdu,13,14,63.6,0.001,0.001,asntwn,AsnTwn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10200,996,5.9,0.009,0.001,True,,,,,0.001,0.001,False,-10187,996.0983887146891,True,-0.7999999999999999,0.14142135623730953,True
QXNuVnRu,64,51,48.8,0.004,0.003,asnvtn,AsnVtn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,14229,1262,5.4,0.012,0.001,True,,,,,0.004,0.003,False,-14165,1263.0300867358624,True,-0.7999999999999999,0.31622776601683794,False
QmxOSA==,405,157,23.5,0.009,0.004,blnh,BlNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,248,148,36.4,0.006,0.003,False,1853055,3317,0.1,0.219,0.001,True,157,215.7614423385235,False,0.6330645161290323,1.1621354684796847,False,0.002999999999999999,0.005,False,-1852650,3320.713477552678,True,-21,0.4123105625617661,True
RmVt,22494,771,2.1,0.513,0.01,fem,Fem,Pop_1,sex_and_age,demographic,True,21430,930,2.6,0.504,0.013,True,4418616,268,0,0.523,0,True,1064,1208.0318704405113,False,0.049650023331777884,0.05804611911655073,False,0.009000000000000008,0.016401219466856725,False,-4396122,816.2505742723861,True,-1,1,False
RlBvcDB0NQ==,1401,255,11.1,0.032,0.006,fpop0t5,FPop0t5,Pop,poppyramid_only,demographic,True,984,239,14.8,0.023,0.006,True,269674,178,0,0.032,0,True,417,349.4939198326632,False,0.42378048780487804,0.4321411212387466,False,0.009000000000000001,0.00848528137423857,False,-268273,310.9807067970616,True,0,0.6
RlBvcDEwdDE0,1152,183,9.6,0.026,0.004,fpop10t14,FPop10t14,Pop,poppyramid_only,demographic,True,907,227,15.2,0.021,0.005,True,227093,2312,0.6,0.027,0,True,245,291.5784628534831,False,0.2701212789415656,0.37650589478270724,False,0.0049999999999999975,0.006403124237432849,False,-225941,2319.2311225921403,True,-0.10000000000000009,0.4,False
RlBvcDE1dDE5,1225,186,9.2,0.028,0.004,fpop15t19,FPop15t19,Pop,poppyramid_only,demographic,True,953,193,12.3,0.022,0.004,True,226700,355,0.1,0.027,0,True,272,268.03917624108607,False,0.28541448058761804,0.3253599160508413,False,0.006000000000000002,0.00565685424949238,False,-225475,400.7754982530744,True,0.10000000000000009,0.4,False
RlBvcDIwdDI0,1257,197,9.5,0.029,0.004,fpop20t24,FPop20t24,Pop,poppyramid_only,demographic,True,1447,267,11.2,0.034,0.006,True,293909,3345,0.7,0.035,0,True,-190,331.8101867031813,False,-0.13130615065653076,0.21030540701446984,False,-0.005000000000000001,0.007211102550927979,False,-292652,3350.7960248275335,True,-0.6000000000000001,0.4,False
RlBvcDI1dDI5,1581,228,8.8,0.036,0.005,fpop25t29,FPop25t29,Pop,poppyramid_only,demographic,True,1901,328,10.5,0.045,0.008,True,405287,203,0,0.048,0,True,-320,399.459635007093,False,-0.16833245660178853,0.18701902534374085,False,-0.009000000000000001,0.009433981132056603,False,-403706,305.2752856030111,True,-1.2000000000000002,0.5,False
