"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","asian_subgroup","asn1rc","Asn1Rc","14435","1116","4.7","1","0","true","1177700","3785","0.2","1","0","true","-1163265","3946.09693241309","true","0","0",""
"","demographic","asian_subgroup","asn2pl","Asn1Rc","36","30","50.6","0.002","0.002","false","17175","1660","5.9","0.015","0.001","true","-17139","1660.2710622064096","true","-1.3","0.223606797749979","true"
"","demographic","asian_subgroup","asnbhutn","Asn1Rc","0","0","","0","0","false","100","90","54.7","0","0","false","-100","90","false","0","0",""
"","demographic","asian_subgroup","asnbng","Asn1Rc","641","314","29.8","0.044","0.021","false","65991","3237","3","0.056","0.003","true","-65350","3252.193874909674","true","-1.200000000000001","2.1213203435596424","false"
"","demographic","asian_subgroup","asnburm","Asn1Rc","0","0","","0","0","false","4509","620","8.4","0.004","0.001","true","-4509","620","true","-0.4","0.1","true"
"","demographic","asian_subgroup","asnchinot","Asn1Rc","4239","616","8.8","0.294","0.036","true","565173","5911","0.6","0.48","0.005","true","-560934","5943.010768962143","true","-18.6","3.634556369077249","true"
"","demographic","asian_subgroup","asncmb","Asn1Rc","0","0","","0","0","false","2700","1036","23.3","0.002","0.001","false","-2700","1036","false","-0.2","0.1","false"
"","demographic","asian_subgroup","asneast","Asn1Rc","4468","640","8.7","0.31","0.037","true","686453","6802","0.6","0.583","0.005","true","-681985","6832.042447174929","true","-27.299999999999997","3.7336309405188937","true"
"","demographic","asian_subgroup","asnflp","Asn1Rc","1073","290","16.5","0.074","0.019","true","71450","2932","2.5","0.061","0.002","true","-70377","2946.306840775414","true","1.2999999999999998","1.91049731745428","false"
"","demographic","asian_subgroup","asnhmng","Asn1Rc","8","13","98.8","0.001","0.001","false","60","59","59.8","0","0","false","-52","60.41522986797286","false","0.1","0.1","false"
"","demographic","asian_subgroup","asnind","Asn1Rc","7199","914","7.7","0.499","0.05","true","228887","4990","1.3","0.194","0.004","true","-221688","5073.016459661845","true","30.499999999999996","5.015974481593781","true"
"","demographic","asian_subgroup","asnindnsn","Asn1Rc","20","22","66.9","0.001","0.002","false","3778","675","10.9","0.003","0.001","true","-3758","675.3584233575532","true","-0.19999999999999998","0.223606797749979","false"
"","demographic","asian_subgroup","asnjpn","Asn1Rc","42","52","75.6","0.003","0.004","false","25224","1431","3.4","0.021","0.001","true","-25182","1431.9444821640259","true","-1.8","0.4123105625617661","true"
"","demographic","asian_subgroup","asnkor","Asn1Rc","53","42","47.7","0.004","0.003","false","85212","2865","2","0.072","0.002","true","-85159","2865.3078368650026","true","-6.799999999999999","0.36055512754639896","true"
"","demographic","asian_subgroup","asnlao","Asn1Rc","0","0","","0","0","false","538","173","19.5","0","0","true","-538","173","true","0","0",""
"","demographic","asian_subgroup","asnmalsn","Asn1Rc","13","16","74.8","0.001","0.001","false","1750","544","18.9","0.001","0","true","-1737","544.2352432542384","true","0","0.1",""
"","demographic","asian_subgroup","asnmgol","Asn1Rc","0","0","","0","0","false","644","287","27.1","0.001","0","false","-644","287","false","-0.1","0","true"
"","demographic","asian_subgroup","asnnepal","Asn1Rc","0","0","","0","0","false","8478","1242","8.9","0.007","0.001","true","-8478","1242","true","-0.7000000000000001","0.1","true"
"","demographic","asian_subgroup","asnoasn","Asn1Rc","139","96","41.9","0.01","0.007","false","10707","1286","7.3","0.009","0.001","true","-10568","1289.5782256226257","true","0.10000000000000009","0.7071067811865476","false"
"","demographic","asian_subgroup","asnokinw","Asn1Rc","0","0","","0","0","false","0","0","","0","0","false","0","0","","0","0",""
"","demographic","asian_subgroup","asnpak","Asn1Rc","580","281","29.5","0.04","0.019","false","48973","3097","3.8","0.042","0.003","true","-48393","3109.721852513501","true","-0.20000000000000018","1.9235384061671343","false"
"","demographic","asian_subgroup","asnseast","Asn1Rc","1356","322","14.4","0.094","0.021","true","106360","3653","2.1","0.09","0.003","true","-105004","3667.1641632193123","true","0.40000000000000036","2.1213203435596424","false"
"","demographic","asian_subgroup","asnsouth","Asn1Rc","8436","1007","7.3","0.584","0.053","true","357005","6872","1.2","0.303","0.006","true","-348569","6945.389333939459","true","28.099999999999998","5.333854141237834","true"
"","demographic","asian_subgroup","asnsril","Asn1Rc","16","29","110.2","0.001","0.002","false","4576","837","11.1","0.004","0.001","true","-4560","837.5022388029778","true","-0.30000000000000004","0.223606797749979","false"
"","demographic","asian_subgroup","asnthai","Asn1Rc","58","47","48.8","0.004","0.003","false","7346","955","7.9","0.006","0.001","true","-7288","956.1558450378265","true","-0.19999999999999996","0.31622776601683794","false"
"","demographic","asian_subgroup","asntwn","Asn1Rc","134","161","72.9","0.009","0.011","false","10200","996","5.9","0.009","0.001","true","-10066","1008.9286396965842","true","0","1.104536101718726",""
"","demographic","asian_subgroup","asnvtn","Asn1Rc","184","128","42.3","0.013","0.009","false","14229","1262","5.4","0.012","0.001","true","-14045","1268.4746745599614","true","0.10000000000000009","0.9055385138137416","false"
"","demographic","demographic__special_variable","mdpop0t4","MdAge","3940","442","6.8","0","0","true","551869","0","","0","0","false","-547929","442","true","0","0",""
"","demographic","demographic__special_variable","mdpop10t14","MdAge","3824","364","5.8","0","0","true","464704","0","","0","0","false","-460880","364","true","0","0",""
"","demographic","demographic__special_variable","mdpop15t17","MdAge","2429","278","7","0","0","true","273431","0","","0","0","false","-271002","278","true","0","0",""
"","demographic","demographic__special_variable","mdpop18t19","MdAge","1468","207","8.6","0","0","true","182243","0","","0","0","false","-180775","207","true","0","0",""
"","demographic","demographic__special_variable","mdpop20","MdAge","936","171","11.1","0","0","true","105547","0","","0","0","false","-104611","171","true","0","0",""
"","demographic","demographic__special_variable","mdpop21","MdAge","878","176","12.2","0","0","true","105415","0","","0","0","false","-104537","176","true","0","0",""
"","demographic","demographic__special_variable","mdpop22t24","MdAge","2863","312","6.6","0","0","true","360439","0","","0","0","false","-357576","312","true","0","0",""
"","demographic","demographic__special_variable","mdpop25t29","MdAge","4580","411","5.5","0","0","true","785805","0","","0","0","false","-781225","411","true","0","0",""
"","demographic","demographic__special_variable","mdpop30t34","MdAge","4223","406","5.8","0","0","true","718474","0","","0","0","false","-714251","406","true","0","0",""
"","demographic","demographic__special_variable","mdpop35t39","MdAge","4494","371","5","0","0","true","610524","0","","0","0","false","-606030","371","true","0","0",""
"","demographic","demographic__special_variable","mdpop40t44","MdAge","4046","333","5","0","0","true","545892","0","","0","0","false","-541846","333","true","0","0",""
"","demographic","demographic__special_variable","mdpop45t49","MdAge","4267","390","5.6","0","0","true","542513","0","","0","0","false","-538246","390","true","0","0",""
"","demographic","demographic__special_variable","mdpop50t54","MdAge","4290","356","5","0","0","true","544447","0","","0","0","false","-540157","356","true","0","0",""
