,utf_name,Neighborhood,borough,Population,no_code,zipcode
0,Kingsbridge - Riverdale,101 Kingsbridge,Bronx,90892,Kingsbridge,10463
1,Kingsbridge - Riverdale,101 Kingsbridge,Bronx,90892,Kingsbridge,10471
2,Northeast Bronx,102 Northeast Bronx,Bronx,190668,Northeast Bronx,10466
3,Northeast Bronx,102 Northeast Bronx,Bronx,190668,Northeast Bronx,10469
4,Northeast Bronx,102 Northeast Bronx,Bronx,190668,Northeast Bronx,10470
5,Northeast Bronx,102 Northeast Bronx,Bronx,190668,Northeast Bronx,10475
6,Fordham - Bronx Pk,103 Fordham - Bronx Pk,Bronx,252655,Fordham - Bronx Pk,10458
7,Fordham - Bronx Pk,103 Fordham - Bronx Pk,Bronx,252655,Fordham - Bronx Pk,10467
8,Fordham - Bronx Pk,103 Fordham - Bronx Pk,Bronx,252655,Fordham - Bronx Pk,10468
9,Pelham,104 Pelham,Bronx,297927,Pelham,10461
10,Pelham,104 Pelham,Bronx,297927,Pelham,10462
11,Pelham,104 Pelham,Bronx,297927,Pelham,10464
12,Pelham,104 Pelham,Bronx,297927,Pelham,10465
13,Pelham,104 Pelham,Bronx,297927,Pelham,10472
14,Pelham,104 Pelham,Bronx,297927,Pelham,10473
15,Crotona-Tremont,105 Crotona-Tremont,Bronx,206116,Crotona-Tremont,10453
16,Crotona-Tremont,105 Crotona-Tremont,Bronx,206116,Crotona-Tremont,10457
17,Crotona-Tremont,105 Crotona-Tremont,Bronx,206116,Crotona-Tremont,10460
18,High Bridge - Morrisania,106 High Bridge,Bronx,207631,High Bridge,10451
19,High Bridge - Morrisania,106 High Bridge,Bronx,207631,High Bridge,10452
20,High Bridge - Morrisania,106 High Bridge,Bronx,207631,High Bridge,10456
21,Hunts Point - Mott Haven,107 Hunts Point,Bronx,136591,Hunts Point,10454
22,Hunts Point - Mott Haven,107 Hunts Point,Bronx,136591,Hunts Point,10455
23,Hunts Point - Mott Haven,107 Hunts Point,Bronx,136591,Hunts Point,10459
24,Hunts Point - Mott Haven,107 Hunts Point,Bronx,136591,Hunts Point,10474
25,Greenpoint,201 Greenpoint,Brooklyn,127051,Greenpoint,11211
26,Greenpoint,201 Greenpoint,Brooklyn,127051,Greenpoint,11222
27,Downtown-Heights,202 Downtown-Heights,Brooklyn,224199,Downtown-Heights,11201
