NYC Zip Code,Similar LA Neighborhoods,Similar Chicago Neighborhoods
10001,,
10002,,
10003,,
10004,,
10005,,
10006,,
10007,,
10009,,
10010,,
10011,,
10012,,
10013,,
10014,,
10016,,
10017,,
10018,,
10020,,
10021,,
10022,,
10025,,
10028,,
10029,,
10035,,
10036,,
10038,,
10044,,
10065,,
10075,,
10110,,
10119,,
10128,,
10152,,
10154,,
10162,,
10165,,
10167,,
10168,,
10169,,
10170,,
10171,,
10172,,
10173,,
10174,,
10177,,
